Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Air Force,261.5,4,145.2,124,406.7,44,159.6,78,264.7,125,424.2,117,-0.2,29.8,30.3,4-8,
Akron,136.4,86,219.0,77,355.4,88,156.2,73,229.2,87,385.3,77,0.2,22.2,27.4,5-7,
Alabama Crimson Tide,126.2,101,278.2,17,404.5,49,124.4,34,158.2,8,282.7,12,0.7,33.2,16.5,10-2,
App State,123.5,104,261.9,32,385.4,69,141.8,53,275.6,129,417.4,109,0.0,25.3,29.8,5-7,
Arizona,150.8,72,254.4,39,405.2,48,146.0,57,155.9,5,301.9,16,1.3,32.6,18.9,9-3,
Arizona State,188.7,33,211.1,87,399.8,55,117.1,25,225.7,76,342.8,43,-0.3,24.7,23.0,8-4,
Arkansas,192.2,26,262.9,31,455.1,19,187.2,111,239.2,101,426.4,120,-0.9,32.9,33.8,2-10,
Arkansas State,127.9,97,257.4,35,385.3,70,182.2,106,235.6,95,417.8,111,-0.8,24.4,27.3,6-6,
Army,257.0,7,78.3,132,335.3,120,147.1,45,209.9,32,357.0,30,0.5,23.0,22.5,6-5,
Auburn,176.9,45,197.1,96,374.0,78,99.6,10,229.8,89,329.4,32,0.8,26.8,20.7,5-7,
Ball State,133.7,88,138.0,126,271.7,129,179.7,102,226.8,80,406.5,100,-0.2,15.8,29.8,4-8,
Baylor,141.6,79,309.6,3,451.2,22,197.3,117,194.5,33,391.8,83,-1.1,31.1,32.6,5-7,
Boise State,190.2,28,240.5,55,430.8,26,163.5,82,167.0,11,330.5,33,0.4,30.8,23.2,8-4,
Boston College,104.0,123,280.2,16,384.2,71,178.7,101,255.7,122,434.3,125,-0.8,25.4,32.8,2-10,
Bowling Green,155.5,69,151.2,122,306.8,121,140.8,52,201.7,40,342.5,42,0.2,20.5,24.2,4-8,
Buffalo,133.2,89,229.0,62,362.2,84,157.8,75,186.4,26,344.2,45,-0.6,24.0,23.5,5-7,
Byu,195.4,23,219.5,76,414.9,40,119.2,28,205.6,47,324.8,29,1.0,34.0,17.8,11-1,
California,77.4,129,270.2,24,347.6,95,161.8,80,197.3,37,359.2,59,-0.2,24.8,26.5,7-5,
Central Michigan,171.2,54,166.2,116,337.4,103,152.9,68,207.2,50,360.1,60,0.7,23.8,22.7,7-5,
Charlotte,81.8,128,204.0,91,285.8,127,200.3,118,271.7,127,472.0,131,-0.7,14.3,36.3,1-11,
Cincinnati,180.4,41,241.2,54,421.7,32,173.5,95,229.8,88,403.2,96,-0.2,31.8,24.8,7-5,
Clemson Tigers,131.2,95,274.0,21,405.2,47,103.1,14,250.8,116,353.8,54,0.2,28.7,20.4,7-5,
Coastal Carolina,165.6,60,157.8,119,323.3,111,212.2,125,245.6,111,457.8,129,0.0,22.8,33.9,6-6,
Colorado,126.7,99,202.8,92,329.4,107,223.4,128,203.2,42,426.6,121,-0.2,20.9,30.5,3-9,
Colorado State,108.2,117,215.9,83,324.2,110,205.0,120,221.1,67,426.1,119,-0.3,18.5,30.8,2-10,
Delaware,116.0,113,301.2,5,417.2,37,164.8,84,246.8,113,411.5,105,-0.2,29.8,32.5,6-6,
Duke,132.2,93,289.3,11,421.5,33,140.8,52,273.2,128,414.1,107,0.6,34.6,29.4,7-5,
East Carolina,185.0,39,280.7,15,465.7,13,120.2,30,228.7,86,348.9,49,0.5,33.5,20.3,8-4,
Eastern Michigan,142.8,78,234.8,58,377.5,76,230.8,129,183.3,22,414.2,108,-0.4,24.1,29.8,4-8,
Florida,136.8,85,204.6,90,341.3,100,154.8,70,222.9,73,377.8,69,-0.1,21.6,24.0,4-8,
Florida Atlantic,105.2,122,340.5,1,445.7,23,201.0,119,235.2,94,436.2,127,-1.8,29.5,36.3,4-8,
Florida International,190.2,29,218.7,78,408.8,42,159.6,78,246.8,113,406.3,99,0.2,29.2,27.8,7-5,
Florida State,218.8,13,253.4,41,472.2,9,138.3,48,190.8,29,329.1,31,-0.4,33.0,22.0,5-7,
Fresno State,170.2,55,180.4,111,350.6,91,134.8,45,160.5,9,295.3,14,0.2,26.4,20.1,8-4,
Georgia Bulldogs,190.7,27,225.7,66,416.3,38,86.2,5,204.8,45,290.9,13,-0.1,32.2,16.7,11-1,
Georgia Southern,148.1,75,253.3,42,401.4,53,221.8,126,244.2,109,466.0,130,0.2,27.8,34.2,6-6,
Georgia State,123.8,103,254.4,39,378.2,75,209.6,123,240.8,104,450.3,128,-0.9,19.8,37.8,1-11,
Georgia Tech,203.2,19,263.2,30,466.4,12,170.0,88,227.3,81,397.3,88,-0.5,33.1,25.0,9-3,
Hawai'i,105.7,120,289.7,10,395.3,61,133.7,43,218.0,62,351.7,52,-0.2,28.5,23.5,8-4,
Houston,176.2,46,215.2,84,391.5,64,133.3,40,214.8,59,348.2,47,0.2,28.3,21.8,9-3,
Illinois,131.2,95,239.1,56,370.3,81,124.4,34,226.5,78,350.9,51,0.3,29.3,23.2,8-4,
Indiana,235.5,8,254.1,40,489.6,4,79.2,2,172.5,14,251.8,3,1.4,44.3,10.9,12-0,
Iowa,177.8,43,137.4,127,315.2,116,116.5,24,158.2,7,274.7,10,0.2,28.9,15.2,8-4,
Iowa State,174.2,48,221.4,73,395.6,60,138.9,50,218.5,64,357.4,56,0.3,27.4,20.2,8-4,
Jacksonville State,263.1,3,166.3,115,429.4,28,155.5,71,242.3,106,397.8,89,0.8,30.2,26.8,8-4,
James Madison,242.3,5,211.7,86,454.0,21,85.1,4,168.8,12,253.9,5,0.0,37.8,16.0,11-1,
Kansas,169.8,57,220.0,75,389.8,65,173.2,94,214.1,57,387.2,81,-0.2,28.1,26.8,5-7,
Kansas State,172.2,51,198.3,94,370.6,80,163.8,83,222.4,71,386.2,80,0.9,29.4,26.7,6-6,
Kennesaw State,166.7,59,245.7,50,412.3,41,172.8,91,237.1,99,409.9,102,-0.1,29.1,25.1,9-3,
Kent State,98.3,125,197.1,96,295.4,124,192.2,116,236.0,96,428.2,122,-0.2,21.2,33.6,5-7,
Kentucky,139.2,82,201.9,93,341.2,101,134.7,44,239.9,102,374.6,66,-0.7,23.0,26.4,5-7,
Liberty,193.0,25,195.5,100,388.5,68,180.1,103,196.8,36,376.8,68,-0.6,25.6,26.5,4-8,
Louisiana,189.5,31,155.3,120,344.8,98,189.6,112,228.0,84,417.6,110,0.2,27.1,30.0,6-6,
Louisiana Tech,196.3,22,168.3,114,364.7,83,142.3,54,234.2,92,376.5,67,0.8,27.7,21.3,7-5,
Louisville,162.7,62,226.2,65,388.9,67,109.8,20,190.6,28,300.3,15,0.2,30.2,21.1,8-4,
Lsu,107.1,118,226.4,64,333.3,105,117.6,26,202.5,41,320.1,25,0.7,21.8,18.3,7-5,
Marshall,198.2,21,207.9,89,406.1,45,148.9,63,261.7,124,410.6,103,0.5,30.8,30.2,5-7,
Maryland,105.5,121,255.7,36,361.2,85,175.9,98,226.5,78,402.4,94,0.6,23.5,26.5,4-8,
Massachusetts,82.4,127,165.1,117,247.5,131,222.1,127,212.5,55,434.6,126,-0.6,11.1,38.6,0-12,
Memphis,186.0,36,234.6,59,420.6,34,133.4,41,227.7,82,361.1,61,0.8,34.6,22.5,8-4,
Miami,149.9,73,275.8,18,425.8,29,86.9,6,190.9,30,277.8,11,0.8,34.1,13.8,10-2,
Miami (oh),159.8,66,195.9,98,355.8,87,118.0,27,206.2,48,324.2,28,0.7,26.1,21.9,7-5,
Michigan,214.2,15,185.8,104,400.0,54,102.0,13,210.6,53,312.6,21,0.3,27.6,18.7,9-3,
Michigan State,122.7,106,222.7,70,345.3,96,148.6,62,231.3,90,379.9,72,-0.2,24.6,29.9,4-8,
Middle Tennessee,106.1,119,264.9,29,371.0,79,146.4,59,256.2,123,402.6,95,0.2,22.4,30.9,3-9,
Minnesota,103.3,124,193.5,101,296.8,123,122.2,32,220.8,66,342.9,44,0.6,23.2,23.4,7-5,
Mississippi State,161.4,64,237.0,57,398.4,58,190.3,113,215.8,60,406.2,98,0.2,30.5,29.2,5-7,
Missouri,234.2,9,195.7,99,429.9,27,101.1,12,171.4,13,272.5,8,-0.4,32.2,19.4,8-4,
Missouri State,119.2,108,273.9,22,393.2,62,161.2,79,224.6,74,385.8,79,-0.1,25.4,28.3,7-5,
Navy,298.9,1,136.4,129,435.3,56,143.4,38,255.5,93,398.9,62,0.1,32.5,26.9,9-2,
Nc State,149.7,74,247.8,47,397.4,59,138.6,49,283.1,131,421.7,114,0.0,30.2,28.8,7-5,
Nebraska,146.8,77,228.2,63,374.9,77,172.9,92,141.1,2,314.0,24,0.2,29.2,23.0,7-5,
Nevada,155.2,71,147.2,123,302.4,122,150.3,64,220.2,65,370.5,63,-1.0,17.6,27.5,3-9,
New Mexico,155.4,70,214.5,85,369.9,82,114.2,23,236.6,97,350.8,50,-0.5,27.9,22.5,9-3,
New Mexico State,77.4,129,250.3,45,327.8,108,165.2,85,236.9,98,402.1,92,-0.1,21.6,27.6,4-8,
North Carolina,105.2,122,183.9,106,289.1,126,125.3,35,211.2,54,336.6,40,-0.2,19.2,24.5,4-8,
North Texas,185.8,37,324.8,2,510.6,1,208.1,122,164.7,10,372.8,65,1.1,46.8,24.2,11-1,
Northern Illinois,185.6,38,98.8,130,284.4,128,183.8,109,173.9,16,357.7,57,0.2,17.1,24.3,3-9,
Northwestern,167.9,58,181.8,108,349.7,92,140.1,51,194.8,34,334.9,36,-0.3,22.5,20.9,6-6,
Notre Dame Fighting Irish,204.4,18,255.1,38,459.5,18,99.7,11,213.4,56,313.1,22,1.1,42.0,17.6,10-2,
Ohio,229.9,10,187.6,103,417.5,36,148.2,61,210.1,52,358.2,58,-0.1,28.7,22.9,8-4,
Ohio State Buckeyes,172.0,52,267.0,25,439.0,24,81.7,3,121.3,1,203.0,1,0.3,37.0,7.8,12-0,
Oklahoma,124.0,102,229.9,61,353.9,89,81.7,3,192.2,31,273.8,9,-0.2,26.4,13.9,10-2,
Oklahoma State,118.4,110,174.1,113,292.5,125,167.2,86,251.2,117,418.4,112,-0.4,14.2,33.3,1-11,
Old Dominion,237.6,6,223.4,69,461.0,17,147.5,60,184.1,24,331.6,34,-0.2,32.7,19.2,9-3,
Ole Miss,189.0,32,309.6,3,498.6,3,150.7,65,182.6,20,333.2,35,-0.2,37.2,20.1,11-1,
Oregon Ducks,218.4,14,246.8,48,465.2,14,108.7,19,144.3,3,253.0,4,0.7,38.2,14.8,11-1,
Oregon State,127.2,98,225.4,67,352.7,90,158.9,77,221.4,68,380.3,73,-0.8,18.2,29.4,2-10,
Penn State,177.5,44,181.6,109,359.1,86,151.8,67,183.5,23,335.2,37,0.2,31.8,21.4,6-6,
Pittsburgh,117.5,112,275.0,20,392.5,63,97.1,8,240.2,103,337.2,41,0.2,35.1,24.9,8-4,
Purdue,126.4,100,217.2,80,343.6,99,182.2,107,241.7,105,423.9,116,-1.0,18.8,31.8,2-10,
Rice,213.3,16,97.9,131,311.2,118,157.5,74,243.8,108,401.3,90,-0.2,19.8,32.2,5-7,
Rutgers,141.5,80,266.1,27,407.6,43,211.1,124,222.9,73,434.0,124,0.0,28.7,31.8,5-7,
Sam Houston,132.8,92,184.0,105,316.8,114,207.5,121,275.9,130,483.4,132,0.2,17.8,37.8,2-10,
San Diego State,188.3,34,153.9,121,341.3,100,111.7,22,155.6,4,267.2,7,0.3,24.7,12.6,9-3,
San José State,120.1,107,283.2,13,403.2,52,158.8,76,245.2,110,404.1,97,-1.1,21.4,32.5,3-9,
Smu,135.6,87,283.5,12,419.1,35,106.8,18,284.7,132,391.4,82,0.9,32.9,20.7,8-4,
South Alabama,201.2,20,181.1,110,382.2,73,176.0,99,204.9,46,380.9,74,0.2,26.5,30.4,4-8,
South Carolina,111.6,115,225.2,68,336.8,104,137.0,47,216.3,61,353.3,53,0.3,22.7,22.1,4-8,
South Florida,225.6,11,275.2,19,500.8,2,133.6,42,251.6,118,385.2,76,0.8,43.0,23.3,9-3,
Southern Miss,137.2,84,266.7,26,403.8,51,176.3,100,226.0,77,402.3,93,1.0,29.8,27.4,7-5,
Stanford,85.5,126,222.0,72,307.5,119,119.8,29,288.9,133,408.7,101,-0.3,18.8,29.2,4-8,
Syracuse,123.1,105,217.2,79,340.3,102,176.3,100,252.8,121,429.2,123,-1.2,20.2,34.9,3-9,
Tcu,133.0,90,292.8,9,425.8,29,135.3,46,242.8,107,378.1,70,0.0,30.8,25.2,8-4,
Temple,147.8,76,197.5,95,345.2,97,197.3,117,199.5,38,396.8,87,0.9,27.8,29.7,5-7,
Tennessee,177.8,43,307.2,4,484.9,6,146.3,58,249.0,114,395.3,85,0.5,40.8,28.8,8-4,
Texas Aandm,193.0,25,261.8,33,454.8,20,127.1,37,182.8,21,309.8,19,-0.6,36.3,21.9,11-1,
Texas Longhorns,129.9,96,253.2,43,383.1,72,98.1,9,237.9,100,336.0,38,1.0,29.6,19.8,9-3,
Texas State,221.2,12,255.4,37,476.6,8,173.1,93,228.3,85,401.4,91,-0.6,36.1,30.6,6-6,
Texas Tech,194.9,24,294.6,8,489.5,5,71.2,1,187.3,27,258.6,6,1.1,43.2,11.2,11-1,
Toledo,178.4,42,244.0,52,422.4,31,92.5,7,156.5,6,249.0,2,0.5,31.6,12.2,8-4,
Troy,109.2,116,216.4,81,325.6,109,170.7,90,207.1,49,377.8,69,0.0,25.2,23.9,8-4,
Tulane,167.9,58,248.4,46,416.3,38,120.4,31,251.9,119,372.3,64,0.4,28.7,22.8,10-2,
Tulsa,176.0,47,222.5,71,398.5,57,182.5,108,214.2,58,396.8,86,-0.7,23.2,28.9,4-8,
USC Trojans,173.9,49,297.3,7,471.2,10,145.2,55,203.3,43,348.5,48,0.2,36.5,22.4,9-3,
Uab,138.8,83,265.6,28,404.3,50,192.1,115,231.5,91,423.6,115,-1.0,26.4,38.2,4-8,
Ucf,158.2,67,220.8,74,378.9,74,151.2,66,185.1,25,336.2,39,-0.3,24.3,23.6,5-7,
Ucla,139.6,81,180.2,112,319.8,113,190.7,114,196.6,35,387.2,81,-0.2,18.2,33.4,3-9,
Uconn,163.2,61,300.5,6,463.7,16,185.4,110,227.8,83,413.2,106,1.2,36.9,25.8,9-3,
Ul Monroe,162.6,63,159.6,118,322.2,112,162.9,81,222.5,72,385.4,78,-0.8,16.6,31.9,3-9,
Unlv,205.2,17,258.6,34,463.8,15,175.5,96,246.0,112,421.5,113,0.6,37.2,28.1,10-2,
Utah,270.0,2,208.8,88,478.8,7,181.7,105,177.5,19,359.2,59,0.4,41.1,18.7,10-2,
Utah State,171.5,53,251.3,44,422.8,30,175.6,97,249.3,115,424.9,118,0.3,31.8,28.2,6-6,
Utep,115.6,114,216.2,82,331.8,106,170.3,89,221.8,70,392.2,84,-1.0,23.3,30.4,2-10,
Utsa,173.1,50,243.2,53,416.3,38,156.0,72,226.7,79,382.7,75,0.3,33.8,29.6,6-6,
Vanderbilt,186.3,35,282.3,14,468.7,11,103.2,15,252.6,120,355.8,55,0.2,39.4,21.9,10-2,
Virginia,190.1,30,244.5,51,434.6,25,110.2,21,203.4,44,313.6,23,0.6,33.2,20.0,10-2,
Virginia Tech,183.2,40,166.3,115,349.5,94,154.2,69,224.8,75,379.1,71,-0.8,21.4,30.2,3-9,
Wake Forest,156.8,68,232.2,60,389.1,66,122.2,33,199.7,39,321.9,26,-0.4,26.8,21.5,8-4,
Washington,170.1,56,245.8,49,415.9,39,103.8,16,207.7,51,311.4,20,0.1,33.8,19.4,8-4,
Washington State,119.0,109,196.8,97,315.8,115,132.8,39,172.8,15,305.5,18,-0.7,21.6,20.2,6-6,
