season,week,team_raw,team_norm,team,pr,pr_rank,sos,sos_rank,hfa,source_url,fetched_at,page_stamp
2025,17,Los Angeles Rams,Los Angeles Rams,Los Angeles Rams,27.44,1,21.47,3,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks,26.39,2,19.96,18,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,25.39,3,20.19,16,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Buffalo Bills,Buffalo Bills,Buffalo Bills,24.71,4,18.58,30,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Houston Texans,Houston Texans,Houston Texans,24.5,5,20.99,7,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Detroit Lions,Detroit Lions,Detroit Lions,24.47,6,20.54,12,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville Jaguars,24.37,7,20.32,14,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Green Bay Packers,Green Bay Packers,Green Bay Packers,24.02,8,19.89,19,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,San Francisco 49ers,San Francisco 49ers,San Francisco 49ers,23.74,9,19.63,22,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Denver Broncos,Denver Broncos,Denver Broncos,23.18,10,18.57,31,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,New England Patriots,New England Patriots,New England Patriots,23.0,11,17.13,32,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Kansas City Chiefs,Kansas City Chiefs,Kansas City Chiefs,22.67,12,20.56,11,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Baltimore Ravens,Baltimore Ravens,Baltimore Ravens,22.57,13,19.77,21,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Los Angeles Chargers,Los Angeles Chargers,Los Angeles Chargers,22.51,14,18.98,28,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Chicago Bears,Chicago Bears,Chicago Bears,22.51,15,19.46,23,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers,21.66,16,20.58,9,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Indianapolis Colts,Indianapolis Colts,Indianapolis Colts,20.93,17,20.37,13,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Minnesota Vikings,Minnesota Vikings,Minnesota Vikings,19.95,18,20.79,8,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa Bay Buccaneers,18.84,19,20.57,10,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Cincinnati Bengals,Cincinnati Bengals,Cincinnati Bengals,17.8,20,21.27,5,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Washington Redskins,Washington Commanders,Washington Commanders,17.44,21,20.32,15,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Atlanta Falcons,Atlanta Falcons,Atlanta Falcons,17.16,22,19.11,26,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Dallas Cowboys,Dallas Cowboys,Dallas Cowboys,17.0,23,19.81,20,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Carolina Panthers,Carolina Panthers,Carolina Panthers,16.69,24,19.24,25,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals,15.42,25,21.23,6,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Miami Dolphins,Miami Dolphins,Miami Dolphins,15.21,26,18.7,29,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,New York Giants,New York Giants,New York Giants,14.84,27,21.66,2,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,New Orleans Saints,New Orleans Saints,New Orleans Saints,14.13,28,19.33,24,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Cleveland Browns,Cleveland Browns,Cleveland Browns,13.64,29,20.11,17,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Tennessee Titans,Tennessee Titans,Tennessee Titans,13.48,30,21.68,1,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,Las Vegas Raiders,Las Vegas Raiders,Las Vegas Raiders,13.02,31,21.38,4,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
2025,17,New York Jets,New York Jets,New York Jets,11.3,32,19.0,27,1.87,http://sagarin.com/sports/nflsend.htm,2025-12-28T22:29:44.195648Z,NFL 2025 through games of 2025 December 22 Monday - Week 16
