Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Air Force,254.5,25,215.5,91,470.0,45,163.5,65,305.8,117,469.2,99,-0.5,37.8,38.8,1-3,
Akron,139.8,74,162.2,99,302.0,102,182.2,114,288.0,129,470.2,127,0.4,16.4,32.2,1-4,
Alabama Crimson Tide,122.0,111,321.8,25,443.8,62,160.5,61,113.5,2,274.0,15,1.8,38.0,16.5,3-1,
App State,151.2,87,284.2,48,435.5,69,84.2,10,239.8,66,324.0,33,-1.8,22.5,27.2,2-2,
Arizona,169.0,78,249.5,74,418.5,79,100.8,22,166.8,18,267.5,13,1.2,31.2,16.2,3-1,
Arizona State,217.6,15,207.8,68,425.4,27,78.6,19,242.8,116,321.4,67,1.0,29.2,21.2,4-1,
Arkansas,214.2,17,300.8,10,515.0,7,169.2,103,257.0,123,426.2,121,-0.4,37.4,30.0,2-3,
Arkansas State,113.8,95,242.6,35,356.4,60,203.4,119,265.8,126,469.2,126,0.0,21.8,32.0,1-4,
Army,286.2,11,94.0,128,380.2,100,168.8,72,206.0,41,374.8,51,-0.8,23.8,31.0,1-3,
Auburn,169.0,46,173.2,90,342.2,73,88.6,26,227.6,106,316.2,64,0.8,27.6,16.4,3-2,
Ball State,149.2,89,122.8,125,272.0,126,168.8,72,262.8,84,431.5,84,-0.8,15.5,33.2,1-3,
Baylor,154.8,56,349.4,1,504.2,8,180.6,111,203.0,76,383.6,105,-0.6,36.6,28.8,3-2,
Boise State,221.8,39,299.0,37,520.8,31,155.5,57,185.5,28,341.0,37,0.8,38.5,24.8,3-1,
Boston College,99.8,123,344.5,15,444.2,61,127.2,39,205.8,40,333.0,35,-0.8,37.5,27.5,1-3,
Bowling Green,156.6,54,166.0,95,322.6,88,133.4,68,233.2,111,366.6,94,0.6,21.2,25.8,2-3,
Buffalo,178.4,38,167.2,93,345.6,71,127.2,60,208.2,82,335.4,78,0.0,24.0,19.6,2-3,
Byu,253.5,27,184.5,109,438.0,67,76.8,8,150.5,9,227.2,4,1.5,38.5,9.2,4-0,
California,110.0,99,255.4,29,365.4,52,111.8,47,195.8,69,307.6,58,0.2,24.8,18.0,4-1,
Central Michigan,182.8,33,153.0,105,335.8,76,157.2,94,219.8,97,377.0,101,0.6,21.8,29.0,3-2,
Charlotte,88.5,125,258.2,69,346.8,112,158.2,58,266.8,87,425.0,81,-1.8,18.2,29.2,1-3,
Cincinnati,191.5,57,288.0,44,479.5,41,108.0,24,248.8,72,356.8,43,-0.2,39.5,18.5,3-1,
Clemson Tigers,116.2,115,249.0,75,365.2,106,122.5,36,240.0,67,362.0,46,-0.5,19.8,22.8,1-3,
Coastal Carolina,148.0,91,146.5,122,294.5,124,175.5,79,208.8,45,384.2,57,-1.2,14.5,26.5,2-2,
Colorado,148.4,64,210.6,64,359.0,57,199.4,117,207.6,80,407.0,118,0.2,25.8,22.8,2-3,
Colorado State,153.5,84,190.8,106,344.2,114,169.0,73,187.0,30,356.0,42,-0.5,15.2,23.0,1-3,
Delaware,152.2,86,266.8,58,419.0,78,167.5,69,241.2,68,408.8,75,0.0,31.0,26.2,3-1,
Duke,153.0,58,319.0,8,472.0,13,139.6,77,254.2,122,393.8,111,0.2,34.8,26.4,3-2,
East Carolina,141.0,71,315.0,9,456.0,17,117.8,51,186.4,60,304.2,53,0.8,30.4,13.4,3-2,
Eastern Michigan,140.4,72,233.6,42,374.0,47,280.2,125,213.8,88,494.0,129,-0.2,24.0,36.6,1-4,
Florida,123.0,109,205.2,97,328.2,119,114.0,28,173.0,24,287.0,21,-0.5,22.0,16.0,1-3,
Florida Atlantic,120.0,113,325.5,23,445.5,60,174.2,76,218.8,51,393.0,63,-2.0,29.2,36.5,1-3,
Florida International,187.0,63,192.2,104,379.2,101,147.2,51,250.5,75,397.8,66,-0.2,24.0,27.2,2-2,
Florida State,336.8,4,263.8,63,600.5,11,111.5,27,184.5,27,296.0,24,0.0,53.0,19.0,3-1,
Fresno State,175.4,40,197.6,76,373.0,48,110.6,46,214.4,89,325.0,72,-0.6,32.8,20.0,4-1,
Georgia Bulldogs,213.5,43,228.5,85,442.0,64,91.2,14,232.8,59,324.0,33,-0.5,34.5,19.5,3-1,
Georgia Southern,136.6,76,211.8,61,348.4,69,265.2,124,217.8,94,483.0,128,0.4,26.0,37.4,2-3,
Georgia State,109.5,117,238.8,80,348.2,108,227.5,113,276.0,99,503.5,116,-0.8,20.2,48.0,1-3,
Georgia Tech,232.0,10,244.0,34,476.0,12,166.6,101,190.4,63,357.0,88,-0.8,37.0,21.2,5-0,
Hawai'i,96.2,94,275.5,4,371.7,21,129.2,91,187.7,103,316.8,104,-1.0,25.7,23.5,4-2,
Houston,172.8,75,208.0,94,380.8,99,125.2,38,140.2,7,265.5,12,1.2,31.2,13.2,4-0,
Illinois,133.6,80,242.6,35,376.2,44,132.4,67,242.4,115,374.8,98,1.0,35.8,23.4,4-1,
Indiana,278.2,3,270.4,17,548.6,2,88.0,25,133.4,18,221.4,17,1.2,47.8,9.6,5-0,
Iowa,178.8,36,148.6,107,327.4,86,79.2,20,184.8,57,264.0,34,-0.2,29.4,15.6,3-2,
Iowa State,151.2,61,235.2,41,386.4,39,118.0,52,191.4,65,309.4,60,0.6,31.6,14.2,5-0,
Jacksonville State,263.6,5,143.8,113,407.4,32,169.8,104,226.6,105,396.4,112,0.2,29.6,26.8,2-3,
James Madison,253.8,26,160.8,117,414.5,82,91.8,15,118.8,4,210.5,2,-0.2,31.2,15.2,3-1,
Kansas,181.2,35,267.2,19,448.4,19,149.6,88,226.6,105,376.2,100,0.4,36.6,20.6,3-2,
Kansas State,141.0,71,203.8,70,344.8,72,181.6,112,181.0,55,362.6,92,0.4,26.2,25.2,2-3,
Kennesaw State,155.2,55,202.4,71,357.6,58,154.4,90,244.8,118,399.2,114,-0.6,19.4,23.2,3-2,
Kent State,87.5,126,204.0,98,291.5,125,260.2,120,285.5,107,545.8,123,-0.2,18.2,44.0,1-3,
Kentucky,188.2,62,159.0,119,347.2,110,147.5,52,249.5,74,397.0,65,-0.5,27.0,26.0,2-2,
Liberty,163.8,50,175.6,88,339.4,74,227.4,123,162.8,38,390.2,108,-0.4,17.0,23.2,1-4,
Louisiana,212.2,19,120.4,120,332.6,80,221.6,122,179.8,53,401.4,115,-0.2,28.2,32.2,2-3,
Louisiana Tech,148.2,65,164.6,96,312.8,93,106.4,43,240.4,114,346.8,85,1.6,28.0,13.6,4-1,
Louisville,130.5,103,279.0,54,409.5,85,117.5,32,150.8,10,268.2,14,0.8,38.2,18.8,4-0,
Lsu,106.4,102,259.4,24,365.4,52,85.4,23,208.6,83,294.0,49,0.6,27.0,12.2,4-1,
Marshall,193.6,30,169.0,92,362.6,54,134.8,71,244.8,118,379.6,103,0.2,31.6,31.0,2-3,
Maryland,102.8,120,265.8,59,368.5,104,92.2,16,208.2,44,300.5,27,1.8,32.5,10.8,4-0,
Massachusetts,62.2,127,163.5,116,225.8,130,185.2,86,270.2,92,455.5,93,-0.2,12.2,39.5,0-4,
Memphis,248.0,6,200.6,72,448.6,18,91.4,29,234.6,112,326.0,73,0.6,39.6,18.0,5-0,
Miami,180.0,69,270.0,57,450.0,56,76.5,7,168.2,19,244.8,9,0.8,36.8,11.5,4-0,
Miami (oh),137.5,99,201.8,101,339.2,117,151.8,55,206.8,42,358.5,44,-0.2,23.2,25.8,1-3,
Michigan,256.8,22,183.2,110,440.0,65,78.2,9,213.8,48,292.0,22,1.2,35.0,17.8,3-1,
Michigan State,153.0,85,220.2,87,373.2,103,119.0,34,263.5,85,382.5,56,0.0,34.2,28.8,3-1,
Middle Tennessee,82.2,120,229.6,46,311.8,94,174.8,106,216.0,91,390.8,109,0.0,16.4,31.0,1-4,
Minnesota,144.8,93,261.2,66,406.0,87,67.0,4,164.5,16,231.5,6,0.5,33.5,16.2,3-1,
Mississippi State,205.2,23,225.6,50,430.8,26,136.6,74,169.0,46,305.6,55,1.2,38.6,17.6,4-1,
Missouri,292.4,1,255.6,28,548.0,3,56.8,5,141.4,25,198.2,10,0.0,45.2,14.6,5-0,
Missouri State,110.2,98,261.8,22,372.0,49,164.2,100,239.0,113,403.2,117,-0.2,21.6,31.6,2-3,
Navy,353.2,2,131.5,123,484.8,38,91.8,15,205.2,39,297.0,25,0.2,38.2,16.8,4-0,
Nc State,152.6,59,264.6,20,417.2,30,146.0,84,267.6,127,413.6,120,-0.4,29.4,28.0,3-2,
Nebraska,145.5,92,351.8,14,497.2,33,174.5,77,75.8,1,250.2,11,1.0,43.5,13.5,3-1,
Nevada,189.5,60,150.0,121,339.5,116,132.8,42,247.8,71,380.5,54,-1.5,15.0,27.0,1-3,
New Mexico,174.8,74,217.0,89,391.8,92,111.5,27,255.5,77,367.0,48,-1.0,30.5,21.5,3-1,
New Mexico State,40.0,128,262.2,65,302.2,122,174.0,75,246.8,70,420.8,79,0.0,18.5,26.0,2-2,
North Carolina,113.5,116,150.0,121,263.5,128,136.8,45,208.0,43,344.8,38,0.0,21.0,22.8,2-2,
North Texas,181.6,34,256.6,26,438.2,24,180.4,110,135.8,21,316.2,64,1.6,44.8,20.0,5-0,
Northern Illinois,149.8,88,99.8,127,249.5,129,148.2,54,171.0,22,319.2,31,0.2,10.2,20.2,1-3,
Northwestern,183.5,66,164.0,115,347.5,109,161.8,63,159.8,15,321.5,32,-1.5,19.0,19.5,2-2,
Notre Dame Fighting Irish,175.0,73,306.5,32,481.5,40,122.8,37,268.8,90,391.5,62,0.2,44.0,27.8,2-2,
