Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Oklahoma,155.8,72,175.8,108,331.6,101,115.4,20,203.2,44,318.5,20,0.0,24.0,21.5,6-7,
Oklahoma State,114.2,113,264.7,37,378.8,89,215.3,123,285.8,119,501.2,122,-0.5,27.2,35.6,3-9,
Old Dominion,211.2,28,192.6,106,403.8,72,173.2,85,237.8,70,411.1,80,-0.2,28.0,28.0,5-7,
Ole Miss,175.8,46,350.8,2,526.7,5,80.5,2,230.8,86,311.3,12,0.8,38.6,14.4,10-3,
Oregon Ducks,158.3,55,279.5,12,437.8,12,130.1,46,185.9,39,316.1,36,0.4,34.9,19.4,13-1,
Oregon State,189.2,48,201.4,98,390.6,83,186.3,100,214.1,35,400.4,68,-0.3,24.2,29.9,5-7,
Penn State,202.4,5,227.9,19,430.3,3,102.2,31,192.9,102,295.1,60,0.7,33.1,16.5,13-3,
Pittsburgh,141.8,80,266.7,26,408.5,45,113.4,17,264.2,120,377.6,77,-0.2,32.9,28.4,7-6,
Purdue,115.5,111,183.9,112,299.4,127,200.9,111,251.6,90,452.5,109,-1.2,15.8,39.9,1-11,
Rice,114.5,112,239.0,69,353.5,104,161.2,64,173.8,1,335.1,10,-0.8,22.2,25.4,4-8,
Rutgers,176.5,45,207.4,82,383.8,63,164.8,92,231.1,87,395.9,98,0.3,28.9,25.4,7-6,
Sam Houston,180.3,41,168.2,113,348.5,92,144.5,56,177.0,15,321.5,25,0.9,23.8,20.5,10-3,
San Diego State,128.9,101,205.7,94,334.6,113,208.0,115,213.2,34,421.2,92,0.3,21.3,29.6,3-9,
San José State,87.9,124,321.8,7,409.7,43,151.9,73,232.8,92,384.8,87,-0.1,28.4,27.5,7-6,
Smu,168.9,39,262.9,18,431.9,14,100.9,9,225.8,105,326.6,47,-0.1,36.5,22.1,11-3,
South Alabama,199.0,22,243.2,41,442.2,27,144.4,55,248.8,109,393.2,96,0.6,34.4,25.2,7-6,
South Carolina,185.2,34,222.8,64,408.0,47,112.7,15,204.4,46,317.1,17,0.2,30.5,18.1,9-4,
South Florida,180.8,40,227.5,55,408.3,46,159.4,84,278.8,125,438.2,116,0.6,32.2,29.8,7-6,
Southern Miss,109.0,115,174.9,116,283.9,130,234.2,128,216.5,38,450.8,108,-1.6,15.2,37.8,1-11,
Stanford,133.8,95,191.2,107,325.1,120,133.8,29,280.6,116,414.4,84,-0.4,22.8,33.7,3-9,
Syracuse,98.8,117,370.0,1,468.8,13,149.7,67,227.3,81,377.0,74,0.1,34.1,29.2,10-3,
Tcu,114.8,106,312.9,10,427.8,37,160.7,86,185.2,24,345.8,40,-0.5,33.5,24.6,9-4,
Temple,93.3,125,216.0,88,309.3,125,226.8,126,191.7,14,418.5,90,-0.8,19.6,35.4,3-9,
Tennessee,226.8,12,221.2,67,448.0,22,104.2,7,189.3,27,293.5,4,0.5,35.7,16.1,10-3,
Texas Aandm,196.2,25,210.3,81,406.5,49,135.4,41,232.2,89,367.5,65,0.4,30.4,22.2,8-5,
Texas Longhorns,159.1,27,278.7,4,437.8,1,110.2,42,173.8,60,284.1,45,0.3,33.0,15.3,13-3,
