Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Air Force,269.1,2,169.0,119,438.1,34,171.0,87,288.1,120,459.1,123,-0.1,33.0,33.0,3-6,
Akron,138.8,75,202.8,76,341.6,82,168.3,104,229.5,103,397.8,114,0.5,21.3,27.1,4-6,
Alabama Crimson Tide,112.0,116,291.2,19,403.2,66,139.2,45,164.7,10,303.9,17,1.1,32.8,17.2,8-1,
App State,128.6,98,288.1,21,416.7,50,117.2,27,271.2,115,388.4,79,-0.6,26.6,27.3,4-5,
Arizona,152.0,78,254.4,50,406.4,62,142.3,52,160.1,7,302.4,15,0.9,33.0,19.9,6-3,
Arizona State,187.3,37,220.8,79,408.1,61,123.8,28,211.6,50,335.3,40,0.3,24.7,23.7,6-3,
Arkansas,209.1,18,275.7,29,484.8,11,185.8,103,246.4,94,432.2,111,-0.8,35.4,33.3,2-7,
Arkansas State,131.2,83,247.0,30,378.2,48,180.2,116,240.9,111,421.1,125,-0.6,23.3,26.5,5-5,
Army,260.8,6,80.8,133,341.6,106,141.3,50,196.9,35,338.2,42,0.3,22.3,22.0,5-4,
Auburn,169.4,35,183.6,93,353.0,74,92.2,14,241.3,112,333.5,61,0.8,23.9,20.4,4-6,
Ball State,134.3,95,134.6,129,268.9,128,176.3,93,227.7,67,404.0,92,-0.2,16.4,27.9,4-5,
Baylor,141.4,85,312.7,10,454.1,24,177.8,95,205.2,45,383.0,75,-0.9,33.8,29.3,5-4,
Boise State,185.4,40,243.0,62,428.4,42,158.3,73,167.8,12,326.1,34,0.2,32.1,24.0,6-3,
Boston College,93.6,120,270.4,17,364.0,64,169.8,107,263.2,122,433.0,131,-1.0,23.7,34.5,1-9,
Bowling Green,145.4,60,154.9,116,300.3,111,147.8,82,202.1,60,349.9,80,0.0,18.5,25.8,3-7,
Buffalo,146.2,82,212.6,89,358.8,93,140.1,46,184.2,21,324.3,31,-0.3,24.8,19.6,5-4,
Byu,201.2,28,213.6,88,414.8,53,131.9,38,192.2,29,324.1,30,0.8,33.0,18.3,8-1,
California,79.5,126,262.7,18,342.2,80,155.6,91,199.5,58,355.1,85,0.0,25.0,25.2,6-4,
Central Michigan,187.7,36,153.6,122,341.2,107,155.9,72,203.7,41,359.6,52,0.6,24.1,24.0,5-4,
Charlotte,99.4,124,225.4,75,324.9,114,205.1,119,265.0,109,470.1,127,-1.0,18.0,38.4,1-8,
Cincinnati,197.0,31,239.9,64,436.9,37,155.3,71,225.6,61,380.9,71,0.2,35.6,21.9,7-2,
Clemson Tigers,120.9,107,288.4,20,409.3,60,106.6,18,245.6,92,351.9,47,-0.3,27.9,22.4,4-5,
Coastal Carolina,193.6,34,140.7,126,334.2,110,187.2,105,228.0,68,415.2,102,0.0,24.1,28.0,6-3,
Colorado,123.4,92,209.6,70,333.0,88,212.0,126,209.8,75,421.8,126,-0.4,22.0,30.0,3-7,
Colorado State,137.2,91,187.7,104,324.9,114,193.7,114,229.9,69,423.6,109,-0.1,18.1,28.8,2-7,
Delaware,112.7,114,303.6,13,416.2,51,172.1,90,232.2,72,404.3,93,-0.6,28.8,31.2,5-4,
