week,team,rating,rank,sos,sos_rank,predictor,golden_mean,recent,recent_strong
10,Texas State,64.45,95,65.08,78,65.06,64.77,61.42,58.26
10,Fresno State,64.25,96,62.44,96,64.53,65.66,60.37,60.15
10,Louisiana Tech,64.16,97,58.56,129,64.36,63.61,62.52,65.86
10,New Mexico,63.56,99,63.17,89,62.51,64.49,61.60,64.72
10,Western Michigan,63.46,100,62.02,105,63.87,62.36,62.14,62.92
10,Arkansas State,63.13,101,62.43,97,61.89,61.90,63.88,65.64
10,Marshall,63.03,102,61.44,110,63.04,63.26,60.55,60.50
10,San Jose State,62.93,103,63.84,85,62.86,62.26,61.56,60.91
10,Wyoming,62.12,106,62.46,95,62.57,60.77,60.84,60.69
10,Kennesaw State,61.80,107,58.20,132,61.57,63.50,57.75,61.35
10,Coastal Carolina,61.79,108,62.23,103,59.74,63.53,59.79,61.34
10,Liberty,61.75,109,58.12,133,62.03,60.91,60.00,59.37
10,Oregon State,61.68,110,67.30,68,63.03,58.83,61.08,59.96
10,Louisiana-Lafayette,61.19,111,62.54,93,61.18,59.77,60.36,59.41
10,Western Kentucky,61.07,112,53.09,156,59.82,60.79,60.34,61.54
10,Utah State,60.80,113,64.00,83,61.13,60.46,58.26,58.67
10,Georgia Southern,60.22,115,63.69,87,60.86,60.73,56.26,54.06
10,Central Michigan,60.19,116,59.75,120,59.18,59.84,59.13,62.10
10,Temple,59.38,120,60.75,113,59.48,59.23,56.67,57.38
10,Appalachian State,59.11,122,59.54,123,59.06,59.04,56.42,57.28
10,Air Force,59.05,123,62.28,101,60.05,56.24,58.33,58.18
10,Jacksonville State,59.04,124,56.44,138,58.26,59.78,56.27,56.99
10,South Alabama,58.38,127,62.34,98,60.01,56.76,55.46,52.85
10,Buffalo,58.17,128,53.57,152,58.67,58.69,54.03,53.33
10,Colorado State,57.70,130,65.09,77,59.12,58.60,51.98,47.93
10,Florida Atlantic,56.05,136,62.88,92,55.16,55.61,54.30,54.77
10,UAB,54.88,141,64.80,79,54.65,55.45,51.01,50.15
10,Northern Illinois,54.83,142,62.96,91,55.47,53.76,51.84,50.19
10,Bowling Green,54.58,143,61.88,106,54.47,54.81,50.94,48.21
10,Oklahoma State,54.54,144,72.84,32,54.94,54.25,50.88,46.12
10,Eastern Michigan,53.99,149,61.73,108,54.07,50.91,53.68,54.34
10,UTEP,53.75,153,58.45,130,54.74,51.53,51.46,50.96
10,Fla. International,53.60,154,59.76,118,52.48,54.43,50.24,49.03
10,Rice,53.36,155,62.25,102,52.19,53.89,50.39,49.98
10,Tulsa,53.24,156,62.47,94,52.54,51.74,52.01,52.97
10,Nevada,52.39,158,65.30,76,52.53,49.66,51.34,50.68
10,Akron,52.07,159,60.42,115,51.30,52.21,48.91,49.81
10,Ball State,51.43,161,63.35,88,50.12,51.96,48.32,48.81
10,LouisianaMonroe(ULM),50.84,164,64.50,81,49.73,53.88,44.24,39.83
10,New Mexico State,50.08,168,56.04,141,49.78,49.63,46.72,47.32
10,Middle Tennessee,49.73,171,58.82,128,50.44,46.28,48.29,48.81
10,Georgia State,49.46,175,66.98,71,50.49,48.10,45.46,42.03
10,Kent State,47.07,192,64.29,82,45.90,46.11,44.75,45.86
10,Charlotte,44.87,203,62.31,100,45.19,44.63,39.73,36.87
10,Sam Houston State,42.98,217,62.97,90,43.97,42.40,37.08,31.81
10,Massachusetts,41.26,226,60.33,116,41.78,38.71,37.68,35.47
10,South Florida,77.02,41,68.82,58,76.38,77.24,77.47,81.99
10,Memphis,75.18,46,59.56,122,74.07,74.79,76.66,79.75
10,North Texas,73.58,52,61.82,107,74.27,73.76,72.09,75.64
10,East Carolina,72.02,57,64.64,80,72.76,71.37,71.16,74.02
10,Tulane,70.14,62,68.63,59,70.01,73.85,65.61,63.74
10,UTSA,68.80,71,63.70,86,69.36,67.25,68.71,69.12
10,Navy,66.15,83,54.52,146,65.20,69.41,62.08,60.63
10,Army West Point,66.00,85,66.49,72,65.90,66.40,63.93,63.85
10,Temple,59.38,120,60.75,113,59.48,59.23,56.67,57.38
10,Florida Atlantic,56.05,136,62.88,92,55.16,55.61,54.30,54.77
10,UAB,54.88,141,64.80,79,54.65,55.45,51.01,50.15
10,Rice,53.36,155,62.25,102,52.19,53.89,50.39,49.98
10,Tulsa,53.24,156,62.47,94,52.54,51.74,52.01,52.97
10,Charlotte,44.87,203,62.31,100,45.19,44.63,39.73,36.87
10,Miami-Florida,87.35,10,75.64,14,87.03,88.26,88.35,89.13
10,Louisville,82.54,22,69.89,51,81.52,85.61,81.70,82.77
10,Pittsburgh,81.37,26,68.08,64,81.48,80.06,83.53,88.16
10,SMU,80.74,27,69.59,53,80.31,80.61,81.92,82.57
10,Florida State,79.80,29,71.00,45,81.56,77.73,80.98,82.28
10,Georgia Tech,79.69,30,68.40,61,79.20,81.25,79.04,80.12
10,Clemson,79.20,32,72.58,36,81.00,76.59,81.00,78.06
10,Virginia,78.25,34,68.93,57,77.40,80.02,77.58,80.35
10,Duke,77.31,36,72.17,38,77.29,75.82,79.23,81.78
10,NC State,75.12,47,74.20,24,75.45,75.98,73.55,72.86
10,Wake Forest,69.63,66,69.78,52,69.99,69.60,68.08,69.59
10,North Carolina,69.11,68,68.01,65,69.24,66.97,70.37,70.02
10,Virginia Tech,68.61,73,72.07,39,70.35,67.21,67.03,64.06
10,California,67.18,76,68.21,63,67.18,67.91,64.81,63.25
10,Syracuse,66.97,77,74.55,20,68.28,67.42,63.47,58.57
10,Stanford,65.74,86,76.64,10,66.40,65.86,63.08,60.29
10,Boston College,64.66,92,72.53,37,66.61,60.89,65.11,61.84
10,Ohio State,97.21,1,74.41,22,94.15,98.38,103.99,112.29
10,Indiana,94.31,2,69.99,50,92.30,94.04,100.30,110.73
10,Oregon,93.00,3,71.20,44,92.28,93.15,96.10,98.00
10,Southern California,84.32,16,72.73,33,83.72,84.21,86.25,89.87
10,Iowa,83.89,17,70.48,48,83.43,82.66,87.08,90.82
10,Penn State,83.46,20,70.89,46,85.18,81.74,84.79,79.56
10,Washington,82.58,21,72.02,40,82.37,82.74,83.47,84.43
10,Michigan,81.72,24,72.61,35,82.06,83.54,80.39,79.65
10,Illinois,80.27,28,76.01,12,80.07,81.02,80.19,80.39
10,Nebraska,77.09,40,69.22,54,77.74,76.56,76.98,75.15
10,Minnesota,72.53,55,67.77,66,72.45,74.24,70.14,66.79
10,Northwestern,71.47,58,69.08,56,71.60,69.12,73.42,77.31
10,Wisconsin,70.55,61,79.92,2,71.91,68.38,70.65,67.00
10,Maryland,70.05,63,68.22,62,70.43,69.58,69.05,68.14
10,UCLA,69.65,65,74.95,17,70.27,69.37,68.11,65.94
10,Michigan State,69.52,67,73.35,29,70.72,67.24,69.78,68.08
10,Rutgers,69.05,69,73.38,28,69.65,69.68,66.46,64.55
10,Purdue,64.81,90,73.84,27,66.07,61.32,65.71,67.03
10,Texas Tech,87.28,11,65.63,75,85.81,87.60,90.29,97.47
10,Utah,86.97,12,71.23,43,86.71,84.22,93.30,101.27
10,BYU,82.25,23,70.34,49,80.40,84.13,83.31,88.98
10,Arizona State,77.16,37,74.62,19,76.98,78.44,76.05,75.10
10,Cincinnati,77.14,39,67.10,70,76.30,76.99,78.29,80.32
10,Kansas State,76.97,42,72.72,34,77.55,76.27,77.11,76.34
10,TCU,76.89,43,71.77,42,76.94,78.77,74.94,75.53
10,Baylor,75.08,48,71.84,41,75.45,74.23,75.34,75.14
10,Arizona,74.48,49,67.75,67,75.23,72.87,75.16,78.71
10,Iowa State,74.30,50,72.86,31,75.84,75.20,71.42,68.76
10,Houston,72.77,53,65.95,74,72.66,74.11,70.80,71.16
10,Kansas,71.09,59,68.62,60,72.09,71.75,68.39,66.51
10,Central Florida(UCF),69.96,64,67.19,69,70.94,68.55,69.41,69.51
10,West Virginia,67.53,74,74.46,21,67.51,67.13,66.51,65.80
10,Colorado,66.79,78,73.13,30,66.98,67.38,64.30,60.94
10,Oklahoma State,54.54,144,72.84,32,54.94,54.25,50.88,46.12
10,Louisiana Tech,64.16,97,58.56,129,64.36,63.61,62.52,65.86
10,Kennesaw State,61.80,107,58.20,132,61.57,63.50,57.75,61.35
10,Liberty,61.75,109,58.12,133,62.03,60.91,60.00,59.37
10,Western Kentucky,61.07,112,53.09,156,59.82,60.79,60.34,61.54
10,Jacksonville State,59.04,124,56.44,138,58.26,59.78,56.27,56.99
10,UTEP,53.75,153,58.45,130,54.74,51.53,51.46,50.96
10,Fla. International,53.60,154,59.76,118,52.48,54.43,50.24,49.03
10,New Mexico State,50.08,168,56.04,141,49.78,49.63,46.72,47.32
10,Middle Tennessee,49.73,171,58.82,128,50.44,46.28,48.29,48.81
10,Sam Houston State,42.98,217,62.97,90,43.97,42.40,37.08,31.81
10,Toledo,67.45,75,57.73,134,68.91,64.82,67.50,67.93
10,Ohio,66.61,80,59.61,121,66.13,66.05,66.15,66.20
10,Miami-Ohio,64.96,89,59.21,126,64.37,63.86,65.05,66.57
10,Western Michigan,63.46,100,62.02,105,63.87,62.36,62.14,62.92
10,Central Michigan,60.19,116,59.75,120,59.18,59.84,59.13,62.10
