week,team,rating,rank,sos,sos_rank,predictor,golden_mean,recent,recent_strong
11,Ohio State,96.65,1,73.98,24,93.96,98.13,101.86,108.88
11,Indiana,93.74,2,71.61,50,92.01,94.06,98.08,106.51
11,Oregon,93.04,3,73.89,26,92.21,93.83,95.49,96.71
11,Texas A&M;,92.80,4,77.17,10,89.79,94.97,97.21,101.71
11,Alabama,91.58,5,79.64,4,90.50,92.53,93.95,96.42
11,Notre Dame,91.57,6,74.30,22,91.20,92.56,93.11,95.12
11,Georgia,90.87,7,77.79,8,88.95,92.88,93.27,95.67
11,Texas Tech,88.57,8,67.33,68,86.79,88.70,92.46,99.51
11,Texas,87.76,9,75.34,16,87.18,89.47,88.31,87.65
11,Miami-Florida,87.51,10,73.60,29,87.30,88.36,88.40,89.75
11,Mississippi,87.41,11,72.57,40,86.20,89.20,88.54,90.67
11,Utah,86.81,12,71.11,51,86.41,84.27,92.78,100.61
11,Southern California,85.11,13,72.31,46,84.42,85.05,87.18,90.56
11,Oklahoma,84.89,14,75.10,17,84.40,85.43,86.02,88.27
11,Vanderbilt,84.64,15,74.47,21,83.74,84.70,86.74,89.54
11,Penn State,84.48,16,74.08,23,86.23,82.16,86.78,81.96
11,Iowa,84.47,17,73.85,27,84.33,82.88,87.84,90.93
11,LSU,84.46,18,80.54,2,84.62,84.41,85.45,83.31
11,Tennessee,84.00,19,74.70,20,84.35,84.41,84.23,83.80
11,SMU,82.57,20,69.64,54,81.96,81.79,85.08,87.53
11,Missouri,82.03,21,72.56,41,82.03,81.84,82.98,82.12
11,Michigan,81.80,22,72.86,36,82.07,83.66,80.49,79.95
11,Pittsburgh,80.98,23,67.45,67,80.87,79.59,83.45,87.99
11,Clemson,80.95,24,72.77,37,82.29,78.43,83.40,82.05
11,Washington,80.91,25,72.33,45,81.16,81.05,81.08,80.89
11,BYU,80.66,26,72.56,42,79.39,82.50,80.76,83.77
11,Illinois,80.18,27,76.02,14,79.86,80.85,80.26,80.95
11,Auburn,80.03,28,78.98,7,81.23,78.50,81.07,79.30
11,Louisville,79.84,29,68.48,62,79.42,82.47,78.27,77.26
11,Georgia Tech,79.73,30,68.69,59,79.13,81.29,79.22,80.43
11,South Carolina,78.79,31,80.01,3,79.69,77.16,80.09,76.62
11,Florida,78.76,32,82.10,1,79.97,78.11,78.49,74.82
11,South Florida,78.75,33,67.57,66,78.21,78.07,80.45,85.93
11,Florida State,78.41,34,72.99,33,80.52,76.39,78.92,78.76
11,Nebraska,77.48,35,69.63,55,77.65,77.32,77.54,76.71
11,Kentucky,77.46,36,79.11,6,78.60,75.47,78.78,79.95
11,Arizona State,77.24,37,74.77,19,77.03,78.58,76.13,75.31
11,Cincinnati,77.08,38,67.30,69,76.14,77.03,78.25,80.37
11,Kansas State,76.94,40,72.77,38,77.47,76.33,77.06,76.35
11,James Madison,76.79,41,61.69,100,75.98,77.31,77.12,81.04
11,Duke,76.01,42,72.68,39,76.33,75.08,76.59,77.79
11,TCU,75.84,43,71.99,48,76.65,77.79,72.98,72.33
11,Virginia,75.80,44,68.51,61,75.77,77.21,74.23,74.90
11,Iowa State,75.52,45,73.38,30,76.29,76.18,73.82,72.77
11,Arkansas,75.31,46,77.68,9,77.47,72.22,76.76,74.77
11,Mississippi State,75.27,47,76.58,12,75.97,73.53,76.38,77.17
11,Baylor,75.08,48,71.90,49,75.35,74.33,75.38,75.13
11,NC State,74.99,49,73.90,25,75.27,75.86,73.47,72.83
11,Arizona,74.23,51,68.15,64,75.03,73.68,73.59,75.87
11,Houston,73.50,52,66.75,71,72.91,74.91,72.15,73.21
11,North Texas,73.45,53,61.61,102,74.16,73.66,71.93,75.49
11,Memphis,73.39,54,60.78,113,73.24,73.25,73.19,74.40
11,Minnesota,72.78,55,68.69,60,72.62,74.66,70.42,67.34
11,Boise State,72.54,56,62.78,90,72.42,72.24,72.34,72.68
11,Wisconsin,72.18,57,79.32,5,73.03,70.06,73.14,70.96
11,Tulane,71.77,58,68.84,58,70.77,74.69,69.20,69.00
11,Wake Forest,71.61,59,70.77,52,71.29,71.44,71.37,74.53
11,Kansas,71.48,60,69.83,53,72.27,71.32,70.01,69.02
11,East Carolina,71.05,61,61.69,101,72.04,71.16,69.03,70.57
