season,week,kickoff_iso_utc,game_key,source_uid,home_team_raw,away_team_raw,home_team_norm,away_team_norm,spread_home_relative,total,moneyline_home,moneyline_away,odds_source,is_closing,snapshot_at,home_pr,home_pr_rank,away_pr,away_pr_rank,home_sos,away_sos,home_sos_rank,away_sos_rank,hfa,rating_diff,rating_vs_odds,favored_side,spread_favored_team,rating_diff_favored_team,rating_vs_odds_favored_team,home_pf_pg,home_pa_pg,home_ry_pg,home_py_pg,home_ty_pg,home_ry_allowed_pg,home_py_allowed_pg,home_ty_allowed_pg,home_to_margin_pg,home_su,home_ats,home_rush_rank,home_pass_rank,home_tot_off_rank,home_rush_def_rank,home_pass_def_rank,home_tot_def_rank,away_pf_pg,away_pa_pg,away_ry_pg,away_py_pg,away_ty_pg,away_ry_allowed_pg,away_py_allowed_pg,away_ty_allowed_pg,away_to_margin_pg,away_su,away_ats,away_rush_rank,away_pass_rank,away_tot_off_rank,away_rush_def_rank,away_pass_def_rank,away_tot_def_rank,raw_sources
2025,9,2025-10-31T00:15:00+00:00,20251031_0015_mia_bal,2025_09_BAL_MIA,MIA,BAL,mia,bal,-7.5,50.5,,,schedule,False,,13.56,29,21.92,12,19.33,21.76,22,6,3.49,-4.87,-12.37,HOME,-7.5,-4.87,-12.37,140.0,205.0,92.4,200.9,293.3,92.4,200.9,293.3,-0.9,1-6,3-4-0,28,27,29,4,4,4,144.0,194.0,126.2,206.7,332.8,126.2,206.7,332.8,-1.2,1-5,1-5-0,10,25,22,22,6,11,"{'schedule_row': {'game_id': '2025_09_BAL_MIA', 'gsis': nan, 'gameday': '2025-10-30', 'season': 2025, 'week': 9, 'home_team': 'MIA', 'away_team': 'BAL'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Miami Dolphins', 'pr': 13.56, 'pr_rank': 29, 'sos': 19.33, 'sos_rank': 22, 'hfa': 3.49}, 'sagarin_row_away': {'team': 'Baltimore Ravens', 'pr': 21.92, 'pr_rank': 12, 'sos': 21.76, 'sos_rank': 6, 'hfa': 3.49}}"
2025,9,2025-11-02T18:00:00+00:00,20251102_1800_cin_chi,2025_09_CHI_CIN,CIN,CHI,cin,chi,-1.5,48.5,,,schedule,False,,18.54,23,20.27,18,21.96,19.51,3,21,3.49,1.76,0.26,HOME,-1.5,1.76,0.26,136.0,214.0,68.9,215.3,284.1,68.9,215.3,284.1,-0.3,3-4,3-4-0,31,20,31,1,11,2,152.0,155.0,129.3,229.7,359.0,129.3,229.7,359.0,1.8,4-2,4-2-0,8,15,10,24,16,23,"{'schedule_row': {'game_id': '2025_09_CHI_CIN', 'gsis': nan, 'gameday': '2025-11-02', 'season': 2025, 'week': 9, 'home_team': 'CIN', 'away_team': 'CHI'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Cincinnati Bengals', 'pr': 18.54, 'pr_rank': 23, 'sos': 21.96, 'sos_rank': 3, 'hfa': 3.49}, 'sagarin_row_away': {'team': 'Chicago Bears', 'pr': 20.27, 'pr_rank': 18, 'sos': 19.51, 'sos_rank': 21, 'hfa': 3.49}}"
2025,9,2025-11-02T18:00:00+00:00,20251102_1800_det_min,2025_09_MIN_DET,DET,MIN,det,min,,,,,schedule,False,,26.5,1,21.08,14,21.84,18.84,4,25,3.49,8.91,,,,,,215.0,151.0,133.7,233.4,367.1,133.7,233.4,367.1,0.9,5-2,5-2-0,5,13,9,27,18,24,145.0,125.0,103.8,239.0,342.8,103.8,239.0,342.8,-0.7,3-3,3-3-0,20,11,19,12,20,14,"{'schedule_row': {'game_id': '2025_09_MIN_DET', 'gsis': nan, 'gameday': '2025-11-02', 'season': 2025, 'week': 9, 'home_team': 'DET', 'away_team': 'MIN'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Detroit Lions', 'pr': 26.5, 'pr_rank': 1, 'sos': 21.84, 'sos_rank': 4, 'hfa': 3.49}, 'sagarin_row_away': {'team': 'Minnesota Vikings', 'pr': 21.08, 'pr_rank': 14, 'sos': 18.84, 'sos_rank': 25, 'hfa': 3.49}}"
2025,9,2025-11-02T18:00:00+00:00,20251102_1800_gb_car,2025_09_CAR_GB,GB,CAR,gb,car,10.5,44.5,,,schedule,False,,24.59,4,17.01,25,20.1,18.04,15,29,3.49,11.07,21.57,AWAY,-10.5,-11.07,-21.57,158.0,125.0,117.5,239.7,357.2,117.5,239.7,357.2,0.0,4-1-1,2-4-0,15,10,12,17,21,21,145.0,152.0,140.1,200.9,341.0,140.1,200.9,341.0,-0.3,4-3,5-2-0,3,27,20,29,4,13,"{'schedule_row': {'game_id': '2025_09_CAR_GB', 'gsis': nan, 'gameday': '2025-11-02', 'season': 2025, 'week': 9, 'home_team': 'GB', 'away_team': 'CAR'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Green Bay Packers', 'pr': 24.59, 'pr_rank': 4, 'sos': 20.1, 'sos_rank': 15, 'hfa': 3.49}, 'sagarin_row_away': {'team': 'Carolina Panthers', 'pr': 17.01, 'pr_rank': 25, 'sos': 18.04, 'sos_rank': 29, 'hfa': 3.49}}"
2025,9,2025-11-02T18:00:00+00:00,20251102_1800_hou_den,2025_09_DEN_HOU,HOU,DEN,hou,den,-1.5,38.5,,,schedule,False,,21.96,10,22.9,7,21.72,18.28,7,28,3.49,2.55,1.05,HOME,-1.5,2.55,1.05,127.0,88.0,106.2,221.3,327.5,106.2,221.3,327.5,0.7,2-4,2-4-0,18,19,23,14,12,10,163.0,127.0,131.9,222.3,354.1,131.9,222.3,354.1,-0.3,5-2,2-5-0,6,18,15,26,13,18,"{'schedule_row': {'game_id': '2025_09_DEN_HOU', 'gsis': nan, 'gameday': '2025-11-02', 'season': 2025, 'week': 9, 'home_team': 'HOU', 'away_team': 'DEN'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Houston Texans', 'pr': 21.96, 'pr_rank': 10, 'sos': 21.72, 'sos_rank': 7, 'hfa': 3.49}, 'sagarin_row_away': {'team': 'Denver Broncos', 'pr': 22.9, 'pr_rank': 7, 'sos': 18.28, 'sos_rank': 28, 'hfa': 3.49}}"
2025,9,2025-11-02T18:00:00+00:00,20251102_1800_ne_atl,2025_09_ATL_NE,NE,ATL,ne,atl,2.5,45.5,,,schedule,False,,20.45,17,19.25,20,16.82,21.24,31,9,3.49,4.69,7.19,AWAY,-2.5,-4.69,-7.19,181.0,133.0,103.4,250.9,354.3,103.4,250.9,354.3,0.3,5-2,5-2-0,21,9,14,11,22,19,110.0,120.0,136.3,239.7,376.0,136.3,239.7,376.0,0.5,3-3,3-3-0,4,10,7,28,21,26,"{'schedule_row': {'game_id': '2025_09_ATL_NE', 'gsis': nan, 'gameday': '2025-11-02', 'season': 2025, 'week': 9, 'home_team': 'NE', 'away_team': 'ATL'}, 'odds_row': None, 'sagarin_row_home': {'team': 'New England Patriots', 'pr': 20.45, 'pr_rank': 17, 'sos': 16.82, 'sos_rank': 31, 'hfa': 3.49}, 'sagarin_row_away': {'team': 'Atlanta Falcons', 'pr': 19.25, 'pr_rank': 20, 'sos': 21.24, 'sos_rank': 9, 'hfa': 3.49}}"
2025,9,2025-11-02T18:00:00+00:00,20251102_1800_nyg_49ers,2025_09_SF_NYG,NYG,SF,nyg,49ers,-3.0,46.5,,,schedule,False,,16.93,26,20.97,15,21.77,19.83,5,19,3.49,-0.55,-3.55,HOME,-3.0,-0.55,-3.55,153.0,177.0,125.1,225.3,350.4,125.1,225.3,350.4,-0.6,2-5,4-3-0,11,16,18,21,15,15,145.0,138.0,95.3,284.3,379.6,95.3,284.3,379.6,-0.7,5-2,4-3-0,24,1,6,8,30,27,"{'schedule_row': {'game_id': '2025_09_SF_NYG', 'gsis': nan, 'gameday': '2025-11-02', 'season': 2025, 'week': 9, 'home_team': 'NYG', 'away_team': 'SF'}, 'odds_row': None, 'sagarin_row_home': {'team': 'New York Giants', 'pr': 16.93, 'pr_rank': 26, 'sos': 21.77, 'sos_rank': 5, 'hfa': 3.49}, 'sagarin_row_away': {'team': 'San Francisco 49ers', 'pr': 20.97, 'pr_rank': 15, 'sos': 19.83, 'sos_rank': 19, 'hfa': 3.49}}"
2025,9,2025-11-02T18:00:00+00:00,20251102_1800_pit_ind,2025_09_IND_PIT,PIT,IND,pit,ind,-2.5,48.5,,,schedule,False,,20.72,16,21.88,13,19.14,17.53,23,30,3.49,2.33,-0.17,HOME,-2.5,2.33,-0.17,150.0,140.0,94.5,213.7,308.2,94.5,213.7,308.2,0.8,4-2,3-3-0,25,22,25,7,9,8,232.0,140.0,130.1,257.0,387.1,130.1,257.0,387.1,1.0,6-1,5-2-0,7,6,4,25,25,29,"{'schedule_row': {'game_id': '2025_09_IND_PIT', 'gsis': nan, 'gameday': '2025-11-02', 'season': 2025, 'week': 9, 'home_team': 'PIT', 'away_team': 'IND'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Pittsburgh Steelers', 'pr': 20.72, 'pr_rank': 16, 'sos': 19.14, 'sos_rank': 23, 'hfa': 3.49}, 'sagarin_row_away': {'team': 'Indianapolis Colts', 'pr': 21.88, 'pr_rank': 13, 'sos': 17.53, 'sos_rank': 30, 'hfa': 3.49}}"
2025,9,2025-11-02T18:00:00+00:00,20251102_1800_ten_lac,2025_09_LAC_TEN,TEN,LAC,ten,lac,,,,,schedule,False,,12.74,31,19.88,19,21.2,19.98,10,16,3.49,-3.65,,,,,,96.0,192.0,75.7,193.7,269.4,75.7,193.7,269.4,-0.4,1-6,2-5-0,30,29,32,2,2,1,151.0,163.0,111.1,279.6,390.7,111.1,279.6,390.7,-0.4,4-3,3-4-0,16,2,2,16,29,31,"{'schedule_row': {'game_id': '2025_09_LAC_TEN', 'gsis': nan, 'gameday': '2025-11-02', 'season': 2025, 'week': 9, 'home_team': 'TEN', 'away_team': 'LAC'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Tennessee Titans', 'pr': 12.74, 'pr_rank': 31, 'sos': 21.2, 'sos_rank': 10, 'hfa': 3.49}, 'sagarin_row_away': {'team': 'Los Angeles Chargers', 'pr': 19.88, 'pr_rank': 19, 'sos': 19.98, 'sos_rank': 16, 'hfa': 3.49}}"
2025,9,2025-11-02T21:05:00+00:00,20251102_2105_la_no,2025_09_NO_LA,LA,NO,la,no,12.5,45.5,,,schedule,False,,23.53,6,12.19,32,20.4,19.79,14,20,3.49,14.83,27.33,AWAY,-12.5,-14.83,-27.33,175.0,117.0,103.4,266.6,370.0,103.4,266.6,370.0,0.4,5-2,5-2-0,21,4,8,11,27,25,125.0,186.0,100.1,209.9,310.0,100.1,209.9,310.0,0.1,1-6,2-5-0,22,23,24,10,8,9,"{'schedule_row': {'game_id': '2025_09_NO_LA', 'gsis': nan, 'gameday': '2025-11-02', 'season': 2025, 'week': 9, 'home_team': 'LA', 'away_team': 'NO'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Los Angeles Rams', 'pr': 23.53, 'pr_rank': 6, 'sos': 20.4, 'sos_rank': 14, 'hfa': 3.49}, 'sagarin_row_away': {'team': 'New Orleans Saints', 'pr': 12.19, 'pr_rank': 32, 'sos': 19.79, 'sos_rank': 20, 'hfa': 3.49}}"
