season,week,team_raw,team_norm,team,pr,pr_rank,sos,sos_rank,hfa,source_url,fetched_at,page_stamp
2025,14,Los Angeles Rams,Los Angeles Rams,Los Angeles Rams,25.83,1,20.36,14,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Kansas City Chiefs,Kansas City Chiefs,Kansas City Chiefs,25.65,2,21.04,7,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Detroit Lions,Detroit Lions,Detroit Lions,25.33,3,20.8,8,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Buffalo Bills,Buffalo Bills,Buffalo Bills,25.24,4,19.0,27,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Green Bay Packers,Green Bay Packers,Green Bay Packers,24.99,5,19.37,23,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,24.95,6,21.21,6,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks,24.89,7,19.07,26,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Denver Broncos,Denver Broncos,Denver Broncos,23.93,8,18.81,29,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Houston Texans,Houston Texans,Houston Texans,23.45,9,21.34,4,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,New England Patriots,New England Patriots,New England Patriots,22.74,10,16.11,32,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Baltimore Ravens,Baltimore Ravens,Baltimore Ravens,22.72,11,19.72,21,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Indianapolis Colts,Indianapolis Colts,Indianapolis Colts,22.42,12,18.66,30,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,San Francisco 49ers,San Francisco 49ers,San Francisco 49ers,22.3,13,19.88,20,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville Jaguars,21.39,14,20.46,11,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Chicago Bears,Chicago Bears,Chicago Bears,20.97,15,19.09,25,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Los Angeles Chargers,Los Angeles Chargers,Los Angeles Chargers,20.63,16,18.12,31,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa Bay Buccaneers,20.52,17,21.8,2,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers,19.73,18,20.19,16,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Dallas Cowboys,Dallas Cowboys,Dallas Cowboys,19.08,19,20.17,17,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Washington Redskins,Washington Commanders,Washington Commanders,19.04,20,20.54,10,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Minnesota Vikings,Minnesota Vikings,Minnesota Vikings,18.0,21,21.22,5,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals,17.44,22,20.42,12,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Atlanta Falcons,Atlanta Falcons,Atlanta Falcons,17.4,23,18.99,28,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Cincinnati Bengals,Cincinnati Bengals,Cincinnati Bengals,17.34,24,20.74,9,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Carolina Panthers,Carolina Panthers,Carolina Panthers,16.73,25,19.96,19,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Miami Dolphins,Miami Dolphins,Miami Dolphins,15.93,26,19.3,24,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,New York Giants,New York Giants,New York Giants,15.5,27,22.61,1,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Cleveland Browns,Cleveland Browns,Cleveland Browns,14.61,28,20.15,18,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,New York Jets,New York Jets,New York Jets,14.42,29,19.49,22,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Las Vegas Raiders,Las Vegas Raiders,Las Vegas Raiders,13.53,30,20.35,15,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,New Orleans Saints,New Orleans Saints,New Orleans Saints,11.77,31,20.38,13,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
2025,14,Tennessee Titans,Tennessee Titans,Tennessee Titans,11.54,32,21.46,3,2.34,http://sagarin.com/sports/nflsend.htm,2025-12-08T22:29:31.077833Z,NFL 2025 through games of 2025 December 1 Monday - Week 13
