Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Arizona Cardinals,97.5,27,258.1,6,355.5,14,97.5,6,258.1,27,355.5,19,0.0,321,414,3-12,6-9-0
Atlanta Falcons,124.7,8,226.5,19,351.1,15,124.7,25,226.5,14,351.1,18,0.1,307,360,6-9,8-7-0
Baltimore Ravens,147.9,3,195.5,28,343.4,17,147.9,30,195.5,5,343.4,16,-0.1,359,348,7-8,5-10-0
Buffalo Bills,158.9,1,230.7,16,389.5,4,158.9,32,230.7,17,389.5,29,0.1,434,344,11-4,7-8-0
Carolina Panthers,123.9,11,198.9,27,322.9,25,123.9,22,198.9,6,322.9,8,0.0,287,337,8-7,9-6-0
Chicago Bears,151.7,2,229.9,17,381.7,6,151.7,31,229.9,16,381.7,27,1.4,387,354,11-4,9-5-1
Cincinnati Bengals,88.6,31,245.3,9,333.9,21,88.6,2,245.3,24,333.9,12,-0.1,359,458,5-10,7-8-0
Cleveland Browns,96.9,28,190.3,31,287.2,30,96.9,5,190.3,2,287.2,3,-0.5,246,355,3-12,6-9-0
Dallas Cowboys,118.8,17,285.7,1,404.5,2,118.8,16,285.7,32,404.5,31,-0.5,424,454,6-8-1,7-8-0
Denver Broncos,118.3,18,240.5,11,358.8,11,118.3,15,240.5,22,358.8,22,-0.3,362,295,12-3,6-9-0
Detroit Lions,123.4,12,269.3,3,392.7,3,123.4,21,269.3,30,392.7,30,0.3,452,374,8-7,7-8-0
Green Bay Packers,122.0,14,234.3,13,356.3,13,122.0,19,234.3,20,356.3,20,0.0,364,303,9-5-1,6-9-0
Houston Texans,106.7,23,233.8,14,340.5,19,106.7,10,233.8,19,340.5,14,0.9,346,249,10-5,8-7-0
Indianapolis Colts,124.1,10,243.5,10,367.6,7,124.1,23,243.5,23,367.6,26,0.1,419,351,8-7,8-7-0
Jacksonville Jaguars,118.1,19,232.8,15,350.9,16,118.1,14,232.8,18,350.9,17,0.8,410,312,11-4,10-5-0
Kansas City Chiefs,109.7,22,249.0,7,358.7,12,109.7,11,249.0,26,358.7,21,-0.1,337,294,6-9,5-10-0
Los Angeles Rams,126.3,5,278.6,2,404.9,1,126.3,28,278.6,31,404.9,32,0.8,457,299,11-4,11-4-0
Los Angeles Chargers,125.3,6,238.7,12,364.1,9,125.3,27,238.7,21,364.1,24,0.3,349,301,11-4,9-6-0
Las Vegas Raiders,75.7,32,201.2,24,276.9,32,75.7,1,201.2,9,276.9,1,-0.4,217,386,2-13,6-9-0
Miami Dolphins,122.4,13,200.9,25,323.3,24,122.4,20,200.9,8,323.3,9,-0.1,317,369,6-9,7-8-0
Minnesota Vikings,103.1,25,194.5,29,297.6,28,103.1,8,194.5,4,297.6,5,-0.5,305,320,7-8,7-8-0
New England Patriots,119.5,16,263.9,4,383.5,5,119.5,17,263.9,29,383.5,28,0.1,410,300,12-3,10-5-0
New Orleans Saints,92.8,30,229.0,18,321.8,26,92.8,3,229.0,15,321.8,7,-0.2,255,338,5-10,7-8-0
New York Giants,125.3,7,217.7,20,343.0,18,125.3,26,217.7,13,343.0,15,-0.2,313,412,2-13,7-8-0
New York Jets,124.2,9,171.3,32,295.5,29,124.2,24,171.3,1,295.5,4,-1.2,282,426,3-12,7-8-0
Philadelphia Eagles,121.7,15,209.8,23,331.5,22,121.7,18,209.8,10,331.5,11,0.3,349,289,10-5,9-6-0
Pittsburgh Steelers,101.7,26,211.3,22,313.0,27,101.7,7,211.3,11,313.0,6,0.7,365,350,9-6,8-6-1
Seattle Seahawks,116.9,21,247.9,8,364.7,8,116.9,12,247.9,25,364.7,25,-0.3,443,279,12-3,10-5-0
San Francisco 49ers,104.3,24,259.2,5,363.5,10,104.3,9,259.2,28,363.5,23,-0.3,392,320,11-4,10-5-0
Tampa Bay Buccaneers,116.9,20,213.7,21,330.7,23,116.9,13,213.7,12,330.7,10,0.3,347,377,7-8,5-10-0
Tennessee Titans,93.6,29,191.1,30,284.7,31,93.6,4,191.1,3,284.7,2,-0.3,251,403,3-12,7-8-0
Washington Commanders,133.9,4,200.0,26,333.9,20,133.9,29,200.0,7,333.9,13,-0.8,309,404,4-11,5-10-0
