Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Air Force,267.3,31,194.7,113,462.0,77,189.3,74,255.3,64,444.7,65,-0.3,38.7,37.0,1-2,
Akron,157.5,57,183.0,94,340.5,81,164.8,95,286.8,119,451.5,118,0.8,19.8,29.0,1-3,
Alabama Crimson Tide,123.7,109,335.7,39,459.3,80,138.3,43,108.0,3,246.3,9,2.0,42.7,15.0,2-1,
App State,162.0,89,357.3,29,519.3,48,61.7,3,212.7,34,274.3,13,-1.0,25.3,20.7,2-1,
Arizona,189.7,71,248.3,89,438.0,88,97.0,19,126.3,9,223.3,4,2.0,37.0,8.7,3-0,
Arizona State,219.8,19,187.0,88,406.8,42,95.2,34,238.8,94,334.0,66,0.8,29.8,20.5,3-1,
Arkansas,227.8,14,324.2,10,552.0,7,158.5,88,213.5,80,372.0,87,0.0,43.5,23.5,2-2,
Arkansas State,138.0,76,231.2,56,369.2,62,199.8,115,288.5,120,488.2,124,0.2,23.2,33.0,1-3,
Army,301.3,15,109.0,130,410.3,100,165.0,58,191.0,26,356.0,33,-1.3,29.7,32.0,1-2,
Auburn,198.2,33,185.2,90,383.5,53,59.0,8,232.8,90,291.8,41,0.8,32.0,16.5,3-1,
Ball State,149.2,64,122.8,126,272.0,115,168.8,99,262.8,107,431.5,116,-0.8,15.5,33.2,1-3,
Baylor,138.8,74,338.5,4,477.2,14,186.2,111,181.0,55,367.2,84,-0.5,34.5,29.2,2-2,
Boise State,245.0,41,291.7,65,536.7,43,167.7,59,225.7,42,393.3,44,-0.3,35.7,28.3,2-1,
Boston College,73.7,122,393.7,18,467.3,73,129.3,36,189.7,25,319.0,24,-0.7,42.0,27.3,1-2,
Bowling Green,150.8,63,165.0,103,315.8,97,107.2,45,239.5,95,346.8,74,1.0,21.5,23.5,2-2,
Buffalo,172.0,49,177.8,100,349.8,74,117.8,53,221.5,86,339.2,68,0.0,25.8,19.5,2-2,
Byu,265.7,32,186.3,117,452.0,83,45.0,2,161.0,15,206.0,2,1.7,43.3,5.3,3-0,
California,107.2,105,255.8,38,363.0,68,95.2,34,195.5,67,290.8,39,0.0,24.0,16.5,3-1,
Central Michigan,150.8,63,156.2,106,307.0,101,165.8,97,231.0,88,396.8,98,0.5,21.2,33.0,2-2,
Charlotte,88.5,112,258.2,35,346.8,76,158.2,87,266.8,111,425.0,113,-1.8,18.2,29.2,1-3,
Cincinnati,183.7,77,254.7,86,438.3,87,93.3,18,183.3,21,276.7,14,-0.7,40.3,13.3,2-1,
Clemson Tigers,116.2,96,249.0,40,365.2,65,122.5,57,240.0,96,362.0,82,-0.5,19.8,22.8,1-3,
Coastal Carolina,148.0,65,146.5,112,294.5,108,175.5,102,208.8,75,384.2,94,-1.2,14.5,26.5,2-2,
Colorado,142.5,70,233.5,54,376.0,57,195.0,113,214.8,82,409.8,109,0.5,27.0,22.5,2-2,
Colorado State,156.0,95,191.7,114,347.7,119,172.7,61,186.3,23,359.0,34,-0.3,19.3,24.0,1-2,
Delaware,152.2,61,266.8,30,419.0,35,167.5,98,241.2,97,408.8,108,0.0,31.0,26.2,3-1,
Duke,132.2,81,331.8,6,464.0,18,153.2,83,260.5,106,413.8,110,-0.5,34.0,32.2,2-2,
East Carolina,131.2,83,331.0,8,462.2,19,87.0,29,220.8,85,307.8,52,1.2,31.0,15.2,2-2,
Eastern Michigan,144.8,68,248.2,41,393.0,45,272.5,123,232.2,89,504.8,126,0.0,26.8,39.8,1-3,
Florida,123.0,86,205.2,74,328.2,89,114.0,50,173.0,47,287.0,37,-0.5,22.0,16.0,1-3,
Florida Atlantic,135.0,107,326.7,45,461.7,78,135.3,39,226.3,43,361.7,35,-2.7,30.3,30.3,1-2,
Florida International,187.0,38,192.2,85,379.2,56,147.2,76,250.5,100,397.8,99,-0.2,24.0,27.2,2-2,
Florida State,363.0,4,265.7,80,628.7,16,78.3,7,169.7,17,248.0,10,0.0,58.0,10.0,3-0,
Fresno State,175.4,20,197.6,43,373.0,17,110.6,70,214.4,112,325.0,106,-0.6,32.8,20.0,4-1,
Georgia Bulldogs,209.0,58,261.3,82,470.3,72,82.7,12,217.0,38,299.7,19,-0.3,39.0,18.0,3-0,
Georgia Southern,162.8,52,223.5,57,386.2,51,245.8,121,235.2,93,481.0,121,0.5,30.0,38.0,2-2,
Georgia State,109.5,102,238.8,49,348.2,75,227.5,119,276.0,115,503.5,125,-0.8,20.2,48.0,1-3,
Georgia Tech,249.2,10,243.0,47,492.2,12,155.2,85,179.8,53,335.0,67,-0.8,38.8,19.2,4-0,
Hawai'i,98.2,87,239.2,16,337.4,34,111.8,72,169.6,76,281.4,76,-1.4,22.0,21.2,3-2,
Houston,202.3,62,187.3,116,389.7,109,104.0,22,120.0,7,224.0,5,2.0,32.7,9.7,3-0,
Illinois,124.0,85,220.5,61,344.5,80,134.0,67,212.0,76,346.0,73,1.2,36.2,21.2,3-1,
Indiana,309.5,1,279.8,20,589.2,1,87.0,29,118.8,13,205.8,13,1.2,54.8,8.2,4-0,
Iowa,200.5,31,137.8,119,338.2,84,60.8,10,172.8,46,233.5,21,0.0,33.0,14.5,3-1,
Iowa State,161.0,55,222.0,60,383.0,54,120.8,56,176.0,48,296.8,46,0.5,29.8,14.2,4-0,
Jacksonville State,264.0,5,147.8,110,411.8,39,155.5,86,245.2,98,400.8,101,1.0,30.8,23.0,2-2,
James Madison,224.0,50,165.0,125,389.0,110,111.7,28,103.3,2,215.0,3,-0.3,30.0,17.0,2-1,
Kansas,188.5,37,222.8,58,411.2,40,133.2,66,186.2,61,319.5,57,0.8,37.2,16.5,3-1,
Kansas State,108.8,103,212.8,68,321.5,94,175.8,103,177.0,50,352.8,77,0.0,24.2,26.5,1-3,
