season,week,kickoff_iso_utc,game_key,source_uid,home_team_raw,away_team_raw,home_team_norm,away_team_norm,spread_home_relative,total,moneyline_home,moneyline_away,odds_source,is_closing,snapshot_at,home_pr,home_pr_rank,away_pr,away_pr_rank,home_sos,away_sos,home_sos_rank,away_sos_rank,hfa,rating_diff,rating_vs_odds,favored_side,spread_favored_team,rating_diff_favored_team,rating_vs_odds_favored_team,home_pf_pg,home_pa_pg,home_ry_pg,home_py_pg,home_ty_pg,home_ry_allowed_pg,home_py_allowed_pg,home_ty_allowed_pg,home_to_margin_pg,home_su,home_ats,home_rush_rank,home_pass_rank,home_tot_off_rank,home_rush_def_rank,home_pass_def_rank,home_tot_def_rank,away_pf_pg,away_pa_pg,away_ry_pg,away_py_pg,away_ty_pg,away_ry_allowed_pg,away_py_allowed_pg,away_ty_allowed_pg,away_to_margin_pg,away_su,away_ats,away_rush_rank,away_pass_rank,away_tot_off_rank,away_rush_def_rank,away_pass_def_rank,away_tot_def_rank,raw_sources
2025,10,2025-11-07T01:15:00+00:00,20251107_0115_den_lv,2025_10_LV_DEN,DEN,LV,den,lv,9.5,42.5,,,schedule,False,,24.07,7,14.94,28,18.49,20.54,29,14,2.58,11.71,21.21,AWAY,-9.5,-11.71,-21.21,225.0,166.0,133.6,219.6,353.1,133.6,219.6,353.1,-0.3,7-2,4-5-0,7,18,14,26,14,18,132.0,210.0,89.1,213.6,302.8,89.1,213.6,302.8,-0.4,2-6,3-5-0,29,21,27,4,11,5,"{'schedule_row': {'game_id': '2025_10_LV_DEN', 'gsis': 59978.0, 'gameday': '2025-11-06', 'season': 2025, 'week': 10, 'home_team': 'DEN', 'away_team': 'LV'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Denver Broncos', 'pr': 24.07, 'pr_rank': 7, 'sos': 18.49, 'sos_rank': 29, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Las Vegas Raiders', 'pr': 14.94, 'pr_rank': 28, 'sos': 20.54, 'sos_rank': 14, 'hfa': 2.58}}"
2025,10,2025-11-09T14:30:00+00:00,20251109_1430_ind_atl,2025_10_ATL_IND,IND,ATL,ind,atl,6.5,48.5,,,schedule,False,,22.65,10,17.06,23,17.62,19.7,31,20,2.58,8.17,14.67,AWAY,-6.5,-8.17,-14.67,290.0,181.0,125.6,268.1,393.7,125.6,268.1,393.7,0.2,7-2,6-3-0,8,4,3,25,28,29,143.0,178.0,116.8,229.0,345.8,116.8,229.0,345.8,0.4,3-5,4-4-0,15,16,15,18,16,17,"{'schedule_row': {'game_id': '2025_10_ATL_IND', 'gsis': 59979.0, 'gameday': '2025-11-09', 'season': 2025, 'week': 10, 'home_team': 'IND', 'away_team': 'ATL'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Indianapolis Colts', 'pr': 22.65, 'pr_rank': 10, 'sos': 17.62, 'sos_rank': 31, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Atlanta Falcons', 'pr': 17.06, 'pr_rank': 23, 'sos': 19.7, 'sos_rank': 20, 'hfa': 2.58}}"
2025,10,2025-11-09T18:00:00+00:00,20251109_1800_car_no,2025_10_NO_CAR,CAR,NO,car,no,5.5,38.5,,,schedule,False,,16.04,25,12.17,31,18.63,20.79,28,10,2.58,6.45,11.95,AWAY,-5.5,-6.45,-11.95,170.0,205.0,139.8,187.0,326.8,139.8,187.0,326.8,-0.4,5-4,6-3-0,5,30,22,28,2,10,138.0,243.0,89.6,212.1,301.7,89.6,212.1,301.7,-0.3,1-8,2-7-0,27,23,28,6,9,4,"{'schedule_row': {'game_id': '2025_10_NO_CAR', 'gsis': 59980.0, 'gameday': '2025-11-09', 'season': 2025, 'week': 10, 'home_team': 'CAR', 'away_team': 'NO'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Carolina Panthers', 'pr': 16.04, 'pr_rank': 25, 'sos': 18.63, 'sos_rank': 28, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'New Orleans Saints', 'pr': 12.17, 'pr_rank': 31, 'sos': 20.79, 'sos_rank': 10, 'hfa': 2.58}}"
2025,10,2025-11-09T18:00:00+00:00,20251109_1800_chi_nyg,2025_10_NYG_CHI,CHI,NYG,chi,nyg,4.5,45.5,,,schedule,False,,20.03,18,15.77,27,19.05,21.94,27,1,2.58,6.84,11.34,AWAY,-4.5,-6.84,-11.34,215.0,227.0,144.4,245.6,390.0,144.4,245.6,390.0,1.6,5-3,5-3-0,2,9,4,31,23,28,197.0,249.0,117.9,217.9,335.8,117.9,217.9,335.8,-0.5,2-7,4-5-0,14,19,20,19,13,12,"{'schedule_row': {'game_id': '2025_10_NYG_CHI', 'gsis': 59981.0, 'gameday': '2025-11-09', 'season': 2025, 'week': 10, 'home_team': 'CHI', 'away_team': 'NYG'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Chicago Bears', 'pr': 20.03, 'pr_rank': 18, 'sos': 19.05, 'sos_rank': 27, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'New York Giants', 'pr': 15.77, 'pr_rank': 27, 'sos': 21.94, 'sos_rank': 1, 'hfa': 2.58}}"
2025,10,2025-11-09T18:00:00+00:00,20251109_1800_hou_jaguars,2025_10_JAX_HOU,HOU,JAX,hou,jaguars,-1.5,37.5,,,schedule,False,,22.64,11,20.25,17,20.61,20.81,12,9,2.58,4.97,3.47,HOME,-1.5,4.97,3.47,168.0,121.0,108.9,232.8,341.6,108.9,232.8,341.6,0.9,3-5,3-5-0,21,14,17,12,18,15,176.0,184.0,123.6,230.0,353.6,123.6,230.0,353.6,0.8,5-3,4-4-0,11,15,13,22,17,19,"{'schedule_row': {'game_id': '2025_10_JAX_HOU', 'gsis': 59982.0, 'gameday': '2025-11-09', 'season': 2025, 'week': 10, 'home_team': 'HOU', 'away_team': 'JAX'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Houston Texans', 'pr': 22.64, 'pr_rank': 11, 'sos': 20.61, 'sos_rank': 12, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Jacksonville Jaguars', 'pr': 20.25, 'pr_rank': 17, 'sos': 20.81, 'sos_rank': 9, 'hfa': 2.58}}"
2025,10,2025-11-09T18:00:00+00:00,20251109_1800_mia_buf,2025_10_BUF_MIA,MIA,BUF,mia,buf,-8.5,50.5,,,schedule,False,,15.83,26,24.75,5,19.96,18.07,18,30,2.58,-6.34,-14.84,HOME,-8.5,-6.34,-14.84,180.0,243.0,97.2,208.0,305.2,97.2,208.0,305.2,-0.5,2-7,4-5-0,25,25,26,8,7,6,235.0,167.0,161.5,235.9,397.4,161.5,235.9,397.4,-0.2,6-2,4-4-0,1,13,1,32,19,31,"{'schedule_row': {'game_id': '2025_10_BUF_MIA', 'gsis': 59983.0, 'gameday': '2025-11-09', 'season': 2025, 'week': 10, 'home_team': 'MIA', 'away_team': 'BUF'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Miami Dolphins', 'pr': 15.83, 'pr_rank': 26, 'sos': 19.96, 'sos_rank': 18, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Buffalo Bills', 'pr': 24.75, 'pr_rank': 5, 'sos': 18.07, 'sos_rank': 30, 'hfa': 2.58}}"
2025,10,2025-11-09T18:00:00+00:00,20251109_1800_min_bal,2025_10_BAL_MIN,MIN,BAL,min,bal,-4.5,48.5,,,schedule,False,,19.55,19,24.16,6,20.11,21.0,17,7,2.58,-2.03,-6.53,HOME,-4.5,-2.03,-6.53,182.0,186.0,99.9,216.8,316.6,99.9,216.8,316.6,-0.9,4-4,4-4-0,23,20,25,10,12,7,202.0,216.0,135.5,203.8,339.2,135.5,203.8,339.2,-0.2,3-5,3-5-0,6,26,18,27,6,14,"{'schedule_row': {'game_id': '2025_10_BAL_MIN', 'gsis': 59984.0, 'gameday': '2025-11-09', 'season': 2025, 'week': 10, 'home_team': 'MIN', 'away_team': 'BAL'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Minnesota Vikings', 'pr': 19.55, 'pr_rank': 19, 'sos': 20.11, 'sos_rank': 17, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Baltimore Ravens', 'pr': 24.16, 'pr_rank': 6, 'sos': 21.0, 'sos_rank': 7, 'hfa': 2.58}}"
2025,10,2025-11-09T18:00:00+00:00,20251109_1800_nyj_cle,2025_10_CLE_NYJ,NYJ,CLE,nyj,cle,-1.5,37.5,,,schedule,False,,13.95,30,14.5,29,19.14,20.97,25,8,2.58,2.03,0.53,HOME,-1.5,2.03,0.53,168.0,221.0,143.6,184.0,327.6,143.6,184.0,327.6,-1.1,1-7,4-4-0,3,31,21,30,1,11,126.0,184.0,89.5,189.6,279.1,89.5,189.6,279.1,0.3,2-6,3-5-0,28,29,30,5,3,2,"{'schedule_row': {'game_id': '2025_10_CLE_NYJ', 'gsis': 59985.0, 'gameday': '2025-11-09', 'season': 2025, 'week': 10, 'home_team': 'NYJ', 'away_team': 'CLE'}, 'odds_row': None, 'sagarin_row_home': {'team': 'New York Jets', 'pr': 13.95, 'pr_rank': 30, 'sos': 19.14, 'sos_rank': 25, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Cleveland Browns', 'pr': 14.5, 'pr_rank': 29, 'sos': 20.97, 'sos_rank': 8, 'hfa': 2.58}}"
2025,10,2025-11-09T18:00:00+00:00,20251109_1800_tb_ne,2025_10_NE_TB,TB,NE,tb,ne,2.5,48.5,,,schedule,False,,21.68,13,21.89,12,21.72,16.21,4,32,2.58,2.37,4.87,AWAY,-2.5,-2.37,-4.87,197.0,178.0,98.1,239.9,338.0,98.1,239.9,338.0,0.9,6-2,5-3-0,24,11,19,9,21,13,237.0,169.0,112.3,255.2,367.6,112.3,255.2,367.6,0.0,7-2,6-3-0,17,8,9,16,24,23,"{'schedule_row': {'game_id': '2025_10_NE_TB', 'gsis': 59986.0, 'gameday': '2025-11-09', 'season': 2025, 'week': 10, 'home_team': 'TB', 'away_team': 'NE'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Tampa Bay Buccaneers', 'pr': 21.68, 'pr_rank': 13, 'sos': 21.72, 'sos_rank': 4, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'New England Patriots', 'pr': 21.89, 'pr_rank': 12, 'sos': 16.21, 'sos_rank': 32, 'hfa': 2.58}}"
2025,10,2025-11-09T21:05:00+00:00,20251109_2105_sea_ari,2025_10_ARI_SEA,SEA,ARI,sea,ari,7.0,44.5,,,schedule,False,,24.03,8,17.44,22,19.92,19.64,19,21,2.58,9.17,16.17,AWAY,-7.0,-9.17,-16.17,231.0,150.0,103.9,262.4,366.2,103.9,262.4,366.2,-0.7,6-2,6-2-0,22,5,10,11,27,22,180.0,171.0,111.5,227.8,339.2,111.5,227.8,339.2,0.0,3-5,5-3-0,20,17,18,13,15,14,"{'schedule_row': {'game_id': '2025_10_ARI_SEA', 'gsis': 59987.0, 'gameday': '2025-11-09', 'season': 2025, 'week': 10, 'home_team': 'SEA', 'away_team': 'ARI'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Seattle Seahawks', 'pr': 24.03, 'pr_rank': 8, 'sos': 19.92, 'sos_rank': 19, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Arizona Cardinals', 'pr': 17.44, 'pr_rank': 22, 'sos': 19.64, 'sos_rank': 21, 'hfa': 2.58}}"
