Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Arizona Cardinals,111.5,20,227.8,17,339.2,18,111.5,13,227.8,15,339.2,14,0.3,180,171,3-5,5-3-0
Atlanta Falcons,116.8,15,229.0,16,345.8,15,116.8,18,229.0,16,345.8,17,0.5,143,178,3-5,4-4-0
Baltimore Ravens,135.5,6,203.8,26,339.2,18,135.5,27,203.8,6,339.2,14,-0.4,202,216,3-5,3-5-0
Buffalo Bills,161.5,1,235.9,13,397.4,1,161.5,32,235.9,19,397.4,31,0.4,235,167,6-2,4-4-0
Carolina Panthers,139.8,5,187.0,30,326.8,22,139.8,28,187.0,2,326.8,10,-0.4,170,205,5-4,6-3-0
Chicago Bears,144.4,2,245.6,9,390.0,4,144.4,31,245.6,23,390.0,28,1.6,215,227,5-3,5-3-0
Cincinnati Bengals,78.8,32,244.4,10,323.2,23,78.8,1,244.4,22,323.2,9,-0.6,216,300,3-6,3-6-0
Cleveland Browns,89.5,28,189.6,29,279.1,30,89.5,5,189.6,3,279.1,2,0.0,126,184,2-6,3-5-0
Dallas Cowboys,120.7,13,268.7,2,389.3,5,120.7,20,268.7,30,389.3,27,-0.4,263,277,3-5-1,4-5-0
Denver Broncos,133.6,7,219.6,18,353.1,14,133.6,26,219.6,14,353.1,18,-0.3,225,166,7-2,4-5-0
Detroit Lions,125.1,9,239.8,12,364.9,12,125.1,24,239.8,20,364.9,20,0.8,239,178,5-3,5-3-0
Green Bay Packers,112.9,16,258.9,7,371.8,8,112.9,17,258.9,25,371.8,24,0.0,206,166,5-2-1,3-5-0
Houston Texans,108.9,21,232.8,14,341.6,17,108.9,12,232.8,18,341.6,15,0.8,168,121,3-5,3-5-0
Indianapolis Colts,125.6,8,268.1,4,393.7,3,125.6,25,268.1,28,393.7,29,0.3,290,181,7-2,6-3-0
Jacksonville Jaguars,123.6,11,230.0,15,353.6,13,123.6,22,230.0,17,353.6,19,1.0,176,184,5-3,4-4-0
Kansas City Chiefs,121.2,12,261.0,6,382.2,6,121.2,21,261.0,26,382.2,26,0.4,235,159,5-4,5-4-0
Los Angeles Rams,111.9,18,268.4,3,380.2,7,111.9,15,268.4,29,380.2,25,0.6,209,127,6-2,6-2-0
Los Angeles Chargers,124.0,10,270.4,1,394.4,2,124.0,23,270.4,31,394.4,30,-0.4,215,193,6-3,4-5-0
Las Vegas Raiders,89.1,29,213.6,21,302.8,27,89.1,4,213.6,11,302.8,5,-0.6,132,210,2-6,3-5-0
Miami Dolphins,97.2,25,208.0,25,305.2,26,97.2,8,208.0,7,305.2,6,-0.9,180,243,2-7,4-5-0
Minnesota Vikings,99.9,23,216.8,20,316.6,25,99.9,10,216.8,12,316.6,7,-0.5,182,186,4-4,4-4-0
New England Patriots,112.3,17,255.2,8,367.6,9,112.3,16,255.2,24,367.6,23,0.0,237,169,7-2,6-3-0
New Orleans Saints,89.6,27,212.1,23,301.7,28,89.6,6,212.1,9,301.7,4,-0.4,138,243,1-8,2-7-0
New York Giants,117.9,14,217.9,19,335.8,20,117.9,19,217.9,13,335.8,12,-0.3,197,249,2-7,4-5-0
New York Jets,143.6,3,184.0,31,327.6,21,143.6,30,184.0,1,327.6,11,-1.1,168,221,1-7,4-4-0
Philadelphia Eagles,111.6,19,209.6,24,321.2,24,111.6,14,209.6,8,321.2,8,0.5,208,185,6-2,5-3-0
Pittsburgh Steelers,87.2,30,213.0,22,300.2,29,87.2,3,213.0,10,300.2,3,1.1,202,195,5-3,4-4-0
Seattle Seahawks,103.9,22,262.4,5,366.2,10,103.9,11,262.4,27,366.2,22,-0.4,231,150,6-2,6-2-0
San Francisco 49ers,97.1,26,268.7,2,365.8,11,97.1,7,268.7,30,365.8,21,-0.7,194,188,6-3,5-4-0
Tampa Bay Buccaneers,98.1,24,239.9,11,338.0,19,98.1,9,239.9,21,338.0,13,0.9,197,178,6-2,5-3-0
Tennessee Titans,81.2,31,195.6,28,276.8,31,81.2,2,195.6,4,276.8,1,-0.3,130,257,1-8,3-6-0
Washington Commanders,139.9,4,202.6,27,342.4,16,139.9,29,202.6,5,342.4,16,-0.7,201,236,3-6,3-6-0
