Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Arizona Cardinals,113.2,15,213.7,20,326.8,24,113.2,16,213.7,13,326.8,9,0.0,130,127,2-4,3-3-0
Atlanta Falcons,151.2,1,239.4,12,390.6,2,151.2,30,239.4,21,390.6,31,0.6,100,100,3-2,3-2-0
Baltimore Ravens,126.2,8,206.7,24,332.8,21,126.2,23,206.7,9,332.8,12,-1.2,144,194,1-5,1-5-0
Buffalo Bills,151.0,2,238.2,13,389.2,3,151.0,29,238.2,20,389.2,30,-0.2,167,137,4-2,2-4-0
Carolina Panthers,142.7,3,201.3,28,344.0,17,142.7,28,201.3,5,344.0,16,-0.7,132,146,3-3,4-2-0
Chicago Bears,110.8,16,241.2,11,352.0,14,110.8,15,241.2,22,352.0,19,1.6,126,141,3-2,3-2-0
Cincinnati Bengals,56.7,30,194.2,30,250.8,32,56.7,1,194.2,3,250.8,1,-0.3,103,183,2-4,2-4-0
Cleveland Browns,90.7,26,207.5,23,298.2,28,90.7,5,207.5,10,298.2,5,-0.7,82,146,1-5,2-4-0
Dallas Cowboys,117.2,13,276.3,3,393.5,1,117.2,18,276.3,30,393.5,32,-0.3,178,184,2-3-1,3-3-0
Denver Broncos,130.2,6,212.8,21,343.0,18,130.2,25,212.8,12,343.0,15,-0.5,130,95,4-2,2-4-0
Detroit Lions,128.7,7,232.2,14,360.8,12,128.7,24,232.2,19,360.8,21,1.0,191,142,4-2,4-2-0
Green Bay Packers,122.2,10,251.8,10,374.0,8,122.2,21,251.8,23,374.0,25,-0.2,131,102,3-1-1,2-3-0
Houston Texans,116.2,14,219.8,18,336.0,20,116.2,17,219.8,15,336.0,13,0.2,108,61,2-3,2-3-0
Indianapolis Colts,131.8,5,251.8,9,383.7,6,131.8,26,251.8,24,383.7,27,0.8,194,116,5-1,4-2-0
Jacksonville Jaguars,124.0,9,220.7,17,344.7,16,124.0,22,220.7,16,344.7,17,1.3,139,120,4-2,4-2-0
Kansas City Chiefs,118.7,12,252.3,8,371.0,9,118.7,19,252.3,25,371.0,24,0.7,155,124,3-3,3-3-0
Los Angeles Rams,105.8,20,280.7,2,386.5,5,105.8,11,280.7,31,386.5,28,0.5,140,110,4-2,4-2-0
Los Angeles Chargers,120.7,11,256.2,6,376.8,7,120.7,20,256.2,27,376.8,26,-0.2,127,125,4-2,3-3-0
Las Vegas Raiders,105.2,21,225.0,15,330.2,23,105.2,10,225.0,18,330.2,10,-0.7,103,149,2-4,2-4-0
Miami Dolphins,91.3,25,208.8,22,300.2,27,91.3,6,208.8,11,300.2,6,-0.3,134,174,1-5,3-3-0
Minnesota Vikings,106.8,19,224.2,16,331.0,22,106.8,12,224.2,17,331.0,11,-0.4,123,97,3-2,3-2-0
New England Patriots,91.5,24,253.7,7,345.2,15,91.5,7,253.7,26,345.2,18,0.0,150,120,4-2,4-2-0
New Orleans Saints,109.5,17,206.0,27,315.5,25,109.5,14,206.0,6,315.5,8,0.7,111,160,1-5,2-4-0
New York Giants,126.2,8,215.7,19,341.8,19,126.2,23,215.7,14,341.8,14,-0.5,121,144,2-4,3-3-0
New York Jets,135.7,4,175.3,32,311.0,26,135.7,27,175.3,1,311.0,7,-1.2,123,170,0-6,3-3-0
Philadelphia Eagles,95.3,23,195.3,29,290.7,29,95.3,8,195.3,4,290.7,4,0.3,142,143,4-2,3-3-0
Pittsburgh Steelers,84.0,27,206.6,25,290.6,30,84.0,4,206.6,8,290.6,3,0.8,119,107,4-1,3-2-0
Seattle Seahawks,104.2,22,259.3,4,363.5,11,104.2,9,259.3,29,363.5,22,-0.2,166,117,4-2,4-2-0
San Francisco 49ers,82.2,28,306.3,1,388.5,4,82.2,3,306.3,32,388.5,29,-0.8,125,128,4-2,3-3-0
Tampa Bay Buccaneers,109.3,18,256.5,5,365.8,10,109.3,13,256.5,28,365.8,23,0.7,165,151,5-1,4-2-0
Tennessee Titans,81.8,29,183.5,31,265.3,31,81.8,2,183.5,2,265.3,2,-0.2,83,161,1-5,2-4-0
Washington Commanders,151.0,2,206.3,26,357.3,13,151.0,29,206.3,7,357.3,20,-0.5,158,126,3-3,3-3-0
