Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Arizona Cardinals,100.6,24,262.3,4,362.9,10,100.6,9,262.3,28,362.9,23,0.2,265,303,3-9,6-6-0
Atlanta Falcons,123.9,9,222.1,18,346.0,17,123.9,24,222.1,14,346.0,16,0.3,243,276,4-8,6-6-0
Baltimore Ravens,136.8,5,199.8,25,336.6,20,136.8,28,199.8,7,336.6,13,-0.3,289,293,6-6,4-8-0
Buffalo Bills,155.7,1,240.5,11,396.2,2,155.7,32,240.5,21,396.2,31,-0.2,337,259,8-4,6-6-0
Carolina Panthers,125.5,8,202.3,24,327.8,22,125.5,25,202.3,8,327.8,11,0.0,247,297,7-6,8-5-0
Chicago Bears,153.8,2,230.9,14,384.8,6,153.8,31,230.9,18,384.8,27,1.4,313,307,9-3,7-4-1
Cincinnati Bengals,88.5,30,238.1,12,326.6,23,88.5,3,238.1,20,326.6,10,-0.3,280,374,4-8,5-7-0
Cleveland Browns,98.5,27,179.8,30,278.2,31,98.5,6,179.8,2,278.2,2,0.0,194,270,3-9,5-7-0
Dallas Cowboys,121.8,13,280.0,1,401.8,1,121.8,20,280.0,31,401.8,32,-0.6,351,342,6-5-1,7-5-0
Denver Broncos,119.3,14,228.5,16,347.8,16,119.3,19,228.5,16,347.8,17,-0.3,284,218,10-2,5-7-0
Detroit Lions,138.1,4,252.3,8,390.4,3,138.1,29,252.3,24,390.4,30,0.6,350,274,7-5,6-6-0
Green Bay Packers,117.2,16,233.9,13,351.1,14,117.2,17,233.9,19,351.1,19,0.3,294,226,8-3-1,5-7-0
Houston Texans,107.7,23,238.1,12,345.8,18,107.7,10,238.1,20,345.8,15,0.8,263,198,7-5,6-6-0
Indianapolis Colts,134.4,6,254.2,6,388.6,4,134.4,27,254.2,26,388.6,29,0.4,357,249,8-4,7-5-0
Jacksonville Jaguars,123.2,11,219.7,20,342.9,19,123.2,22,219.7,12,342.9,14,0.5,292,253,8-4,7-5-0
Kansas City Chiefs,118.3,15,269.8,2,388.2,5,118.3,18,269.8,30,388.2,28,0.2,305,232,6-6,5-7-0
Los Angeles Rams,113.5,19,256.1,5,369.6,8,113.5,14,256.1,27,369.6,25,0.8,334,210,9-3,8-4-0
Los Angeles Chargers,122.1,12,244.3,9,366.4,9,122.1,21,244.3,23,366.4,24,-0.1,277,252,8-4,6-6-0
Las Vegas Raiders,75.4,32,211.7,22,287.1,30,75.4,1,211.7,10,287.1,3,-0.3,179,308,2-10,4-8-0
Miami Dolphins,117.1,17,197.8,27,314.8,25,117.1,16,197.8,5,314.8,8,-0.3,247,286,5-7,6-6-0
Minnesota Vikings,99.4,25,195.4,29,294.8,28,99.4,8,195.4,3,294.8,5,-1.3,224,281,4-8,4-8-0
New England Patriots,112.9,20,263.4,3,376.3,7,112.9,13,263.4,29,376.3,26,0.1,351,241,11-2,9-4-0
New Orleans Saints,90.7,29,222.8,17,313.4,26,90.7,4,222.8,15,313.4,7,-0.4,182,295,2-10,4-8-0
New York Giants,123.5,10,229.8,15,353.2,12,123.5,23,229.8,17,353.2,21,-0.5,279,367,2-11,7-6-0
New York Jets,133.7,7,169.7,31,303.3,27,133.7,26,169.7,1,303.3,6,-1.0,246,315,3-9,7-5-0
Philadelphia Eagles,108.5,22,209.5,23,318.0,24,108.5,11,209.5,9,318.0,9,0.4,270,249,8-4,7-5-0
Pittsburgh Steelers,93.8,28,199.7,26,293.5,29,93.8,5,199.7,6,293.5,4,0.7,281,289,6-6,5-6-1
Seattle Seahawks,116.9,18,244.0,10,360.9,11,116.9,15,244.0,22,360.9,22,-0.3,350,217,9-3,9-3-0
San Francisco 49ers,98.5,26,253.7,7,352.2,13,98.5,7,253.7,25,352.2,20,-0.3,307,269,9-4,8-5-0
Tampa Bay Buccaneers,109.8,21,221.8,19,331.7,21,109.8,12,221.8,13,331.7,12,0.8,279,301,7-5,5-7-0
Tennessee Titans,76.7,31,195.9,28,272.6,32,76.7,2,195.9,4,272.6,1,-0.5,170,328,1-11,5-7-0
Washington Commanders,138.9,3,211.9,21,350.8,15,138.9,30,211.9,11,350.8,18,-0.7,262,323,3-9,4-8-0
