Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Air Force,256.5,4,148.9,122,405.5,54,173.0,99,259.4,120,432.4,120,-0.2,28.7,31.2,3-8,
Akron,136.4,74,219.0,58,355.4,67,156.2,95,229.2,111,385.3,113,0.2,22.2,27.4,5-7,
Alabama Crimson Tide,123.4,105,292.5,10,415.8,41,121.9,31,149.1,5,271.0,8,0.5,33.8,16.2,9-2,
App State,118.2,112,261.1,33,379.3,77,147.0,62,267.6,125,414.6,109,-0.2,25.0,29.8,5-6,
Arizona,156.5,67,251.5,43,408.0,50,150.2,72,159.7,7,309.9,21,1.1,33.5,20.0,8-3,
Arizona State,196.7,23,219.9,76,416.6,40,119.7,28,220.2,64,339.9,44,0.0,26.3,23.0,8-3,
Arkansas,204.1,19,270.0,28,474.1,12,174.9,102,258.7,119,433.6,121,-1.1,34.4,34.1,2-9,
Arkansas State,131.8,93,247.8,45,379.6,76,182.2,114,232.4,82,414.5,108,-0.6,23.9,27.2,5-6,
Army,259.4,6,79.1,132,338.5,119,150.2,47,203.9,24,354.1,28,0.4,22.6,22.4,5-5,
Auburn,179.2,41,191.5,102,370.6,82,94.3,11,239.6,95,333.9,39,1.0,27.4,20.1,5-6,
Ball State,136.5,87,134.5,127,270.9,130,174.9,102,226.9,74,401.8,99,-0.2,15.1,28.5,4-7,
Baylor,144.3,80,309.6,4,453.9,21,195.6,121,193.9,35,389.5,82,-1.1,31.7,32.7,5-6,
Boise State,192.0,27,231.4,63,423.4,35,158.3,83,165.5,11,323.7,30,0.5,31.4,23.1,7-4,
Boston College,101.0,125,278.7,20,379.7,75,177.7,108,273.0,127,450.7,126,-0.8,24.6,34.6,1-10,
Bowling Green,144.4,79,153.4,120,297.7,126,147.4,64,199.7,40,347.1,46,0.1,18.3,25.2,3-8,
Buffalo,136.2,88,225.3,69,361.5,87,139.5,50,190.0,26,329.5,34,-0.8,23.8,22.8,5-6,
Byu,202.5,21,213.2,81,415.6,42,126.3,37,201.2,42,327.5,32,0.9,33.4,17.5,10-1,
