season,week,team_raw,team_norm,team,pr,pr_rank,sos,sos_rank,hfa,source_url,fetched_at,page_stamp
2025,13,Los Angeles Rams,Los Angeles Rams,Los Angeles Rams,26.63,1,20.41,11,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Kansas City Chiefs,Kansas City Chiefs,Kansas City Chiefs,26.29,2,21.24,5,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Detroit Lions,Detroit Lions,Detroit Lions,26.08,3,20.77,7,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,26.07,4,21.73,3,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Green Bay Packers,Green Bay Packers,Green Bay Packers,24.35,5,18.81,27,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Buffalo Bills,Buffalo Bills,Buffalo Bills,24.28,6,18.7,28,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Baltimore Ravens,Baltimore Ravens,Baltimore Ravens,24.22,7,20.36,13,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks,24.17,8,19.34,23,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Denver Broncos,Denver Broncos,Denver Broncos,24.09,9,18.48,31,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Indianapolis Colts,Indianapolis Colts,Indianapolis Colts,23.02,10,18.68,29,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Houston Texans,Houston Texans,Houston Texans,23.01,11,20.85,6,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,New England Patriots,New England Patriots,New England Patriots,22.17,12,16.33,32,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,San Francisco 49ers,San Francisco 49ers,San Francisco 49ers,21.59,13,20.11,16,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville Jaguars,20.57,14,20.73,9,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa Bay Buccaneers,20.54,15,22.43,2,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers,20.49,16,19.54,22,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Los Angeles Chargers,Los Angeles Chargers,Los Angeles Chargers,20.26,17,19.06,25,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Chicago Bears,Chicago Bears,Chicago Bears,20.13,18,18.63,30,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Washington Redskins,Washington Commanders,Washington Commanders,18.87,19,20.35,14,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Minnesota Vikings,Minnesota Vikings,Minnesota Vikings,18.79,20,20.76,8,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Dallas Cowboys,Dallas Cowboys,Dallas Cowboys,18.5,21,19.83,19,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Atlanta Falcons,Atlanta Falcons,Atlanta Falcons,17.64,22,18.97,26,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals,17.14,23,19.66,21,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,New York Giants,New York Giants,New York Giants,16.12,24,22.43,1,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Miami Dolphins,Miami Dolphins,Miami Dolphins,16.03,25,20.02,17,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Cincinnati Bengals,Cincinnati Bengals,Cincinnati Bengals,15.95,26,20.4,12,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Carolina Panthers,Carolina Panthers,Carolina Panthers,15.84,27,19.29,24,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Cleveland Browns,Cleveland Browns,Cleveland Browns,15.49,28,20.48,10,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,New York Jets,New York Jets,New York Jets,14.01,29,19.79,20,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Las Vegas Raiders,Las Vegas Raiders,Las Vegas Raiders,13.91,30,19.93,18,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,Tennessee Titans,Tennessee Titans,Tennessee Titans,12.18,31,21.61,4,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
2025,13,New Orleans Saints,New Orleans Saints,New Orleans Saints,11.57,32,20.23,15,2.6,http://sagarin.com/sports/nflsend.htm,2025-11-30T22:28:16.889105Z,NFL 2025 through games of 2025 November 24 Monday - Week 12
