Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Arizona Cardinals,101.1,25,258.8,6,359.9,13,101.1,8,258.8,26,359.9,20,0.2,248,283,3-8,5-6-0
Atlanta Falcons,120.0,13,221.0,18,341.0,19,120.0,20,221.0,14,341.0,14,0.3,219,249,4-7,6-5-0
Baltimore Ravens,138.0,6,195.6,29,333.6,21,138.0,27,195.6,3,333.6,12,-0.3,275,261,6-5,4-7-0
Buffalo Bills,147.2,1,251.2,10,398.4,1,147.2,32,251.2,22,398.4,32,-0.2,311,252,7-4,5-6-0
Carolina Panthers,122.2,11,202.0,25,324.2,22,122.2,22,202.0,7,324.2,11,0.0,216,269,6-6,7-5-0
Chicago Bears,142.3,2,237.9,11,380.2,6,142.3,31,237.9,21,380.2,27,1.4,289,292,8-3,6-4-1
Cincinnati Bengals,84.9,30,236.0,13,320.9,23,84.9,3,236.0,19,320.9,10,-0.3,248,360,3-8,4-7-0
Cleveland Browns,94.9,28,182.5,30,277.5,32,94.9,5,182.5,2,277.5,1,0.0,186,244,3-8,5-6-0
Dallas Cowboys,120.5,12,276.4,1,396.8,3,120.5,21,276.4,31,396.8,30,-0.4,320,314,5-5-1,6-5-0
Denver Broncos,122.3,10,220.1,19,342.4,17,122.3,23,220.1,13,342.4,16,-0.3,257,192,9-2,5-6-0
Detroit Lions,139.8,3,252.0,9,391.8,4,139.8,30,252.0,23,391.8,29,0.4,326,243,7-4,6-5-0
Green Bay Packers,116.5,15,233.9,15,350.4,14,116.5,18,233.9,17,350.4,19,0.3,263,202,7-3-1,4-7-0
Houston Texans,107.6,23,234.6,14,342.3,18,107.6,10,234.6,18,342.3,15,0.8,243,182,6-5,5-6-0
Indianapolis Colts,138.8,4,259.0,5,397.8,2,138.8,29,259.0,27,397.8,31,0.4,341,229,8-3,7-4-0
Jacksonville Jaguars,128.1,8,218.8,20,346.9,15,128.1,25,218.8,12,346.9,18,0.5,267,250,7-4,6-5-0
Kansas City Chiefs,118.3,14,270.6,2,388.9,5,118.3,19,270.6,30,388.9,28,0.2,277,201,6-5,5-6-0
Los Angeles Rams,110.0,22,257.3,7,367.3,10,110.0,11,257.3,25,367.3,23,0.8,306,179,9-2,8-3-0
Los Angeles Chargers,115.7,17,252.0,9,367.7,9,115.7,16,252.0,23,367.7,24,-0.1,246,238,7-4,5-6-0
Las Vegas Raiders,79.5,31,215.9,21,295.4,30,79.5,2,215.9,11,295.4,3,-0.3,165,277,2-9,4-7-0
Miami Dolphins,112.8,18,201.5,27,314.3,25,112.8,15,201.5,5,314.3,8,-0.3,226,269,4-7,6-5-0
Minnesota Vikings,102.5,24,201.7,26,304.2,29,102.5,9,201.7,6,304.2,4,-1.3,224,255,4-7,4-7-0
New England Patriots,112.4,19,261.8,3,374.2,7,112.4,14,261.8,29,374.2,26,0.0,318,226,10-2,8-4-0
New Orleans Saints,91.5,29,221.3,17,312.8,26,91.5,4,221.3,15,312.8,7,-0.4,165,274,2-9,3-8-0
New York Giants,124.5,9,237.3,12,361.8,11,124.5,24,237.3,20,361.8,22,-0.5,264,334,2-10,7-5-0
New York Jets,135.8,7,169.5,31,305.3,27,135.8,26,169.5,1,305.3,6,-1.0,219,291,2-9,6-5-0
Philadelphia Eagles,110.5,21,207.6,22,318.1,24,110.5,12,207.6,10,318.1,9,0.4,255,225,8-3,7-4-0
Pittsburgh Steelers,97.1,27,207.2,23,304.3,28,97.1,6,207.2,9,304.3,5,0.7,274,263,6-5,5-5-1
Seattle Seahawks,116.2,16,254.5,8,370.7,8,116.2,17,254.5,24,370.7,25,-0.3,324,217,8-3,8-3-0
San Francisco 49ers,99.2,26,260.8,4,360.0,12,99.2,7,260.8,28,360.0,21,-0.3,281,261,8-4,7-5-0
Tampa Bay Buccaneers,111.2,20,224.4,16,335.5,20,111.2,13,224.4,16,335.5,13,0.8,259,284,6-5,5-6-0
Tennessee Titans,77.5,32,200.9,28,278.5,31,77.5,1,200.9,4,278.5,2,-0.5,167,303,1-10,5-6-0
Washington Commanders,138.5,5,204.5,24,343.0,16,138.5,28,204.5,8,343.0,17,-0.7,236,296,3-8,3-8-0
