Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Air Force,271.2,3,158.7,117,429.9,33,173.1,100,274.8,124,447.9,124,0.0,31.3,32.3,3-7,
Akron,135.8,78,222.9,54,358.7,67,158.2,103,237.5,108,395.6,119,0.4,22.5,28.5,4-7,
Alabama Crimson Tide,108.8,121,294.7,15,403.5,60,132.7,46,162.0,9,294.7,13,0.7,31.6,17.8,8-2,
App State,115.8,111,273.8,26,389.6,71,137.9,51,274.4,123,412.3,102,-0.5,24.9,30.4,4-6,
Arizona,154.9,73,258.4,43,413.3,48,147.1,65,159.5,7,306.6,18,1.0,32.7,20.3,7-3,
Arizona State,180.9,40,219.4,77,400.3,62,118.2,27,225.7,74,343.9,44,0.3,24.7,23.6,7-3,
Arkansas,205.7,22,264.6,36,470.3,16,182.7,110,245.3,99,428.0,115,-1.0,34.1,32.3,2-8,
Arkansas State,131.2,94,247.0,50,378.2,79,180.2,107,240.9,92,421.1,110,-0.6,23.3,26.5,5-5,
Army,260.8,8,80.8,129,341.6,119,141.3,35,196.9,18,338.2,17,0.3,22.3,22.0,5-4,
Auburn,169.4,53,183.6,103,353.0,93,92.2,10,241.3,93,333.5,38,0.8,23.9,20.4,4-6,
Ball State,137.2,91,127.3,126,264.5,131,173.8,102,227.8,75,401.6,91,-0.1,15.7,27.5,4-6,
Baylor,140.6,87,324.4,3,465.0,18,198.0,120,195.0,34,393.0,83,-1.0,33.2,31.9,5-5,
Boise State,183.3,38,229.1,71,412.4,50,170.2,96,152.7,5,322.9,27,0.2,29.6,23.3,6-4,
Boston College,101.0,118,278.7,9,379.7,45,177.7,118,273.0,130,450.7,133,-0.8,24.6,34.6,1-10,
Bowling Green,145.4,84,154.9,120,300.3,127,147.8,67,202.1,45,349.9,50,0.0,18.5,25.8,3-7,
Buffalo,145.2,85,217.5,78,362.7,86,137.2,49,190.5,30,327.7,33,-0.6,24.2,21.4,5-5,
Byu,196.2,26,221.8,76,418.0,43,130.2,42,191.3,33,321.5,25,0.8,34.1,17.8,9-1,
California,79.5,130,262.7,38,342.2,102,155.6,81,199.5,41,355.1,51,0.0,25.0,25.2,6-4,
Central Michigan,180.0,43,162.9,114,342.9,101,153.9,77,209.5,48,363.4,60,0.8,25.5,23.5,6-4,
Charlotte,94.6,127,217.5,78,312.1,113,206.1,127,269.1,118,475.2,132,-0.8,16.9,37.4,1-9,
Cincinnati,196.3,25,231.3,69,427.6,36,157.9,84,232.4,82,390.3,81,0.0,34.4,22.7,7-3,
Clemson Tigers,120.9,106,278.3,22,399.2,65,113.0,24,242.4,96,355.2,52,-0.3,27.1,22.1,5-5,
Coastal Carolina,194.6,27,154.4,121,349.0,95,199.7,123,239.3,89,439.0,121,0.1,25.7,29.7,6-4,
Colorado,123.4,101,209.6,87,333.0,107,212.0,129,209.8,49,421.8,111,-0.4,22.0,30.0,3-7,
Colorado State,124.8,99,197.5,96,322.3,110,186.5,113,229.5,80,416.0,105,-0.1,18.0,27.9,2-8,
Delaware,110.9,119,307.0,8,417.9,44,168.8,94,230.3,81,399.1,89,-0.8,28.2,30.7,5-5,
Duke,129.9,97,302.9,11,432.8,31,146.5,63,273.3,122,419.8,108,0.3,33.4,29.6,5-5,
East Carolina,179.6,44,286.7,18,466.3,17,119.4,29,219.7,63,339.1,40,0.5,33.6,18.3,7-3,
Eastern Michigan,143.5,69,226.4,47,369.9,56,226.5,132,190.9,50,417.5,129,0.0,24.4,29.6,4-7,
Florida,122.4,104,217.1,79,339.5,104,144.3,57,223.1,69,367.4,63,-0.2,20.8,23.6,3-7,
Florida Atlantic,103.0,126,329.3,2,432.3,32,199.2,121,211.8,52,411.0,101,-1.5,30.6,34.6,4-6,
Florida International,177.7,45,213.7,82,391.4,70,146.8,64,260.0,106,406.8,95,0.0,26.8,29.6,5-5,
Florida State,227.9,10,259.8,41,487.7,10,125.4,33,196.9,37,322.3,26,0.0,36.4,20.3,5-5,
Fresno State,160.5,65,184.0,102,344.5,100,127.8,37,163.6,10,291.4,11,0.0,25.9,19.9,7-3,
Georgia Bulldogs,190.6,31,238.1,63,428.7,34,92.6,11,214.6,53,307.2,20,-0.2,33.6,18.8,9-1,
Georgia Southern,155.5,72,248.5,48,404.0,59,222.1,131,244.8,98,466.9,130,0.3,30.0,34.6,5-5,
Georgia State,120.4,107,253.5,45,373.9,82,215.0,130,242.2,95,457.2,128,-1.2,20.8,39.6,1-9,
Georgia Tech,224.8,11,272.1,28,496.9,5,166.4,92,243.2,97,409.6,98,-0.4,36.0,24.2,9-1,
Hawai'i,107.2,123,302.4,12,409.6,54,133.3,47,216.1,57,349.4,49,-0.3,30.5,23.7,7-3,
Houston,166.9,57,222.1,75,389.0,72,135.5,48,197.6,38,333.1,37,-0.1,29.5,22.1,8-2,
Illinois,140.5,88,245.7,53,386.2,75,119.3,28,246.3,101,365.6,62,0.1,32.2,23.9,7-3,
Indiana,224.6,5,259.6,19,484.3,2,82.5,9,166.5,22,249.0,8,1.4,43.3,11.6,11-0,
Iowa,176.6,46,133.6,125,310.2,115,108.7,20,157.4,6,266.1,6,0.3,28.7,14.9,6-4,
Iowa State,163.8,59,230.3,70,394.1,68,150.8,72,222.9,67,373.7,71,0.2,27.1,21.5,6-4,
Jacksonville State,261.3,4,157.6,118,418.9,42,146.0,61,253.2,105,399.2,90,0.8,30.4,26.0,7-3,
James Madison,244.7,6,215.7,81,460.4,20,89.6,6,168.0,12,257.6,4,0.0,37.1,16.2,9-1,
Kansas,161.5,62,226.2,73,387.7,74,169.6,95,207.5,47,377.1,76,0.0,30.2,25.2,5-5,
Kansas State,138.9,90,216.3,80,355.2,91,152.3,75,223.8,71,376.1,75,1.0,28.2,25.5,5-5,
Kennesaw State,167.5,56,232.1,67,399.6,64,159.2,85,228.9,78,388.1,79,-0.4,26.0,22.5,7-3,
Kent State,85.8,129,197.3,97,283.1,129,182.6,109,268.2,117,450.8,126,-0.2,20.4,34.4,4-6,
Kentucky,160.0,66,203.9,91,363.9,85,129.3,40,215.8,55,345.1,47,-0.4,25.9,23.1,5-5,
Liberty,174.2,50,199.3,94,373.5,83,163.0,88,200.3,42,363.3,59,-0.3,23.7,23.6,4-6,
Louisiana,186.0,36,159.1,116,345.1,99,193.2,115,216.9,59,410.1,100,-0.1,26.1,30.3,4-6,
Louisiana Tech,164.9,58,181.5,105,346.4,97,130.3,43,237.5,88,367.8,64,0.5,25.6,19.8,5-5,
Louisville,156.6,71,243.3,57,399.9,63,109.9,22,188.0,26,297.9,15,0.2,31.5,21.5,7-3,
Lsu,107.4,122,240.2,60,347.4,96,131.4,44,198.2,39,329.6,34,0.6,23.6,19.3,6-4,
