away_ats,away_pa_pg,away_pass_def_rank,away_pass_rank,away_pf_pg,away_pr,away_pr_rank,away_py_allowed_pg,away_py_pg,away_rush_def_rank,away_rush_rank,away_ry_allowed_pg,away_ry_pg,away_sos,away_sos_rank,away_su,away_team_norm,away_team_raw,away_to_margin_pg,away_tot_def_rank,away_tot_off_rank,away_ty_allowed_pg,away_ty_pg,favored_side,game_key,hfa,home_ats,home_pa_pg,home_pass_def_rank,home_pass_rank,home_pf_pg,home_pr,home_pr_rank,home_py_allowed_pg,home_py_pg,home_rush_def_rank,home_rush_rank,home_ry_allowed_pg,home_ry_pg,home_sos,home_sos_rank,home_su,home_team_norm,home_team_raw,home_to_margin_pg,home_tot_def_rank,home_tot_off_rank,home_ty_allowed_pg,home_ty_pg,is_closing,kickoff_iso_utc,moneyline_away,moneyline_home,odds_source,rating_diff,rating_diff_favored_team,rating_vs_odds,rating_vs_odds_favored_team,raw_sources,season,snapshot_at,source_uid,spread_favored_team,spread_home_relative,total,week
,28.5,108,54,22.5,51.93,125.0,237.5,222.9,103,78,158.2,135.8,55.35,141.0,4-7,Akron,Akron,0.4,119,67,395.6,358.7,,20251119_0000_akron_bowling_green,3.43,,25.8,45,120,18.5,52.55,122.0,202.1,154.9,67,84,147.8,145.4,59.64,116.0,3-7,Bowling Green,Bowling Green,0.0,50,127,349.9,300.3,,2025-11-19T00:00:00Z,,,,0.62,,,,"{'league_metrics_away': {'ATS': None, 'PA': 28.5, 'PF': 22.5, 'PY(D)': 237.5, 'PY(O)': 222.9, 'R(D)_PY': 108, 'R(D)_RY': 103, 'R(D)_TY': 119, 'R(O)_PY': 54, 'R(O)_RY': 78, 'R(O)_TY': 67, 'RY(D)': 158.2, 'RY(O)': 135.8, 'SU': '4-7', 'TO': 0.4, 'TY(D)': 395.6, 'TY(O)': 358.7, 'Team': 'Akron'}, 'league_metrics_home': {'ATS': None, 'PA': 25.8, 'PF': 18.5, 'PY(D)': 202.1, 'PY(O)': 154.9, 'R(D)_PY': 45, 'R(D)_RY': 67, 'R(D)_TY': 50, 'R(O)_PY': 120, 'R(O)_RY': 84, 'R(O)_TY': 127, 'RY(D)': 147.8, 'RY(O)': 145.4, 'SU': '3-7', 'TO': 0.0, 'TY(D)': 349.9, 'TY(O)': 300.3, 'Team': 'Bowling Green'}, 'sagarin_away': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 51.93, 'pr_rank': 125, 'season': 2025, 'sos': 55.35, 'sos_rank': 141, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Akron', 'team_norm': 'Akron', 'team_raw': 'Akron', 'week': 13}, 'sagarin_home': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 52.55, 'pr_rank': 122, 'season': 2025, 'sos': 59.64, 'sos_rank': 116, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Bowling Green', 'team_norm': 'Bowling Green', 'team_raw': 'Bowling Green', 'week': 13}, 'schedule_row': {'away_team': 'Akron', 'conference_game': True, 'home_team': 'Bowling Green', 'id': 401762862, 'kickoff_iso_utc': '2025-11-19T00:00:00Z', 'season': 2025, 'venue': 'Doyt L. Perry Stadium', 'week': 13}}",2025,,401762862,,,,13
,37.6,90,113,10.5,36.56,134.0,239.4,166.8,124,130,202.4,79.5,59.23,120.0,0-10,Massachusetts,Massachusetts,-0.4,123,133,441.8,246.3,,20251119_0000_massachusetts_ohio,3.43,,23.5,57,89,27.1,64.93,82.0,216.1,207.6,79,23,155.3,203.7,58.39,124.0,6-4,Ohio,Ohio,-0.1,68,51,371.4,411.3,,2025-11-19T00:00:00Z,,,,28.37,,,,"{'league_metrics_away': {'ATS': None, 'PA': 37.6, 'PF': 10.5, 'PY(D)': 239.4, 'PY(O)': 166.8, 'R(D)_PY': 90, 'R(D)_RY': 124, 'R(D)_TY': 123, 'R(O)_PY': 113, 'R(O)_RY': 130, 'R(O)_TY': 133, 'RY(D)': 202.4, 'RY(O)': 79.5, 'SU': '0-10', 'TO': -0.4, 'TY(D)': 441.8, 'TY(O)': 246.3, 'Team': 'Massachusetts'}, 'league_metrics_home': {'ATS': None, 'PA': 23.5, 'PF': 27.1, 'PY(D)': 216.1, 'PY(O)': 207.6, 'R(D)_PY': 57, 'R(D)_RY': 79, 'R(D)_TY': 68, 'R(O)_PY': 89, 'R(O)_RY': 23, 'R(O)_TY': 51, 'RY(D)': 155.3, 'RY(O)': 203.7, 'SU': '6-4', 'TO': -0.1, 'TY(D)': 371.4, 'TY(O)': 411.3, 'Team': 'Ohio'}, 'sagarin_away': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 36.56, 'pr_rank': 134, 'season': 2025, 'sos': 59.23, 'sos_rank': 120, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Massachusetts', 'team_norm': 'Massachusetts', 'team_raw': 'Massachusetts', 'week': 13}, 'sagarin_home': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 64.93, 'pr_rank': 82, 'season': 2025, 'sos': 58.39, 'sos_rank': 124, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Ohio', 'team_norm': 'Ohio', 'team_raw': 'Ohio', 'week': 13}, 'schedule_row': {'away_team': 'Massachusetts', 'conference_game': True, 'home_team': 'Ohio', 'id': 401762863, 'kickoff_iso_utc': '2025-11-19T00:00:00Z', 'season': 2025, 'venue': 'Peden Stadium', 'week': 13}}",2025,,401762863,,,,13
,18.4,15,118,21.8,65.11,81.0,170.6,157.6,31,60,120.8,163.5,62.18,92.0,6-4,Western Michigan,Western Michigan,0.2,11,112,291.4,321.1,,20251119_0000_western_michigan_northern_illinois,3.43,,22.2,24,127,15.5,53.64,120.0,184.8,108.1,87,49,161.3,174.6,61.38,103.0,3-7,Northern Illinois,Northern Illinois,0.0,48,130,346.1,282.7,,2025-11-19T00:00:00Z,,,,-11.47,,,,"{'league_metrics_away': {'ATS': None, 'PA': 18.4, 'PF': 21.8, 'PY(D)': 170.6, 'PY(O)': 157.6, 'R(D)_PY': 15, 'R(D)_RY': 31, 'R(D)_TY': 11, 'R(O)_PY': 118, 'R(O)_RY': 60, 'R(O)_TY': 112, 'RY(D)': 120.8, 'RY(O)': 163.5, 'SU': '6-4', 'TO': 0.2, 'TY(D)': 291.4, 'TY(O)': 321.1, 'Team': 'Western Michigan'}, 'league_metrics_home': {'ATS': None, 'PA': 22.2, 'PF': 15.5, 'PY(D)': 184.8, 'PY(O)': 108.1, 'R(D)_PY': 24, 'R(D)_RY': 87, 'R(D)_TY': 48, 'R(O)_PY': 127, 'R(O)_RY': 49, 'R(O)_TY': 130, 'RY(D)': 161.3, 'RY(O)': 174.6, 'SU': '3-7', 'TO': 0.0, 'TY(D)': 346.1, 'TY(O)': 282.7, 'Team': 'Northern Illinois'}, 'sagarin_away': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 65.11, 'pr_rank': 81, 'season': 2025, 'sos': 62.18, 'sos_rank': 92, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Western Michigan', 'team_norm': 'Western Michigan', 'team_raw': 'Western Michigan', 'week': 13}, 'sagarin_home': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 53.64, 'pr_rank': 120, 'season': 2025, 'sos': 61.38, 'sos_rank': 103, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Northern Illinois', 'team_norm': 'Northern Illinois', 'team_raw': 'Northern Illinois', 'week': 13}, 'schedule_row': {'away_team': 'Western Michigan', 'conference_game': True, 'home_team': 'Northern Illinois', 'id': 401762864, 'kickoff_iso_utc': '2025-11-19T00:00:00Z', 'season': 2025, 'venue': 'Huskie Stadium', 'week': 13}}",2025,,401762864,,,,13
,23.5,48,114,25.5,61.09,97.0,209.5,162.9,77,43,153.9,180.0,56.22,137.0,6-4,Central Michigan,Central Michigan,0.8,60,101,363.4,342.9,,20251120_0000_central_michigan_kent_state,3.43,,34.4,117,97,20.4,47.69,131.0,268.2,197.3,109,129,182.6,85.8,59.39,119.0,4-6,Kent State,Kent State,-0.2,126,129,450.8,283.1,,2025-11-20T00:00:00Z,,,,-13.4,,,,"{'league_metrics_away': {'ATS': None, 'PA': 23.5, 'PF': 25.5, 'PY(D)': 209.5, 'PY(O)': 162.9, 'R(D)_PY': 48, 'R(D)_RY': 77, 'R(D)_TY': 60, 'R(O)_PY': 114, 'R(O)_RY': 43, 'R(O)_TY': 101, 'RY(D)': 153.9, 'RY(O)': 180.0, 'SU': '6-4', 'TO': 0.8, 'TY(D)': 363.4, 'TY(O)': 342.9, 'Team': 'Central Michigan'}, 'league_metrics_home': {'ATS': None, 'PA': 34.4, 'PF': 20.4, 'PY(D)': 268.2, 'PY(O)': 197.3, 'R(D)_PY': 117, 'R(D)_RY': 109, 'R(D)_TY': 126, 'R(O)_PY': 97, 'R(O)_RY': 129, 'R(O)_TY': 129, 'RY(D)': 182.6, 'RY(O)': 85.8, 'SU': '4-6', 'TO': -0.2, 'TY(D)': 450.8, 'TY(O)': 283.1, 'Team': 'Kent State'}, 'sagarin_away': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 61.09, 'pr_rank': 97, 'season': 2025, 'sos': 56.22, 'sos_rank': 137, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Central Michigan', 'team_norm': 'Central Michigan', 'team_raw': 'Central Michigan', 'week': 13}, 'sagarin_home': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 47.69, 'pr_rank': 131, 'season': 2025, 'sos': 59.39, 'sos_rank': 119, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Kent State', 'team_norm': 'Kent State', 'team_raw': 'Kent State', 'week': 13}, 'schedule_row': {'away_team': 'Central Michigan', 'conference_game': True, 'home_team': 'Kent State', 'id': 401762866, 'kickoff_iso_utc': '2025-11-20T00:00:00Z', 'season': 2025, 'venue': 'Dix Stadium', 'week': 13}}",2025,,401762866,,,,13
,21.9,41,100,23.1,64.56,84.0,199.5,194.0,34,74,126.7,152.4,62.18,93.0,5-5,Miami (oh),Miami (OH),0.4,32,97,326.2,346.4,,20251120_0000_miami_oh_buffalo,3.43,,21.4,30,78,24.2,54.39,119.0,190.5,217.5,49,85,137.2,145.2,55.05,142.0,5-5,Buffalo,Buffalo,-0.6,33,86,327.7,362.7,,2025-11-20T00:00:00Z,,,,-10.17,,,,"{'league_metrics_away': {'ATS': None, 'PA': 21.9, 'PF': 23.1, 'PY(D)': 199.5, 'PY(O)': 194.0, 'R(D)_PY': 41, 'R(D)_RY': 34, 'R(D)_TY': 32, 'R(O)_PY': 100, 'R(O)_RY': 74, 'R(O)_TY': 97, 'RY(D)': 126.7, 'RY(O)': 152.4, 'SU': '5-5', 'TO': 0.4, 'TY(D)': 326.2, 'TY(O)': 346.4, 'Team': 'Miami (oh)'}, 'league_metrics_home': {'ATS': None, 'PA': 21.4, 'PF': 24.2, 'PY(D)': 190.5, 'PY(O)': 217.5, 'R(D)_PY': 30, 'R(D)_RY': 49, 'R(D)_TY': 33, 'R(O)_PY': 78, 'R(O)_RY': 85, 'R(O)_TY': 86, 'RY(D)': 137.2, 'RY(O)': 145.2, 'SU': '5-5', 'TO': -0.6, 'TY(D)': 327.7, 'TY(O)': 362.7, 'Team': 'Buffalo'}, 'sagarin_away': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 64.56, 'pr_rank': 84, 'season': 2025, 'sos': 62.18, 'sos_rank': 93, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Miami-ohio', 'team_norm': 'Miami-ohio', 'team_raw': 'Miami-Ohio', 'week': 13}, 'sagarin_home': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 54.39, 'pr_rank': 119, 'season': 2025, 'sos': 55.05, 'sos_rank': 142, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Buffalo', 'team_norm': 'Buffalo', 'team_raw': 'Buffalo', 'week': 13}, 'schedule_row': {'away_team': 'Miami (OH)', 'conference_game': True, 'home_team': 'Buffalo', 'id': 401762865, 'kickoff_iso_utc': '2025-11-20T00:00:00Z', 'season': 2025, 'venue': 'UB Stadium', 'week': 13}}",2025,,401762865,,,,13
,30.3,59,116,26.1,62.34,93.0,216.9,159.1,115,36,193.2,186.0,62.13,94.0,4-6,Louisiana,Louisiana,-0.1,100,99,410.1,345.1,,20251121_0030_louisiana_arkansas_state,3.43,,26.5,92,50,23.3,60.11,100.0,240.9,247.0,107,94,180.2,131.2,61.19,105.0,5-5,Arkansas State,Arkansas State,-0.6,110,79,421.1,378.2,,2025-11-21T00:30:00Z,,,,-2.23,,,,"{'league_metrics_away': {'ATS': None, 'PA': 30.3, 'PF': 26.1, 'PY(D)': 216.9, 'PY(O)': 159.1, 'R(D)_PY': 59, 'R(D)_RY': 115, 'R(D)_TY': 100, 'R(O)_PY': 116, 'R(O)_RY': 36, 'R(O)_TY': 99, 'RY(D)': 193.2, 'RY(O)': 186.0, 'SU': '4-6', 'TO': -0.1, 'TY(D)': 410.1, 'TY(O)': 345.1, 'Team': 'Louisiana'}, 'league_metrics_home': {'ATS': None, 'PA': 26.5, 'PF': 23.3, 'PY(D)': 240.9, 'PY(O)': 247.0, 'R(D)_PY': 92, 'R(D)_RY': 107, 'R(D)_TY': 110, 'R(O)_PY': 50, 'R(O)_RY': 94, 'R(O)_TY': 79, 'RY(D)': 180.2, 'RY(O)': 131.2, 'SU': '5-5', 'TO': -0.6, 'TY(D)': 421.1, 'TY(O)': 378.2, 'Team': 'Arkansas State'}, 'sagarin_away': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 62.34, 'pr_rank': 93, 'season': 2025, 'sos': 62.13, 'sos_rank': 94, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Louisiana-lafayette', 'team_norm': 'Louisiana-lafayette', 'team_raw': 'Louisiana-Lafayette', 'week': 13}, 'sagarin_home': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 60.11, 'pr_rank': 100, 'season': 2025, 'sos': 61.19, 'sos_rank': 105, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Arkansas State', 'team_norm': 'Arkansas State', 'team_raw': 'Arkansas State', 'week': 13}, 'schedule_row': {'away_team': 'Louisiana', 'conference_game': True, 'home_team': 'Arkansas State', 'id': 401761655, 'kickoff_iso_utc': '2025-11-21T00:30:00Z', 'season': 2025, 'venue': 'Centennial Bank Stadium', 'week': 13}}",2025,,401761655,,,,13
,20.3,37,41,36.4,77.79,31.0,196.9,259.8,33,10,125.4,227.9,73.44,33.0,5-5,Florida State,Florida State,0.0,26,10,322.3,487.7,,20251122_0100_florida_state_nc_state,3.43,,31.6,129,39,29.9,74.92,46.0,299.9,262.0,53,80,141.3,147.7,75.39,18.0,5-5,Nc State,NC State,-0.5,122,53,441.2,409.7,,2025-11-22T01:00:00Z,,,,-2.87,,,,"{'league_metrics_away': {'ATS': None, 'PA': 20.3, 'PF': 36.4, 'PY(D)': 196.9, 'PY(O)': 259.8, 'R(D)_PY': 37, 'R(D)_RY': 33, 'R(D)_TY': 26, 'R(O)_PY': 41, 'R(O)_RY': 10, 'R(O)_TY': 10, 'RY(D)': 125.4, 'RY(O)': 227.9, 'SU': '5-5', 'TO': 0.0, 'TY(D)': 322.3, 'TY(O)': 487.7, 'Team': 'Florida State'}, 'league_metrics_home': {'ATS': None, 'PA': 31.6, 'PF': 29.9, 'PY(D)': 299.9, 'PY(O)': 262.0, 'R(D)_PY': 129, 'R(D)_RY': 53, 'R(D)_TY': 122, 'R(O)_PY': 39, 'R(O)_RY': 80, 'R(O)_TY': 53, 'RY(D)': 141.3, 'RY(O)': 147.7, 'SU': '5-5', 'TO': -0.5, 'TY(D)': 441.2, 'TY(O)': 409.7, 'Team': 'Nc State'}, 'sagarin_away': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 77.79, 'pr_rank': 31, 'season': 2025, 'sos': 73.44, 'sos_rank': 33, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Florida State', 'team_norm': 'Florida State', 'team_raw': 'Florida State', 'week': 13}, 'sagarin_home': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 74.92, 'pr_rank': 46, 'season': 2025, 'sos': 75.39, 'sos_rank': 18, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Nc State', 'team_norm': 'Nc State', 'team_raw': 'NC State', 'week': 13}, 'schedule_row': {'away_team': 'Florida State', 'conference_game': True, 'home_team': 'NC State', 'id': 401754598, 'kickoff_iso_utc': '2025-11-22T01:00:00Z', 'season': 2025, 'venue': 'Carter-Finley Stadium', 'week': 13}}",2025,,401754598,,,,13
,23.7,57,12,30.5,64.83,83.0,216.1,302.4,47,123,133.3,107.2,60.8,107.0,7-3,Hawai'i,Hawai'i,-0.3,49,54,349.4,409.6,,20251122_0330_hawai_i_unlv,3.43,,31.0,113,44,36.6,69.77,65.0,264.1,258.0,112,24,184.5,201.9,60.45,108.0,8-2,Unlv,UNLV,0.7,125,21,448.6,459.9,,2025-11-22T03:30:00Z,,,,4.94,,,,"{'league_metrics_away': {'ATS': None, 'PA': 23.7, 'PF': 30.5, 'PY(D)': 216.1, 'PY(O)': 302.4, 'R(D)_PY': 57, 'R(D)_RY': 47, 'R(D)_TY': 49, 'R(O)_PY': 12, 'R(O)_RY': 123, 'R(O)_TY': 54, 'RY(D)': 133.3, 'RY(O)': 107.2, 'SU': '7-3', 'TO': -0.3, 'TY(D)': 349.4, 'TY(O)': 409.6, 'Team': ""Hawai'i""}, 'league_metrics_home': {'ATS': None, 'PA': 31.0, 'PF': 36.6, 'PY(D)': 264.1, 'PY(O)': 258.0, 'R(D)_PY': 113, 'R(D)_RY': 112, 'R(D)_TY': 125, 'R(O)_PY': 44, 'R(O)_RY': 24, 'R(O)_TY': 21, 'RY(D)': 184.5, 'RY(O)': 201.9, 'SU': '8-2', 'TO': 0.7, 'TY(D)': 448.6, 'TY(O)': 459.9, 'Team': 'Unlv'}, 'sagarin_away': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 64.83, 'pr_rank': 83, 'season': 2025, 'sos': 60.8, 'sos_rank': 107, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': ""Hawai'i"", 'team_norm': ""Hawai'i"", 'team_raw': ""Hawai'i"", 'week': 13}, 'sagarin_home': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 69.77, 'pr_rank': 65, 'season': 2025, 'sos': 60.45, 'sos_rank': 108, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Unlv', 'team_norm': 'Unlv', 'team_raw': 'UNLV', 'week': 13}, 'schedule_row': {'away_team': ""Hawai'i"", 'conference_game': True, 'home_team': 'UNLV', 'id': 401760418, 'kickoff_iso_utc': '2025-11-22T03:30:00Z', 'season': 2025, 'venue': 'Allegiant Stadium', 'week': 13}}",2025,,401760418,,,,13
,30.7,81,8,28.2,,,230.3,307.0,94,119,168.8,110.9,,,5-5,Delaware,Delaware,-0.8,89,44,399.1,417.9,,20251122_1700_delaware_wake_forest,,,19.5,29,83,23.8,,,189.5,213.1,39,77,129.0,149.5,,,7-3,Wake Forest,Wake Forest,-0.1,24,87,318.5,362.6,,2025-11-22T17:00:00Z,,,,,,,,"{'league_metrics_away': {'ATS': None, 'PA': 30.7, 'PF': 28.2, 'PY(D)': 230.3, 'PY(O)': 307.0, 'R(D)_PY': 81, 'R(D)_RY': 94, 'R(D)_TY': 89, 'R(O)_PY': 8, 'R(O)_RY': 119, 'R(O)_TY': 44, 'RY(D)': 168.8, 'RY(O)': 110.9, 'SU': '5-5', 'TO': -0.8, 'TY(D)': 399.1, 'TY(O)': 417.9, 'Team': 'Delaware'}, 'league_metrics_home': {'ATS': None, 'PA': 19.5, 'PF': 23.8, 'PY(D)': 189.5, 'PY(O)': 213.1, 'R(D)_PY': 29, 'R(D)_RY': 39, 'R(D)_TY': 24, 'R(O)_PY': 83, 'R(O)_RY': 77, 'R(O)_TY': 87, 'RY(D)': 129.0, 'RY(O)': 149.5, 'SU': '7-3', 'TO': -0.1, 'TY(D)': 318.5, 'TY(O)': 362.6, 'Team': 'Wake Forest'}, 'sagarin_home': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 73.85, 'pr_rank': 49, 'season': 2025, 'sos': 67.49, 'sos_rank': 66, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Wake Forest', 'team_norm': 'Wake Forest', 'team_raw': 'Wake Forest', 'week': 13}, 'schedule_row': {'away_team': 'Delaware', 'conference_game': False, 'home_team': 'Wake Forest', 'id': 401754606, 'kickoff_iso_utc': '2025-11-22T17:00:00Z', 'season': 2025, 'venue': 'Allegacy Federal Credit Union Stadium', 'week': 13}}",2025,,401754606,,,,13
,25.2,47,73,30.2,69.54,66.0,207.5,226.2,95,62,169.6,161.5,70.88,54.0,5-5,Kansas,Kansas,0.0,76,74,377.1,387.7,,20251122_1700_kansas_iowa_state,3.43,,21.5,67,70,27.1,77.13,37.0,222.9,230.3,72,59,150.8,163.8,72.45,42.0,6-4,Iowa State,Iowa State,0.2,71,68,373.7,394.1,,2025-11-22T17:00:00Z,,,,7.59,,,,"{'league_metrics_away': {'ATS': None, 'PA': 25.2, 'PF': 30.2, 'PY(D)': 207.5, 'PY(O)': 226.2, 'R(D)_PY': 47, 'R(D)_RY': 95, 'R(D)_TY': 76, 'R(O)_PY': 73, 'R(O)_RY': 62, 'R(O)_TY': 74, 'RY(D)': 169.6, 'RY(O)': 161.5, 'SU': '5-5', 'TO': 0.0, 'TY(D)': 377.1, 'TY(O)': 387.7, 'Team': 'Kansas'}, 'league_metrics_home': {'ATS': None, 'PA': 21.5, 'PF': 27.1, 'PY(D)': 222.9, 'PY(O)': 230.3, 'R(D)_PY': 67, 'R(D)_RY': 72, 'R(D)_TY': 71, 'R(O)_PY': 70, 'R(O)_RY': 59, 'R(O)_TY': 68, 'RY(D)': 150.8, 'RY(O)': 163.8, 'SU': '6-4', 'TO': 0.2, 'TY(D)': 373.7, 'TY(O)': 394.1, 'Team': 'Iowa State'}, 'sagarin_away': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 69.54, 'pr_rank': 66, 'season': 2025, 'sos': 70.88, 'sos_rank': 54, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Kansas', 'team_norm': 'Kansas', 'team_raw': 'Kansas', 'week': 13}, 'sagarin_home': {'fetched_at': '2025-11-24 22:25:42.757952+00:00', 'hfa': 3.43, 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 NOVEMBER 22 SATURDAY - WEEK 13', 'pr': 77.13, 'pr_rank': 37, 'season': 2025, 'sos': 72.45, 'sos_rank': 42, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'team': 'Iowa State', 'team_norm': 'Iowa State', 'team_raw': 'Iowa State', 'week': 13}, 'schedule_row': {'away_team': 'Kansas', 'conference_game': True, 'home_team': 'Iowa State', 'id': 401756958, 'kickoff_iso_utc': '2025-11-22T17:00:00Z', 'season': 2025, 'venue': 'Jack Trice Stadium', 'week': 13}}",2025,,401756958,,,,13
