season,week,kickoff_iso_utc,game_key,source_uid,home_team_raw,away_team_raw,home_team_norm,away_team_norm,spread_home_relative,total,moneyline_home,moneyline_away,odds_source,is_closing,snapshot_at,home_pr,home_pr_rank,away_pr,away_pr_rank,home_sos,away_sos,home_sos_rank,away_sos_rank,hfa,rating_diff,rating_vs_odds,favored_side,spread_favored_team,rating_diff_favored_team,rating_vs_odds_favored_team,home_pf_pg,home_pa_pg,home_ry_pg,home_py_pg,home_ty_pg,home_ry_allowed_pg,home_py_allowed_pg,home_ty_allowed_pg,home_to_margin_pg,home_su,home_ats,home_rush_rank,home_pass_rank,home_tot_off_rank,home_rush_def_rank,home_pass_def_rank,home_tot_def_rank,away_pf_pg,away_pa_pg,away_ry_pg,away_py_pg,away_ty_pg,away_ry_allowed_pg,away_py_allowed_pg,away_ty_allowed_pg,away_to_margin_pg,away_su,away_ats,away_rush_rank,away_pass_rank,away_tot_off_rank,away_rush_def_rank,away_pass_def_rank,away_tot_def_rank,raw_sources
2025,11,2025-11-14T01:15:00+00:00,20251114_0115_ne_nyj,2025_11_NYJ_NE,NE,NYJ,ne,nyj,12.5,43.5,,,schedule,False,,21.89,12,13.95,30,16.21,19.14,32,25,2.58,10.52,23.02,AWAY,-12.5,-10.52,-23.02,265.0,192.0,117.7,256.7,374.4,117.7,256.7,374.4,0.0,8-2,7-3-0,16,7,9,16,26,24,195.0,241.0,141.8,169.6,311.3,141.8,169.6,311.3,-1.1,2-7,5-4-0,4,32,28,28,1,5,"{'schedule_row': {'game_id': '2025_11_NYJ_NE', 'gsis': 59992.0, 'gameday': '2025-11-13', 'season': 2025, 'week': 11, 'home_team': 'NE', 'away_team': 'NYJ'}, 'odds_row': None, 'sagarin_row_home': {'team': 'New England Patriots', 'pr': 21.89, 'pr_rank': 12, 'sos': 16.21, 'sos_rank': 32, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'New York Jets', 'pr': 13.95, 'pr_rank': 30, 'sos': 19.14, 'sos_rank': 25, 'hfa': 2.58}}"
2025,11,2025-11-16T14:30:00+00:00,20251116_1430_mia_commanders,2025_11_WAS_MIA,MIA,WAS,mia,commanders,2.5,47.5,,,schedule,False,,15.83,26,19.28,20,19.96,20.21,18,16,2.58,-0.87,1.63,AWAY,-2.5,0.87,-1.63,210.0,256.0,107.2,204.5,311.7,107.2,204.5,311.7,-0.5,3-7,5-5-0,22,26,27,10,7,6,223.0,280.0,135.2,203.6,338.8,135.2,203.6,338.8,-0.7,3-7,3-7-0,7,27,20,25,6,13,"{'schedule_row': {'game_id': '2025_11_WAS_MIA', 'gsis': 59993.0, 'gameday': '2025-11-16', 'season': 2025, 'week': 11, 'home_team': 'MIA', 'away_team': 'WAS'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Miami Dolphins', 'pr': 15.83, 'pr_rank': 26, 'sos': 19.96, 'sos_rank': 18, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Washington Commanders', 'pr': 19.28, 'pr_rank': 20, 'sos': 20.21, 'sos_rank': 16, 'hfa': 2.58}}"
2025,11,2025-11-16T18:00:00+00:00,20251116_1800_atl_car,2025_11_CAR_ATL,ATL,CAR,atl,car,4.5,42.5,,,schedule,False,,17.06,23,16.04,25,19.7,18.63,20,28,2.58,3.6,8.1,AWAY,-4.5,-3.6,-8.1,168.0,209.0,119.3,223.2,342.6,119.3,223.2,342.6,0.4,3-6,5-4-0,15,18,17,17,15,16,177.0,222.0,133.1,180.7,313.8,133.1,180.7,313.8,-0.4,5-5,6-4-0,8,31,25,24,2,8,"{'schedule_row': {'game_id': '2025_11_CAR_ATL', 'gsis': 59994.0, 'gameday': '2025-11-16', 'season': 2025, 'week': 11, 'home_team': 'ATL', 'away_team': 'CAR'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Atlanta Falcons', 'pr': 17.06, 'pr_rank': 23, 'sos': 19.7, 'sos_rank': 20, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Carolina Panthers', 'pr': 16.04, 'pr_rank': 25, 'sos': 18.63, 'sos_rank': 28, 'hfa': 2.58}}"
2025,11,2025-11-16T18:00:00+00:00,20251116_1800_buf_tb,2025_11_TB_BUF,BUF,TB,buf,tb,6.0,46.5,,,schedule,False,,24.75,5,21.68,13,18.07,21.72,30,4,2.58,5.65,11.65,AWAY,-6.0,-5.65,-11.65,248.0,197.0,153.2,243.7,396.9,153.2,243.7,396.9,-0.2,6-3,4-5-0,1,12,2,31,21,31,220.0,206.0,99.8,243.6,343.3,99.8,243.6,343.3,0.9,6-3,5-4-0,24,13,16,8,20,17,"{'schedule_row': {'game_id': '2025_11_TB_BUF', 'gsis': 59995.0, 'gameday': '2025-11-16', 'season': 2025, 'week': 11, 'home_team': 'BUF', 'away_team': 'TB'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Buffalo Bills', 'pr': 24.75, 'pr_rank': 5, 'sos': 18.07, 'sos_rank': 30, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Tampa Bay Buccaneers', 'pr': 21.68, 'pr_rank': 13, 'sos': 21.72, 'sos_rank': 4, 'hfa': 2.58}}"
2025,11,2025-11-16T18:00:00+00:00,20251116_1800_jaguars_lac,2025_11_LAC_JAX,JAX,LAC,jaguars,lac,-3.0,43.5,,,schedule,False,,20.25,17,20.42,16,20.81,19.15,9,24,2.58,2.41,-0.59,HOME,-3.0,2.41,-0.59,205.0,220.0,120.3,222.0,342.3,120.3,222.0,342.3,0.8,5-4,4-5-0,14,19,18,18,14,15,240.0,203.0,123.1,265.4,388.5,123.1,265.4,388.5,-0.1,7-3,5-5-0,10,5,5,22,28,28,"{'schedule_row': {'game_id': '2025_11_LAC_JAX', 'gsis': 59996.0, 'gameday': '2025-11-16', 'season': 2025, 'week': 11, 'home_team': 'JAX', 'away_team': 'LAC'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Jacksonville Jaguars', 'pr': 20.25, 'pr_rank': 17, 'sos': 20.81, 'sos_rank': 9, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Los Angeles Chargers', 'pr': 20.42, 'pr_rank': 16, 'sos': 19.15, 'sos_rank': 24, 'hfa': 2.58}}"
2025,11,2025-11-16T18:00:00+00:00,20251116_1800_min_chi,2025_11_CHI_MIN,MIN,CHI,min,chi,3.0,47.5,,,schedule,False,,19.55,19,20.03,18,20.11,19.05,17,27,2.58,2.1,5.1,AWAY,-3.0,-2.1,-5.1,201.0,213.0,102.1,220.2,322.3,102.1,220.2,322.3,-0.9,4-5,4-5-0,23,20,23,9,13,10,239.0,247.0,147.3,242.8,390.1,147.3,242.8,390.1,1.6,6-3,5-4-0,2,14,3,30,19,30,"{'schedule_row': {'game_id': '2025_11_CHI_MIN', 'gsis': 59997.0, 'gameday': '2025-11-16', 'season': 2025, 'week': 11, 'home_team': 'MIN', 'away_team': 'CHI'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Minnesota Vikings', 'pr': 19.55, 'pr_rank': 19, 'sos': 20.11, 'sos_rank': 17, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Chicago Bears', 'pr': 20.03, 'pr_rank': 18, 'sos': 19.05, 'sos_rank': 27, 'hfa': 2.58}}"
2025,11,2025-11-16T18:00:00+00:00,20251116_1800_nyg_gb,2025_11_GB_NYG,NYG,GB,nyg,gb,-7.5,41.5,,,schedule,False,,15.77,27,23.87,9,21.94,19.11,1,26,2.58,-5.52,-13.02,HOME,-7.5,-5.52,-13.02,217.0,273.0,123.0,224.8,347.8,123.0,224.8,347.8,-0.5,2-8,5-5-0,11,17,14,21,16,19,213.0,176.0,111.9,249.7,361.6,111.9,249.7,361.6,0.1,5-3-1,3-6-0,19,9,12,13,24,21,"{'schedule_row': {'game_id': '2025_11_GB_NYG', 'gsis': 59998.0, 'gameday': '2025-11-16', 'season': 2025, 'week': 11, 'home_team': 'NYG', 'away_team': 'GB'}, 'odds_row': None, 'sagarin_row_home': {'team': 'New York Giants', 'pr': 15.77, 'pr_rank': 27, 'sos': 21.94, 'sos_rank': 1, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Green Bay Packers', 'pr': 23.87, 'pr_rank': 9, 'sos': 19.11, 'sos_rank': 26, 'hfa': 2.58}}"
2025,11,2025-11-16T18:00:00+00:00,20251116_1800_pit_cin,2025_11_CIN_PIT,PIT,CIN,pit,cin,5.5,48.5,,,schedule,False,,20.65,15,16.46,24,19.19,20.43,23,15,2.58,6.77,12.27,AWAY,-5.5,-6.77,-12.27,212.0,220.0,85.7,207.2,292.9,85.7,207.2,292.9,0.8,5-4,4-5-0,29,23,30,3,10,3,216.0,300.0,78.8,244.4,323.2,78.8,244.4,323.2,-0.7,3-6,3-6-0,31,11,22,1,22,11,"{'schedule_row': {'game_id': '2025_11_CIN_PIT', 'gsis': 59999.0, 'gameday': '2025-11-16', 'season': 2025, 'week': 11, 'home_team': 'PIT', 'away_team': 'CIN'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Pittsburgh Steelers', 'pr': 20.65, 'pr_rank': 15, 'sos': 19.19, 'sos_rank': 23, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Cincinnati Bengals', 'pr': 16.46, 'pr_rank': 24, 'sos': 20.43, 'sos_rank': 15, 'hfa': 2.58}}"
2025,11,2025-11-16T18:00:00+00:00,20251116_1800_ten_hou,2025_11_HOU_TEN,TEN,HOU,ten,hou,-5.5,37.5,,,schedule,False,,11.98,32,22.64,11,21.45,20.61,6,12,2.58,-8.08,-13.58,HOME,-5.5,-8.08,-13.58,130.0,257.0,81.2,195.6,276.8,81.2,195.6,276.8,-0.4,1-8,3-6-0,30,29,32,2,4,1,204.0,150.0,111.2,239.3,350.6,111.2,239.3,350.6,0.9,4-5,4-5-0,21,15,13,11,18,20,"{'schedule_row': {'game_id': '2025_11_HOU_TEN', 'gsis': 60000.0, 'gameday': '2025-11-16', 'season': 2025, 'week': 11, 'home_team': 'TEN', 'away_team': 'HOU'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Tennessee Titans', 'pr': 11.98, 'pr_rank': 32, 'sos': 21.45, 'sos_rank': 6, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Houston Texans', 'pr': 22.64, 'pr_rank': 11, 'sos': 20.61, 'sos_rank': 12, 'hfa': 2.58}}"
2025,11,2025-11-16T21:05:00+00:00,20251116_2105_ari_49ers,2025_11_SF_ARI,ARI,SF,ari,49ers,-3.5,48.5,,,schedule,False,,17.44,22,21.28,14,19.64,20.63,21,11,2.58,-1.26,-4.76,HOME,-3.5,-1.26,-4.76,202.0,215.0,113.4,231.1,344.6,113.4,231.1,344.6,0.0,3-6,5-4-0,18,16,15,14,17,18,220.0,230.0,94.8,273.7,368.5,94.8,273.7,368.5,-0.5,6-4,5-5-0,26,1,10,6,32,23,"{'schedule_row': {'game_id': '2025_11_SF_ARI', 'gsis': 60001.0, 'gameday': '2025-11-16', 'season': 2025, 'week': 11, 'home_team': 'ARI', 'away_team': 'SF'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Arizona Cardinals', 'pr': 17.44, 'pr_rank': 22, 'sos': 19.64, 'sos_rank': 21, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'San Francisco 49ers', 'pr': 21.28, 'pr_rank': 14, 'sos': 20.63, 'sos_rank': 11, 'hfa': 2.58}}"
2025,11,2025-11-16T21:05:00+00:00,20251116_2105_la_sea,2025_11_SEA_LA,LA,SEA,la,sea,3.0,49.5,,,schedule,False,,25.46,4,24.03,8,20.54,19.92,13,19,2.58,4.01,7.01,AWAY,-3.0,-4.01,-7.01,251.0,153.0,113.4,269.7,383.1,113.4,269.7,383.1,1.0,7-2,7-2-0,18,2,7,14,31,26,275.0,172.0,114.3,253.0,367.3,114.3,253.0,367.3,-0.7,7-2,7-2-0,17,8,11,15,25,22,"{'schedule_row': {'game_id': '2025_11_SEA_LA', 'gsis': 60002.0, 'gameday': '2025-11-16', 'season': 2025, 'week': 11, 'home_team': 'LA', 'away_team': 'SEA'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Los Angeles Rams', 'pr': 25.46, 'pr_rank': 4, 'sos': 20.54, 'sos_rank': 13, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Seattle Seahawks', 'pr': 24.03, 'pr_rank': 8, 'sos': 19.92, 'sos_rank': 19, 'hfa': 2.58}}"
2025,11,2025-11-16T21:25:00+00:00,20251116_2125_cle_bal,2025_11_BAL_CLE,CLE,BAL,cle,bal,-7.5,37.5,,,schedule,False,,14.5,29,24.16,6,20.97,21.0,8,7,2.58,-7.08,-14.58,HOME,-7.5,-7.08,-14.58,146.0,211.0,97.1,187.1,284.2,97.1,187.1,284.2,0.3,2-7,3-6-0,25,30,31,7,3,2,229.0,235.0,137.3,200.7,338.0,137.3,200.7,338.0,-0.2,4-5,4-5-0,5,28,21,27,5,12,"{'schedule_row': {'game_id': '2025_11_BAL_CLE', 'gsis': 60003.0, 'gameday': '2025-11-16', 'season': 2025, 'week': 11, 'home_team': 'CLE', 'away_team': 'BAL'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Cleveland Browns', 'pr': 14.5, 'pr_rank': 29, 'sos': 20.97, 'sos_rank': 8, 'hfa': 2.58}, 'sagarin_row_away': {'team': 'Baltimore Ravens', 'pr': 24.16, 'pr_rank': 6, 'sos': 21.0, 'sos_rank': 7, 'hfa': 2.58}}"
