Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Arizona Cardinals,113.4,18,231.1,16,344.6,15,113.4,14,231.1,17,344.6,18,0.0,202,215,3-6,5-4-0
Atlanta Falcons,119.3,15,223.2,18,342.6,17,119.3,17,223.2,15,342.6,16,0.4,168,209,3-6,5-4-0
Baltimore Ravens,137.3,5,200.7,28,338.0,21,137.3,27,200.7,5,338.0,12,-0.2,229,235,4-5,4-5-0
Buffalo Bills,153.2,1,243.7,12,396.9,2,153.2,31,243.7,21,396.9,31,-0.2,248,197,6-3,4-5-0
Carolina Panthers,133.1,8,180.7,31,313.8,25,133.1,24,180.7,2,313.8,8,-0.4,177,222,5-5,6-4-0
Chicago Bears,147.3,2,242.8,14,390.1,3,147.3,30,242.8,19,390.1,30,1.6,239,247,6-3,5-4-0
Cincinnati Bengals,78.8,31,244.4,11,323.2,22,78.8,1,244.4,22,323.2,11,-0.7,216,300,3-6,3-6-0
Cleveland Browns,97.1,25,187.1,30,284.2,31,97.1,7,187.1,3,284.2,2,0.3,146,211,2-7,3-6-0
Dallas Cowboys,120.7,13,268.7,3,389.3,4,120.7,19,268.7,30,389.3,29,-0.4,263,277,3-5-1,4-5-0
Denver Broncos,128.6,9,212.6,22,341.2,19,128.6,23,212.6,11,341.2,14,-0.3,235,173,8-2,4-6-0
Detroit Lions,136.3,6,248.7,10,385.0,6,136.3,26,248.7,23,385.0,27,0.5,283,200,6-3,6-3-0
Green Bay Packers,111.9,19,249.7,9,361.6,12,111.9,13,249.7,24,361.6,21,0.1,213,176,5-3-1,3-6-0
Houston Texans,111.2,21,239.3,15,350.6,13,111.2,11,239.3,18,350.6,20,0.9,204,150,4-5,4-5-0
Indianapolis Colts,145.3,3,266.8,4,412.1,1,145.3,29,266.8,29,412.1,32,0.2,321,206,8-2,6-4-0
Jacksonville Jaguars,120.3,14,222.0,19,342.3,18,120.3,18,222.0,14,342.3,15,0.8,205,220,5-4,4-5-0
Kansas City Chiefs,121.2,12,261.0,6,382.2,8,121.2,20,261.0,27,382.2,25,0.3,235,159,5-4,5-4-0
Los Angeles Rams,113.4,18,269.7,2,383.1,7,113.4,14,269.7,31,383.1,26,1.0,251,153,7-2,7-2-0
Los Angeles Chargers,123.1,10,265.4,5,388.5,5,123.1,22,265.4,28,388.5,28,-0.1,240,203,7-3,5-5-0
Las Vegas Raiders,87.4,28,205.8,25,293.2,29,87.4,4,205.8,8,293.2,4,-0.4,139,220,2-7,4-5-0
Miami Dolphins,107.2,22,204.5,26,311.7,27,107.2,10,204.5,7,311.7,6,-0.5,210,256,3-7,5-5-0
Minnesota Vikings,102.1,23,220.2,20,322.3,23,102.1,9,220.2,13,322.3,10,-0.9,201,213,4-5,4-5-0
New England Patriots,117.7,16,256.7,7,374.4,9,117.7,16,256.7,26,374.4,24,0.0,265,192,8-2,7-3-0
New Orleans Saints,92.8,27,219.1,21,311.9,26,92.8,5,219.1,12,311.9,7,-0.3,155,250,2-8,3-7-0
New York Giants,123.0,11,224.8,17,347.8,14,123.0,21,224.8,16,347.8,19,-0.5,217,273,2-8,5-5-0
New York Jets,141.8,4,169.6,32,311.3,28,141.8,28,169.6,1,311.3,5,-1.1,195,241,2-7,5-4-0
Philadelphia Eagles,111.6,20,206.7,24,318.2,24,111.6,12,206.7,9,318.2,9,0.6,218,192,7-2,6-3-0
Pittsburgh Steelers,85.7,29,207.2,23,292.9,30,85.7,3,207.2,10,292.9,3,0.8,212,220,5-4,4-5-0
Seattle Seahawks,114.3,17,253.0,8,367.3,11,114.3,15,253.0,25,367.3,22,-0.7,275,172,7-2,7-2-0
San Francisco 49ers,94.8,26,273.7,1,368.5,10,94.8,6,273.7,32,368.5,23,-0.5,220,230,6-4,5-5-0
Tampa Bay Buccaneers,99.8,24,243.6,13,343.3,16,99.8,8,243.6,20,343.3,17,0.9,220,206,6-3,5-4-0
Tennessee Titans,81.2,30,195.6,29,276.8,32,81.2,2,195.6,4,276.8,1,-0.4,130,257,1-8,3-6-0
Washington Commanders,135.2,7,203.6,27,338.8,20,135.2,25,203.6,6,338.8,13,-0.7,223,280,3-7,3-7-0
