Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Air Force,270.1,4,185.0,105,455.1,37,180.6,94,281.5,121,462.1,115,-0.5,33.9,35.1,2-6,
Akron,127.9,91,199.8,83,327.7,96,178.4,114,244.8,117,423.2,120,0.3,18.8,29.0,3-6,
Alabama Crimson Tide,119.0,116,291.6,23,410.6,69,149.2,58,163.6,10,312.9,17,1.1,34.4,18.2,7-1,
App State,135.0,104,280.6,33,415.6,65,114.1,22,261.1,104,375.2,50,-0.5,27.0,27.6,4-4,
Arizona,150.4,85,266.5,42,416.9,63,138.9,43,155.2,6,294.1,11,1.0,34.1,19.9,5-3,
Arizona State,187.3,26,220.8,63,408.1,35,123.8,45,211.6,73,335.3,53,0.3,24.7,23.7,6-3,
Arkansas,209.1,14,275.7,16,484.8,5,185.8,120,246.4,119,432.2,127,-0.8,35.4,33.3,2-7,
Arkansas State,132.6,86,237.0,41,369.6,64,181.1,115,228.1,97,409.2,114,-0.2,23.6,26.4,5-4,
Army,265.4,5,87.6,127,353.0,107,145.1,51,201.9,26,347.0,35,0.4,23.4,23.1,4-4,
Auburn,164.9,43,164.8,104,329.7,93,83.9,13,226.2,93,310.1,36,0.8,22.3,17.7,4-5,
Ball State,143.0,92,129.8,124,272.8,130,187.2,101,229.6,60,416.9,89,-0.4,16.4,29.8,3-5,
Baylor,141.4,72,312.7,2,454.1,10,177.8,113,205.2,64,383.0,97,-0.9,33.8,29.3,5-4,
Boise State,185.4,28,243.0,37,428.4,21,158.3,93,167.8,19,326.1,46,0.2,32.1,24.0,6-3,
Boston College,92.2,125,268.9,18,361.1,74,164.0,98,253.3,122,417.3,117,-0.8,24.9,33.3,1-8,
Bowling Green,147.1,66,157.8,112,304.9,115,144.8,74,201.2,54,346.0,66,0.1,18.2,25.7,3-6,
Buffalo,146.2,67,212.6,69,358.8,76,140.1,66,184.2,34,324.3,44,-0.3,24.8,19.6,5-4,
Byu,218.0,20,216.8,90,434.8,48,129.8,36,188.9,20,318.6,19,1.2,36.2,17.0,8-0,
California,79.8,129,253.0,27,332.8,90,156.4,87,199.1,51,355.6,71,-0.1,24.6,25.1,5-4,
Central Michigan,187.7,25,153.6,115,341.2,85,155.9,86,203.7,58,359.6,76,0.6,24.1,24.0,5-4,
Charlotte,106.9,124,218.1,88,325.0,122,207.9,119,270.1,112,478.0,121,-1.0,17.5,37.2,1-7,
