Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Arizona Cardinals,96.8,26,263.0,3,359.8,11,96.8,7,263.0,30,359.8,21,0.1,282,348,3-10,6-7-0
Atlanta Falcons,123.6,12,217.5,19,341.1,18,123.6,21,217.5,14,341.1,14,0.1,252,313,4-9,6-7-0
Baltimore Ravens,142.9,3,201.3,27,344.2,16,142.9,30,201.3,6,344.2,16,-0.4,311,320,6-7,4-9-0
Buffalo Bills,157.8,1,241.3,11,399.1,2,157.8,32,241.3,22,399.1,30,-0.1,376,293,9-4,6-7-0
Carolina Panthers,125.5,10,202.3,26,327.8,22,125.5,23,202.3,7,327.8,10,0.0,247,297,7-6,8-5-0
Chicago Bears,152.6,2,227.5,16,380.1,7,152.6,31,227.5,17,380.1,25,1.3,334,335,9-4,7-5-1
Cincinnati Bengals,86.5,30,241.6,10,328.1,21,86.5,3,241.6,23,328.1,11,-0.3,314,413,4-9,6-7-0
Cleveland Browns,95.6,27,193.9,28,289.5,29,95.6,6,193.9,5,289.5,3,-0.1,223,301,3-10,5-8-0
Dallas Cowboys,119.5,16,287.4,1,406.8,1,119.5,17,287.4,32,406.8,31,-0.6,381,386,6-6-1,7-6-0
Denver Broncos,121.8,14,227.2,17,349.1,15,121.8,19,227.2,16,349.1,17,-0.2,308,235,11-2,5-8-0
Detroit Lions,135.8,5,256.7,6,392.5,3,135.8,28,256.7,27,392.5,29,0.6,394,304,8-5,7-6-0
Green Bay Packers,117.2,19,233.9,14,351.1,14,117.2,14,233.9,19,351.1,18,0.3,322,247,9-3-1,6-7-0
Houston Texans,105.7,23,235.4,13,341.1,18,105.7,10,235.4,20,341.1,14,0.9,283,208,8-5,7-6-0
Indianapolis Colts,130.9,6,250.4,8,381.3,5,130.9,27,250.4,25,381.3,27,0.2,376,285,8-5,7-6-0
Jacksonville Jaguars,121.7,15,221.8,18,343.5,17,121.7,18,221.8,15,343.5,15,0.6,328,272,9-4,8-5-0
Kansas City Chiefs,118.9,17,261.4,4,380.3,6,118.9,16,261.4,29,380.3,26,-0.1,315,252,6-7,5-8-0
Los Angeles Rams,123.9,11,258.0,5,381.9,4,123.9,22,258.0,28,381.9,28,0.8,379,227,10-3,9-4-0
Los Angeles Chargers,125.7,9,236.2,12,361.9,10,125.7,24,236.2,21,361.9,22,0.1,299,271,9-4,7-6-0
Las Vegas Raiders,72.7,32,211.8,23,284.5,30,72.7,1,211.8,10,284.5,2,-0.2,196,332,2-11,5-8-0
Miami Dolphins,126.5,8,192.3,30,318.8,24,126.5,25,192.3,3,318.8,8,-0.1,281,296,6-7,7-6-0
Minnesota Vikings,104.2,24,192.9,29,297.2,27,104.2,9,192.9,4,297.2,5,-0.9,255,281,5-8,5-8-0
New England Patriots,112.9,21,263.4,2,376.3,8,112.9,12,263.4,31,376.3,24,0.1,351,241,11-2,9-4-0
New Orleans Saints,94.4,28,216.7,20,311.1,25,94.4,5,216.7,13,311.1,7,-0.4,206,315,3-10,5-8-0
New York Giants,123.5,13,229.8,15,353.2,12,123.5,20,229.8,18,353.2,20,-0.5,279,367,2-11,7-6-0
New York Jets,128.4,7,169.6,32,298.0,26,128.4,26,169.6,1,298.0,6,-1.2,256,349,3-10,7-6-0
Philadelphia Eagles,110.5,22,211.8,22,322.3,23,110.5,11,211.8,11,322.3,9,0.2,289,271,8-5,7-6-0
Pittsburgh Steelers,89.2,29,206.2,24,295.4,28,89.2,4,206.2,9,295.4,4,0.7,308,311,7-6,6-6-1
Seattle Seahawks,117.8,18,244.4,9,362.2,9,117.8,15,244.4,24,362.2,23,-0.2,387,226,10-3,10-3-0
San Francisco 49ers,98.5,25,253.7,7,352.2,13,98.5,8,253.7,26,352.2,19,-0.3,307,269,9-4,8-5-0
Tampa Bay Buccaneers,115.2,20,214.2,21,329.3,20,115.2,13,214.2,12,329.3,12,0.6,299,325,7-6,5-8-0
Tennessee Titans,84.9,31,189.8,31,274.8,31,84.9,2,189.8,2,274.8,1,-0.4,201,357,2-11,6-7-0
Washington Commanders,136.5,4,203.9,25,340.4,19,136.5,29,203.9,8,340.4,13,-0.8,262,354,3-10,4-9-0
