season,week,team_raw,team_norm,team,pr,pr_rank,sos,sos_rank,hfa,source_url,fetched_at,page_stamp
2025,15,Los Angeles Rams,Los Angeles Rams,Los Angeles Rams,27.07,1,20.39,14,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks,26.2,2,19.11,26,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Detroit Lions,Detroit Lions,Detroit Lions,25.59,3,20.17,17,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Green Bay Packers,Green Bay Packers,Green Bay Packers,25.17,4,19.19,25,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Buffalo Bills,Buffalo Bills,Buffalo Bills,25.02,5,18.67,28,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Kansas City Chiefs,Kansas City Chiefs,Kansas City Chiefs,24.77,6,20.97,8,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Houston Texans,Houston Texans,Houston Texans,24.51,7,22.0,2,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,24.35,8,21.33,5,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Denver Broncos,Denver Broncos,Denver Broncos,23.69,9,18.2,31,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,New England Patriots,New England Patriots,New England Patriots,22.92,10,16.11,32,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville Jaguars,22.62,11,20.66,10,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,San Francisco 49ers,San Francisco 49ers,San Francisco 49ers,22.47,12,19.93,18,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Baltimore Ravens,Baltimore Ravens,Baltimore Ravens,22.04,13,19.86,19,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Indianapolis Colts,Indianapolis Colts,Indianapolis Colts,21.73,14,19.35,23,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
