Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Air Force,266.5,50,169.0,118,435.5,108,141.5,34,228.0,32,369.5,30,-0.5,39.5,31.0,1-1,
Akron,120.3,97,161.0,104,281.3,111,160.3,93,365.0,119,525.3,123,0.3,9.3,36.3,0-3,
Alabama Crimson Tide,123.7,93,335.7,13,459.3,33,138.3,72,108.0,10,246.3,30,2.0,42.7,15.0,2-1,
App State,162.0,59,357.3,9,519.3,12,61.7,11,212.7,68,274.3,41,-1.0,25.3,20.7,2-1,
Arizona,189.7,39,248.3,49,438.0,41,97.0,37,126.3,18,223.3,17,2.0,37.0,8.7,3-0,
Arizona State,233.0,14,175.7,96,408.7,57,91.3,31,235.0,85,326.3,65,0.0,30.7,19.3,2-1,
Arkansas,245.3,9,324.0,17,569.3,6,113.3,53,218.3,73,331.7,67,0.3,47.7,20.7,2-1,
Arkansas State,153.3,67,233.0,58,386.3,66,200.0,108,282.0,108,482.0,121,0.0,24.0,34.7,1-2,
Army,258.5,55,113.0,126,371.5,119,133.0,28,162.0,10,295.0,13,-1.0,25.5,25.5,1-1,
Auburn,242.0,11,173.7,98,415.7,55,67.0,16,220.0,74,287.0,49,0.7,37.0,14.0,3-0,
Ball State,140.3,76,87.7,125,228.0,122,149.7,84,290.0,112,439.7,110,-0.7,12.3,34.0,1-2,
Baylor,149.3,70,368.0,4,517.3,13,188.3,104,167.7,38,356.0,75,0.3,38.0,30.0,2-1,
Boise State,225.0,69,282.5,87,507.5,91,117.0,22,215.5,28,332.5,16,-0.5,29.0,24.0,1-1,
Boston College,73.7,118,393.7,1,467.3,28,129.3,63,189.7,51,319.0,62,-0.7,42.0,27.3,1-2,
Bowling Green,137.7,79,176.3,95,314.0,101,101.0,39,215.0,71,316.0,59,1.7,23.0,18.0,2-1,
Buffalo,187.7,41,186.0,90,373.7,74,102.7,40,228.0,81,330.7,66,-0.7,28.7,19.0,2-1,
Byu,312.5,29,156.5,122,469.0,103,8.0,1,99.0,2,107.0,1,1.5,48.0,1.5,2-0,
California,121.3,96,266.3,38,387.7,64,82.3,23,197.7,56,280.0,45,1.0,32.0,10.7,3-0,
Central Michigan,123.0,94,117.3,117,240.3,121,196.3,106,294.3,113,490.7,122,0.7,12.0,40.7,1-2,
Charlotte,93.0,114,258.0,42,351.0,82,126.0,60,323.0,118,449.0,114,-2.0,18.7,29.7,1-2,
Cincinnati,183.7,42,254.7,46,438.3,40,93.3,32,183.3,45,276.7,42,-0.7,40.3,13.3,2-1,
Clemson Tigers,108.3,108,211.0,72,319.3,99,111.0,51,227.3,80,337.7,69,0.0,19.3,19.0,1-2,
Coastal Carolina,136.7,81,158.0,105,294.7,107,159.7,92,212.7,68,372.3,83,-2.7,6.7,28.7,1-2,
Colorado,125.7,92,210.0,73,335.7,92,204.7,111,225.7,77,430.3,104,1.0,23.7,23.3,1-2,
Colorado State,157.5,110,160.5,121,318.0,125,173.0,54,193.0,19,366.0,27,-1.5,21.0,27.5,1-1,
Delaware,156.3,64,283.0,31,439.3,39,170.0,97,254.0,94,424.0,100,-0.3,28.7,29.7,2-1,
Duke,126.7,91,352.7,10,479.3,23,147.3,81,226.0,78,373.3,84,-2.0,30.3,32.0,1-2,
East Carolina,135.3,83,346.3,11,481.7,21,58.7,9,212.3,67,271.0,38,2.3,37.0,9.0,2-1,
Eastern Michigan,132.0,86,255.7,45,387.7,64,292.0,123,234.0,83,526.0,124,-0.3,24.3,42.7,0-3,
Florida,137.3,80,253.3,47,390.7,62,89.0,29,177.3,43,266.3,35,-1.0,27.0,12.7,1-2,
Florida Atlantic,135.0,84,326.7,15,461.7,31,135.3,68,226.3,79,361.7,78,-2.7,30.3,30.3,1-2,
Florida International,196.0,35,188.7,86,384.7,68,149.7,84,261.3,98,411.0,96,0.0,26.7,23.7,2-1,
Florida State,295.5,34,260.0,99,555.5,75,96.0,12,173.0,12,269.0,9,0.0,54.0,10.0,2-0,
Fresno State,203.0,6,189.5,48,392.5,11,114.5,86,213.2,110,327.8,108,-1.2,35.2,19.8,3-1,
Georgia Bulldogs,209.0,27,261.3,41,470.3,26,82.7,24,217.0,72,299.7,51,-0.3,39.0,18.0,3-0,
Georgia Southern,148.3,72,194.7,83,343.0,87,291.3,122,267.3,99,558.7,125,0.7,25.0,45.0,1-2,
Georgia State,135.3,83,232.3,59,367.7,76,207.7,113,251.7,93,459.3,117,-0.7,20.0,40.7,1-2,
Georgia Tech,230.0,15,270.3,35,500.3,17,145.7,80,191.7,53,337.3,68,-0.7,36.7,17.7,3-0,
Hawai'i,99.0,86,244.2,16,343.2,34,123.5,95,154.5,64,278.0,82,-1.2,22.2,20.8,3-1,
Houston,202.3,32,187.3,89,389.7,63,104.0,43,120.0,14,224.0,18,2.0,32.7,9.7,3-0,
Illinois,164.7,58,241.0,53,405.7,58,74.7,19,193.7,54,268.3,36,2.0,45.0,7.3,3-0,
Indiana,308.7,2,284.0,28,592.7,3,115.3,54,105.3,8,220.7,15,1.3,52.0,7.7,3-0,
Iowa,214.0,24,121.7,115,335.7,92,57.7,8,120.3,15,178.0,8,-0.3,31.3,10.0,2-1,
Iowa State,161.0,23,222.0,25,383.0,15,120.8,94,176.0,84,296.8,91,0.5,29.8,14.2,4-0,
Jacksonville State,240.7,12,129.7,112,370.3,75,176.0,101,280.0,107,456.0,116,0.7,26.0,27.3,1-2,
James Madison,219.5,73,141.0,124,360.5,121,88.5,10,117.5,4,206.0,2,0.0,29.5,19.0,1-1,
Kansas,165.0,57,248.3,49,413.3,56,117.0,56,201.0,58,318.0,61,0.3,36.0,18.7,2-1,
Kansas State,108.8,74,212.8,29,321.5,47,175.8,120,177.0,87,352.8,119,0.0,24.2,26.5,1-3,
Kennesaw State,140.0,77,175.7,96,315.7,100,175.0,99,237.7,88,412.7,97,-1.0,15.0,26.3,1-2,
Kent State,102.3,112,217.7,69,320.0,98,181.0,102,288.3,111,469.3,118,-0.3,21.0,36.7,1-2,
Kentucky,215.0,22,170.7,102,385.7,67,137.3,70,278.3,105,415.7,98,0.7,31.7,23.0,2-1,
Liberty,177.0,52,242.0,52,419.0,52,228.3,119,110.0,11,338.3,70,-1.3,21.7,21.3,1-2,
Louisiana,194.3,36,59.3,129,253.7,116,226.7,118,138.3,24,365.0,79,0.3,18.7,25.3,1-2,
Louisiana Tech,181.7,45,149.0,107,330.7,93,94.7,35,221.0,75,315.7,58,2.0,26.7,12.3,2-1,
Louisville,171.0,104,232.0,106,403.0,114,100.0,15,106.5,3,206.5,3,-1.0,39.5,15.5,2-0,
Lsu,112.7,105,235.0,56,347.0,84,56.0,7,204.3,63,260.3,33,0.7,20.0,9.0,3-0,
Marshall,177.3,51,108.7,120,286.0,109,112.0,52,242.7,90,354.7,74,0.0,21.7,24.3,1-2,
Maryland,116.7,102,266.0,39,382.7,70,102.7,40,199.3,57,302.0,53,2.0,34.3,11.0,3-0,
Massachusetts,76.7,116,183.0,92,259.7,115,157.7,89,276.0,104,433.7,106,-0.3,14.3,38.7,0-3,
Memphis,218.3,20,202.7,77,421.0,50,69.0,17,175.3,42,244.3,28,0.7,37.0,11.0,3-0,
Miami,177.0,52,306.7,21,483.7,20,75.3,20,204.0,62,279.3,44,1.3,40.3,13.0,3-0,
Miami (oh),75.5,123,167.0,119,242.5,129,163.5,49,223.5,30,387.0,32,-1.0,8.5,31.0,0-2,
Michigan,245.7,8,209.3,74,455.0,36,90.0,30,182.3,44,272.3,39,1.7,36.7,14.7,2-1,
Michigan State,168.0,56,218.7,68,386.7,65,64.3,13,273.3,101,337.7,69,-0.3,35.3,23.3,3-0,
Middle Tennessee,60.7,121,188.0,88,248.7,117,175.3,100,214.0,69,389.3,89,0.3,12.7,29.7,1-2,
Minnesota,180.3,46,240.3,54,420.7,51,41.3,2,136.3,22,177.7,7,0.3,34.3,12.3,2-1,
Mississippi State,178.7,48,262.7,40,441.3,38,140.3,75,122.7,16,263.0,34,1.3,40.3,12.3,3-0,
Missouri,302.3,3,284.7,27,587.0,4,91.3,31,100.0,6,191.3,12,0.3,51.7,15.7,3-0,
Missouri State,68.0,120,274.0,33,342.0,88,197.0,107,242.7,90,439.7,110,-1.0,14.7,40.3,1-2,
Navy,376.7,1,118.0,116,494.7,18,82.3,23,235.7,86,318.0,61,0.7,44.0,18.0,3-0,
Nc State,176.7,53,239.7,55,416.3,54,115.3,54,297.3,114,412.7,97,0.7,31.0,24.0,3-0,
Nebraska,179.7,47,366.3,5,546.0,8,136.0,69,66.0,2,202.0,14,1.3,49.0,8.0,3-0,
Nevada,183.7,42,145.0,111,328.7,94,128.7,62,258.3,95,387.0,87,-1.7,14.7,25.7,1-2,
New Mexico,188.7,40,174.7,97,363.3,79,143.7,77,244.3,91,388.0,88,-1.0,28.0,22.0,2-1,
New Mexico State,48.3,124,253.3,47,301.7,105,187.7,103,214.3,70,402.0,92,-0.3,18.0,22.0,2-1,
North Carolina,130.3,88,148.7,108,279.0,112,134.7,66,203.0,61,337.7,69,0.7,25.0,19.0,2-1,
North Texas,159.3,60,266.7,37,426.0,48,103.7,42,128.7,19,232.3,24,2.0,47.7,13.3,3-0,
Northern Illinois,180.0,98,100.0,128,280.0,128,74.5,5,204.5,22,279.0,11,0.5,14.0,18.5,1-1,
Northwestern,178.3,49,180.3,93,358.7,81,172.0,98,153.0,33,325.0,64,-2.0,19.7,21.3,1-2,
Notre Dame Fighting Irish,115.0,116,257.0,101,372.0,118,127.5,26,282.5,49,410.0,40,-1.0,32.0,34.0,0-2,
Ohio,150.3,68,199.7,79,350.0,83,148.3,82,259.0,96,407.3,94,0.0,19.0,27.0,1-2,
Ohio State Buckeyes,192.3,38,283.3,30,475.7,24,109.3,50,118.3,13,227.7,21,0.3,40.3,5.3,3-0,
Oklahoma,156.3,64,316.3,19,472.7,25,96.7,36,84.7,5,181.3,10,-1.7,33.7,6.3,3-0,
Oklahoma State,135.5,115,149.5,123,285.0,127,214.0,76,214.0,27,428.0,47,-0.5,15.0,38.0,1-1,
Old Dominion,245.7,8,216.3,70,462.0,30,204.0,110,187.0,47,391.0,90,0.7,37.7,19.7,2-1,
Ole Miss,211.7,26,330.7,14,542.3,9,194.7,105,187.0,47,381.7,85,-0.7,44.7,21.7,3-0,
Oregon Ducks,247.0,7,256.3,43,503.3,16,122.7,57,133.3,20,256.0,31,1.0,54.0,10.0,3-0,
Oregon State,76.3,117,304.0,22,380.3,71,152.0,85,273.7,102,425.7,101,-1.0,18.7,38.3,0-3,
Penn State,193.7,37,243.7,51,437.3,42,101.0,39,123.3,17,224.3,19,2.0,44.0,5.7,3-0,
Pittsburgh,109.7,107,315.0,20,424.7,49,83.7,25,202.7,60,286.3,48,0.0,43.3,19.0,2-1,
Purdue,119.7,99,271.7,34,391.3,61,125.3,58,190.3,52,315.7,58,-1.3,27.3,16.7,2-1,
Rice,243.3,10,70.0,127,313.3,102,152.7,86,142.3,26,295.0,50,0.0,20.3,21.3,2-1,
Rutgers,164.7,58,296.3,24,461.0,32,148.7,83,194.0,55,342.7,72,1.0,46.3,19.3,3-0,
Sam Houston,135.7,82,185.0,91,320.7,97,127.7,61,314.7,116,442.3,112,0.7,21.7,38.7,0-3,
San Diego State,155.0,111,184.5,113,334.0,123,97.0,14,151.5,7,248.5,5,0.0,27.5,18.0,1-1,
San José State,80.0,122,248.0,103,328.0,124,201.0,65,216.0,29,417.0,43,-2.5,10.5,27.0,0-2,
Smu,156.7,63,278.7,32,435.3,44,107.0,46,319.7,117,426.7,102,0.7,38.3,23.7,2-1,
South Alabama,174.3,54,191.7,85,366.0,77,205.7,112,155.3,35,361.0,77,0.0,28.0,28.3,1-2,
South Carolina,112.0,106,193.0,84,305.0,104,107.7,47,202.0,59,309.7,54,0.0,23.0,17.3,2-1,
South Florida,95.0,113,270.0,36,365.0,78,153.3,88,283.0,109,436.3,107,1.3,21.3,24.0,2-1,
Southern Miss,117.0,101,234.0,57,351.0,82,158.0,90,261.0,97,419.0,99,1.3,31.0,25.3,2-1,
Stanford,139.7,78,145.7,110,285.3,110,103.0,41,239.3,89,342.3,71,0.0,17.7,23.3,1-2,
Syracuse,107.3,109,379.3,3,486.7,19,169.7,96,274.0,103,443.7,113,-1.0,39.7,29.7,2-1,
Tcu,193.5,90,322.5,71,516.0,86,113.5,21,224.0,31,337.5,20,0.5,45.0,17.5,2-0,
Temple,183.0,43,195.0,82,378.0,73,137.7,71,175.0,41,312.7,55,1.3,33.3,19.7,2-1,
Tennessee,215.7,21,358.7,7,574.3,5,116.7,55,248.3,92,365.0,79,0.3,52.7,29.0,2-1,
Texas Aandm,157.0,62,323.3,18,480.3,22,139.0,73,211.7,66,350.7,73,0.0,42.3,28.7,3-0,
Texas Longhorns,182.7,44,200.3,78,383.0,69,70.7,18,174.3,40,245.0,29,0.7,24.0,10.3,2-1,
Texas State,228.7,16,228.0,62,456.7,35,222.0,117,218.3,73,440.3,111,-1.0,36.7,32.3,2-1,
Texas Tech,220.3,19,383.7,2,604.0,2,41.7,3,187.7,48,229.3,22,0.7,58.0,11.7,3-0,
Toledo,208.7,28,256.0,44,464.7,29,105.0,44,126.3,18,231.3,23,0.7,40.3,15.0,2-1,
Troy,130.0,89,146.3,109,276.3,113,134.0,65,197.7,56,331.7,67,0.0,20.3,25.0,1-2,
Tulane,222.0,18,195.7,81,417.7,53,135.0,67,235.0,85,370.0,81,2.0,30.0,20.3,3-0,
Tulsa,183.0,43,220.0,67,403.0,59,175.3,100,162.0,37,337.3,68,0.3,24.0,23.3,1-2,
USC Trojans,240.3,13,364.0,6,604.3,1,86.3,27,233.0,82,319.3,63,1.7,55.0,16.7,3-0,
Uab,148.7,71,303.0,23,451.7,37,218.7,116,254.0,94,472.7,120,-1.0,35.7,36.0,2-1,
Ucf,233.0,65,259.0,100,492.0,95,162.5,48,98.5,1,261.0,6,1.5,42.5,8.5,2-0,
Ucla,122.0,95,202.7,77,324.7,96,245.0,121,187.0,47,432.0,105,-0.7,14.3,36.0,0-3,
Uconn,203.3,30,336.0,12,539.3,10,139.7,74,270.3,100,410.0,95,0.7,40.0,28.0,1-2,
Ul Monroe,202.0,85,89.0,129,291.0,126,146.5,38,210.5,25,357.0,26,-1.5,14.5,36.5,1-1,
Unlv,202.0,33,228.0,62,430.0,46,159.3,91,279.0,106,438.3,109,1.7,35.3,25.0,3-0,
Utah,290.0,4,227.0,63,517.0,14,90.0,30,134.0,21,224.0,18,1.3,45.7,8.3,3-0,
Utah State,131.0,87,230.7,60,361.7,80,201.3,109,226.3,79,427.7,103,1.3,33.0,30.0,2-1,
Utep,115.7,103,222.7,66,338.3,91,144.0,78,214.0,69,358.0,76,-0.7,22.7,24.0,1-2,
Utsa,228.3,17,209.0,75,437.3,42,105.3,45,300.3,115,405.7,93,1.7,36.0,35.0,1-2,
Vanderbilt,203.0,31,228.3,61,431.3,45,82.3,23,154.7,34,237.0,25,1.3,40.0,10.0,3-0,
Virginia,271.0,5,289.3,26,560.3,7,125.7,59,189.0,50,314.7,57,0.0,44.7,19.3,2-1,
Virginia Tech,132.0,86,207.0,76,339.0,90,212.7,115,237.7,88,450.3,115,-1.0,19.0,37.7,0-3,
Wake Forest,154.0,66,246.3,50,400.3,60,132.3,64,184.7,46,317.0,60,-1.0,25.3,17.7,2-1,
Washington,303.5,32,265.0,94,568.5,72,80.5,6,161.0,9,241.5,4,0.5,54.0,15.5,2-0,
Washington State,70.7,119,225.3,64,296.0,106,144.3,79,137.7,23,282.0,46,-1.3,19.7,27.3,2-1,
West Virginia,213.0,25,223.3,65,436.3,43,94.0,33,206.7,65,300.7,52,-0.3,28.7,14.7,2-1,
Western Kentucky,109.7,107,358.0,8,467.7,27,211.0,114,171.7,39,382.7,86,-0.3,39.0,25.0,2-1,
Western Michigan,119.3,100,122.0,114,241.3,120,175.0,99,191.7,53,366.7,80,0.3,12.0,31.3,0-3,
Wisconsin,143.3,75,196.0,80,339.3,89,46.3,4,224.3,76,270.7,37,-0.3,24.3,16.0,2-1,
Wyoming,158.7,61,186.0,90,344.7,85,153.0,87,160.0,36,313.0,56,0.0,15.7,12.7,2-1,
