season,week,team_raw,team_norm,team,pr,pr_rank,sos,sos_rank,hfa,source_url,fetched_at,page_stamp
2025,8,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,25.59,1,21.03,9,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Detroit Lions,Detroit Lions,Detroit Lions,25.52,2,22.24,3,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Kansas City Chiefs,Kansas City Chiefs,Kansas City Chiefs,25.31,3,21.16,7,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Green Bay Packers,Green Bay Packers,Green Bay Packers,24.29,4,19.49,22,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Washington Redskins,Washington Commanders,Washington Commanders,24.19,5,19.76,19,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Buffalo Bills,Buffalo Bills,Buffalo Bills,23.87,6,16.02,32,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Denver Broncos,Denver Broncos,Denver Broncos,23.08,7,19.58,21,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa Bay Buccaneers,22.31,8,20.77,12,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Los Angeles Rams,Los Angeles Rams,Los Angeles Rams,22.14,9,20.61,15,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Baltimore Ravens,Baltimore Ravens,Baltimore Ravens,21.99,10,21.26,6,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Houston Texans,Houston Texans,Houston Texans,21.93,11,20.92,10,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Minnesota Vikings,Minnesota Vikings,Minnesota Vikings,21.52,12,18.16,28,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks,21.18,13,19.3,24,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Los Angeles Chargers,Los Angeles Chargers,Los Angeles Chargers,20.95,14,20.67,13,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers,20.78,15,18.32,26,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,San Francisco 49ers,San Francisco 49ers,San Francisco 49ers,20.71,16,20.43,16,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Indianapolis Colts,Indianapolis Colts,Indianapolis Colts,20.57,17,17.09,31,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Chicago Bears,Chicago Bears,Chicago Bears,20.12,18,21.75,4,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,New England Patriots,New England Patriots,New England Patriots,19.64,19,17.37,30,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Atlanta Falcons,Atlanta Falcons,Atlanta Falcons,19.56,20,21.07,8,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville Jaguars,19.54,21,19.82,18,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Cincinnati Bengals,Cincinnati Bengals,Cincinnati Bengals,19.1,22,22.57,2,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals,18.63,23,17.55,29,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Las Vegas Raiders,Las Vegas Raiders,Las Vegas Raiders,17.25,24,19.99,17,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Dallas Cowboys,Dallas Cowboys,Dallas Cowboys,17.11,25,20.62,14,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Carolina Panthers,Carolina Panthers,Carolina Panthers,16.8,26,18.24,27,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,New York Giants,New York Giants,New York Giants,16.55,27,20.89,11,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
2025,8,Cleveland Browns,Cleveland Browns,Cleveland Browns,14.7,28,22.77,1,3.17,http://sagarin.com/sports/nflsend.htm,2025-10-21T03:10:03.283220Z,NFL 2025 through games of 2025 October 13 Monday - Week 6
