season,week,kickoff_iso_utc,game_key,source_uid,home_team_raw,away_team_raw,home_team_norm,away_team_norm,spread_home_relative,total,moneyline_home,moneyline_away,odds_source,is_closing,snapshot_at,home_pr,home_pr_rank,away_pr,away_pr_rank,home_sos,away_sos,home_sos_rank,away_sos_rank,hfa,rating_diff,rating_vs_odds,favored_side,spread_favored_team,rating_diff_favored_team,rating_vs_odds_favored_team,home_pf_pg,home_pa_pg,home_ry_pg,home_py_pg,home_ty_pg,home_ry_allowed_pg,home_py_allowed_pg,home_ty_allowed_pg,home_to_margin_pg,home_su,home_ats,home_rush_rank,home_pass_rank,home_tot_off_rank,home_rush_def_rank,home_pass_def_rank,home_tot_def_rank,away_pf_pg,away_pa_pg,away_ry_pg,away_py_pg,away_ty_pg,away_ry_allowed_pg,away_py_allowed_pg,away_ty_allowed_pg,away_to_margin_pg,away_su,away_ats,away_rush_rank,away_pass_rank,away_tot_off_rank,away_rush_def_rank,away_pass_def_rank,away_tot_def_rank,raw_sources
2025,8,2025-10-24T00:15:00+00:00,20251024_0015_lac_min,2025_08_MIN_LAC,LAC,MIN,lac,min,3.0,44.5,,,schedule,False,,20.95,14,21.52,12,20.67,18.16,13,28,3.17,2.6,5.6,AWAY,-3.0,-2.6,-5.6,151.0,163.0,111.1,279.6,390.7,111.1,279.6,390.7,-0.4,4-3,3-4-0,17,2,2,15,29,31,145.0,125.0,103.8,239.0,342.8,103.8,239.0,342.8,-0.7,3-3,3-3-0,21,11,19,11,20,14,"{'schedule_row': {'game_id': '2025_08_MIN_LAC', 'gsis': nan, 'gameday': '2025-10-23', 'season': 2025, 'week': 8, 'home_team': 'LAC', 'away_team': 'MIN'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Los Angeles Chargers', 'pr': 20.95, 'pr_rank': 14, 'sos': 20.67, 'sos_rank': 13, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Minnesota Vikings', 'pr': 21.52, 'pr_rank': 12, 'sos': 18.16, 'sos_rank': 28, 'hfa': 3.17}}"
2025,8,2025-10-26T17:00:00+00:00,20251026_1700_atl_mia,2025_08_MIA_ATL,ATL,MIA,atl,mia,7.0,45.5,,,schedule,False,,19.56,20,14.62,29,21.07,19.35,8,23,3.17,8.11,15.11,AWAY,-7.0,-8.11,-15.11,110.0,120.0,136.3,239.7,376.0,136.3,239.7,376.0,0.5,3-3,3-3-0,4,10,7,28,21,26,140.0,205.0,92.4,200.9,293.3,92.4,200.9,293.3,-0.9,1-6,3-4-0,28,27,29,4,4,4,"{'schedule_row': {'game_id': '2025_08_MIA_ATL', 'gsis': nan, 'gameday': '2025-10-26', 'season': 2025, 'week': 8, 'home_team': 'ATL', 'away_team': 'MIA'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Atlanta Falcons', 'pr': 19.56, 'pr_rank': 20, 'sos': 21.07, 'sos_rank': 8, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Miami Dolphins', 'pr': 14.62, 'pr_rank': 29, 'sos': 19.35, 'sos_rank': 23, 'hfa': 3.17}}"
2025,8,2025-10-26T17:00:00+00:00,20251026_1700_bal_chi,2025_08_CHI_BAL,BAL,CHI,bal,chi,6.5,50.5,,,schedule,False,,21.99,10,20.12,18,21.26,21.75,6,4,3.17,5.04,11.54,AWAY,-6.5,-5.04,-11.54,144.0,194.0,126.2,206.7,332.8,126.2,206.7,332.8,-1.2,1-5,1-5-0,10,25,23,22,6,10,152.0,155.0,129.3,229.7,359.0,129.3,229.7,359.0,1.8,4-2,4-2-0,7,15,12,25,16,21,"{'schedule_row': {'game_id': '2025_08_CHI_BAL', 'gsis': nan, 'gameday': '2025-10-26', 'season': 2025, 'week': 8, 'home_team': 'BAL', 'away_team': 'CHI'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Baltimore Ravens', 'pr': 21.99, 'pr_rank': 10, 'sos': 21.26, 'sos_rank': 6, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Chicago Bears', 'pr': 20.12, 'pr_rank': 18, 'sos': 21.75, 'sos_rank': 4, 'hfa': 3.17}}"
2025,8,2025-10-26T17:00:00+00:00,20251026_1700_car_buf,2025_08_BUF_CAR,CAR,BUF,car,buf,-7.5,46.5,,,schedule,False,,16.8,26,23.87,6,18.24,16.02,27,32,3.17,-3.9,-11.4,HOME,-7.5,-3.9,-11.4,145.0,152.0,140.1,200.9,341.0,140.1,200.9,341.0,-0.3,4-3,5-2-0,3,27,20,29,4,13,167.0,137.0,151.0,238.2,389.2,151.0,238.2,389.2,-0.2,4-2,2-4-0,1,12,3,31,19,30,"{'schedule_row': {'game_id': '2025_08_BUF_CAR', 'gsis': nan, 'gameday': '2025-10-26', 'season': 2025, 'week': 8, 'home_team': 'CAR', 'away_team': 'BUF'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Carolina Panthers', 'pr': 16.8, 'pr_rank': 26, 'sos': 18.24, 'sos_rank': 27, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Buffalo Bills', 'pr': 23.87, 'pr_rank': 6, 'sos': 16.02, 'sos_rank': 32, 'hfa': 3.17}}"
2025,8,2025-10-26T17:00:00+00:00,20251026_1700_cin_nyj,2025_08_NYJ_CIN,CIN,NYJ,cin,nyj,6.5,44.5,,,schedule,False,,19.1,22,14.18,30,22.57,19.75,2,20,3.17,8.09,14.59,AWAY,-6.5,-8.09,-14.59,136.0,214.0,68.9,215.3,284.1,68.9,215.3,284.1,-0.3,3-4,3-4-0,31,20,31,1,11,2,129.0,183.0,127.9,174.9,302.7,127.9,174.9,302.7,-1.3,0-7,3-4-0,9,30,26,23,1,7,"{'schedule_row': {'game_id': '2025_08_NYJ_CIN', 'gsis': nan, 'gameday': '2025-10-26', 'season': 2025, 'week': 8, 'home_team': 'CIN', 'away_team': 'NYJ'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Cincinnati Bengals', 'pr': 19.1, 'pr_rank': 22, 'sos': 22.57, 'sos_rank': 2, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'New York Jets', 'pr': 14.18, 'pr_rank': 30, 'sos': 19.75, 'sos_rank': 20, 'hfa': 3.17}}"
2025,8,2025-10-26T17:00:00+00:00,20251026_1700_hou_49ers,2025_08_SF_HOU,HOU,SF,hou,49ers,2.5,42.5,,,schedule,False,,21.93,11,20.71,16,20.92,20.43,10,16,3.17,4.39,6.89,AWAY,-2.5,-4.39,-6.89,108.0,61.0,116.2,219.8,336.0,116.2,219.8,336.0,0.2,2-3,2-3-0,16,19,21,16,12,12,145.0,138.0,95.3,284.3,379.6,95.3,284.3,379.6,-0.7,5-2,4-3-0,24,1,6,8,30,27,"{'schedule_row': {'game_id': '2025_08_SF_HOU', 'gsis': nan, 'gameday': '2025-10-26', 'season': 2025, 'week': 8, 'home_team': 'HOU', 'away_team': 'SF'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Houston Texans', 'pr': 21.93, 'pr_rank': 11, 'sos': 20.92, 'sos_rank': 10, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'San Francisco 49ers', 'pr': 20.71, 'pr_rank': 16, 'sos': 20.43, 'sos_rank': 16, 'hfa': 3.17}}"
2025,8,2025-10-26T17:00:00+00:00,20251026_1700_ne_cle,2025_08_CLE_NE,NE,CLE,ne,cle,7.0,40.5,,,schedule,False,,19.64,19,14.7,28,17.37,22.77,30,1,3.17,8.11,15.11,AWAY,-7.0,-8.11,-15.11,181.0,133.0,103.4,250.9,354.3,103.4,250.9,354.3,0.3,5-2,5-2-0,22,9,15,10,22,18,113.0,152.0,92.6,194.4,287.0,92.6,194.4,287.0,0.0,2-5,3-4-0,27,28,30,5,3,3,"{'schedule_row': {'game_id': '2025_08_CLE_NE', 'gsis': nan, 'gameday': '2025-10-26', 'season': 2025, 'week': 8, 'home_team': 'NE', 'away_team': 'CLE'}, 'odds_row': None, 'sagarin_row_home': {'team': 'New England Patriots', 'pr': 19.64, 'pr_rank': 19, 'sos': 17.37, 'sos_rank': 30, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Cleveland Browns', 'pr': 14.7, 'pr_rank': 28, 'sos': 22.77, 'sos_rank': 1, 'hfa': 3.17}}"
2025,8,2025-10-26T17:00:00+00:00,20251026_1700_phi_nyg,2025_08_NYG_PHI,PHI,NYG,phi,nyg,7.0,43.5,,,schedule,False,,25.59,1,16.55,27,21.03,20.89,9,11,3.17,12.21,19.21,AWAY,-7.0,-12.21,-19.21,170.0,165.0,88.1,214.0,302.1,88.1,214.0,302.1,0.6,5-2,4-3-0,29,21,27,3,10,6,153.0,177.0,125.1,225.3,350.4,125.1,225.3,350.4,-0.6,2-5,4-3-0,11,16,18,21,15,15,"{'schedule_row': {'game_id': '2025_08_NYG_PHI', 'gsis': nan, 'gameday': '2025-10-26', 'season': 2025, 'week': 8, 'home_team': 'PHI', 'away_team': 'NYG'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Philadelphia Eagles', 'pr': 25.59, 'pr_rank': 1, 'sos': 21.03, 'sos_rank': 9, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'New York Giants', 'pr': 16.55, 'pr_rank': 27, 'sos': 20.89, 'sos_rank': 11, 'hfa': 3.17}}"
2025,8,2025-10-26T20:05:00+00:00,20251026_2005_no_tb,2025_08_TB_NO,NO,TB,no,tb,-5.5,47.5,,,schedule,False,,12.36,32,22.31,8,18.86,20.77,25,12,3.17,-6.78,-12.28,HOME,-5.5,-6.78,-12.28,125.0,186.0,100.1,209.9,310.0,100.1,209.9,310.0,0.1,1-6,2-5-0,23,23,24,9,8,9,174.0,175.0,109.3,256.5,365.8,109.3,256.5,365.8,0.6,5-2,4-3-0,19,8,9,13,23,24,"{'schedule_row': {'game_id': '2025_08_TB_NO', 'gsis': nan, 'gameday': '2025-10-26', 'season': 2025, 'week': 8, 'home_team': 'NO', 'away_team': 'TB'}, 'odds_row': None, 'sagarin_row_home': {'team': 'New Orleans Saints', 'pr': 12.36, 'pr_rank': 32, 'sos': 18.86, 'sos_rank': 25, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Tampa Bay Buccaneers', 'pr': 22.31, 'pr_rank': 8, 'sos': 20.77, 'sos_rank': 12, 'hfa': 3.17}}"
2025,8,2025-10-26T20:25:00+00:00,20251026_2025_den_dal,2025_08_DAL_DEN,DEN,DAL,den,dal,3.0,49.5,,,schedule,False,,23.08,7,17.11,25,19.58,20.62,21,14,3.17,9.14,12.14,AWAY,-3.0,-9.14,-12.14,163.0,127.0,131.9,222.3,354.1,131.9,222.3,354.1,-0.3,5-2,2-5-0,5,18,16,27,13,17,222.0,206.0,122.1,274.6,396.7,122.1,274.6,396.7,0.0,3-3-1,4-3-0,13,3,1,19,28,32,"{'schedule_row': {'game_id': '2025_08_DAL_DEN', 'gsis': nan, 'gameday': '2025-10-26', 'season': 2025, 'week': 8, 'home_team': 'DEN', 'away_team': 'DAL'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Denver Broncos', 'pr': 23.08, 'pr_rank': 7, 'sos': 19.58, 'sos_rank': 21, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Dallas Cowboys', 'pr': 17.11, 'pr_rank': 25, 'sos': 20.62, 'sos_rank': 14, 'hfa': 3.17}}"
