season,week,team_raw,team_norm,team,pr,pr_rank,sos,sos_rank,hfa,source_url,fetched_at,page_stamp
2026,18,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks,27.9,1,20.44,10,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Los Angeles Rams,Los Angeles Rams,Los Angeles Rams,27.26,2,21.03,4,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville Jaguars,25.89,3,19.84,24,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Houston Texans,Houston Texans,Houston Texans,25.39,4,21.05,3,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,New England Patriots,New England Patriots,New England Patriots,24.88,5,16.82,32,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Buffalo Bills,Buffalo Bills,Buffalo Bills,24.66,6,18.49,30,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,San Francisco 49ers,San Francisco 49ers,San Francisco 49ers,23.94,7,20.6,7,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Denver Broncos,Denver Broncos,Denver Broncos,23.89,8,18.43,31,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,23.38,9,19.98,20,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Detroit Lions,Detroit Lions,Detroit Lions,23.09,10,20.5,8,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Baltimore Ravens,Baltimore Ravens,Baltimore Ravens,22.74,11,20.32,13,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Chicago Bears,Chicago Bears,Chicago Bears,21.93,12,19.85,23,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Minnesota Vikings,Minnesota Vikings,Minnesota Vikings,21.53,13,20.48,9,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Green Bay Packers,Green Bay Packers,Green Bay Packers,21.36,14,20.07,18,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Los Angeles Chargers,Los Angeles Chargers,Los Angeles Chargers,21.13,15,19.41,26,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers,20.99,16,20.38,11,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Indianapolis Colts,Indianapolis Colts,Indianapolis Colts,20.92,17,21.02,5,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Kansas City Chiefs,Kansas City Chiefs,Kansas City Chiefs,20.52,18,20.05,19,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa Bay Buccaneers,18.44,19,20.27,15,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Cincinnati Bengals,Cincinnati Bengals,Cincinnati Bengals,18.27,20,20.37,12,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Atlanta Falcons,Atlanta Falcons,Atlanta Falcons,18.23,21,19.42,25,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Washington Redskins,Washington Commanders,Washington Commanders,17.03,22,20.09,16,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,New York Giants,New York Giants,New York Giants,17.02,23,20.32,14,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
2026,18,Carolina Panthers,Carolina Panthers,Carolina Panthers,16.8,24,19.94,21,1.96,http://sagarin.com/sports/nflsend.htm,2026-01-05T22:31:48.494141Z,NFL 2025 through games of 2026 January 4 Sunday - Week 18 - End of Regular Season
