Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Arizona Cardinals,94.0,29,255.2,6,349.2,15,94.0,4,255.2,27,349.2,18,0.0,335,451,3-13,6-10-0
Atlanta Falcons,130.6,5,220.2,20,350.8,14,130.6,28,220.2,13,350.8,19,0.3,334,384,7-9,9-7-0
Baltimore Ravens,157.8,1,190.0,29,347.8,16,157.8,32,190.0,4,347.8,17,-0.1,400,372,8-8,6-10-0
Buffalo Bills,156.4,2,232.6,18,389.1,3,156.4,31,232.6,15,389.1,30,0.1,446,357,11-5,7-9-0
Carolina Panthers,122.4,11,189.9,30,312.2,26,122.4,22,189.9,3,312.2,7,-0.1,297,364,8-8,9-7-0
Chicago Bears,149.1,3,236.2,14,385.3,5,149.1,30,236.2,19,385.3,28,1.4,425,396,11-5,9-6-1
Cincinnati Bengals,90.6,31,250.5,7,341.1,20,90.6,2,250.5,26,341.1,13,-0.1,396,472,6-10,8-8-0
Cleveland Browns,95.7,27,190.1,28,285.8,31,95.7,6,190.1,5,285.8,2,-0.5,259,361,4-12,7-9-0
Dallas Cowboys,124.6,9,287.0,1,411.6,1,124.6,24,287.0,32,411.6,32,-0.5,454,477,7-8-1,7-9-0
Denver Broncos,118.9,19,236.9,13,355.8,12,118.9,14,236.9,20,355.8,21,-0.3,382,308,13-3,6-10-0
Detroit Lions,119.9,15,264.8,4,384.7,6,119.9,18,264.8,29,384.7,27,0.3,462,397,8-8,7-9-0
Green Bay Packers,119.3,17,238.2,10,357.5,11,119.3,16,238.2,23,357.5,22,0.0,388,344,9-6-1,6-10-0
Houston Texans,107.4,24,234.4,17,341.8,19,107.4,9,234.4,16,341.8,14,0.9,366,265,11-5,9-7-0
Indianapolis Colts,120.7,14,237.4,12,358.1,10,120.7,19,237.4,21,358.1,23,0.1,436,374,8-8,8-8-0
Jacksonville Jaguars,118.2,20,234.7,16,352.9,13,118.2,13,234.7,17,352.9,20,0.8,433,329,12-4,11-5-0
Kansas City Chiefs,108.0,23,237.6,11,345.6,17,108.0,10,237.6,22,345.6,16,-0.1,350,314,6-10,6-10-0
Los Angeles Rams,125.6,8,278.0,2,403.6,2,125.6,25,278.0,31,403.6,31,0.6,481,326,11-5,11-5-0
Los Angeles Chargers,122.1,12,238.6,9,360.7,9,122.1,21,238.6,24,360.7,24,0.3,365,321,11-5,9-7-0
Las Vegas Raiders,74.9,32,200.6,24,275.6,32,74.9,1,200.6,9,275.6,1,-0.4,227,420,2-14,6-10-0
Miami Dolphins,123.8,10,199.1,26,322.9,24,123.8,23,199.1,7,322.9,9,-0.1,337,386,7-9,8-8-0
Minnesota Vikings,106.5,25,185.6,31,292.1,29,106.5,8,185.6,2,292.1,4,-0.5,328,330,8-8,8-8-0
New England Patriots,121.8,13,265.3,3,387.1,4,121.8,20,265.3,30,387.1,29,0.1,452,310,13-3,11-5-0
New Orleans Saints,93.4,30,235.5,15,328.9,23,93.4,3,235.5,18,328.9,10,-0.2,289,364,6-10,8-8-0
New York Giants,127.1,6,217.1,21,344.2,18,127.1,27,217.1,12,344.2,15,-0.2,347,422,3-13,8-8-0
New York Jets,126.7,7,170.2,32,296.9,28,126.7,26,170.2,1,296.9,5,-1.2,292,468,3-13,7-9-0
Philadelphia Eagles,119.2,18,203.6,23,322.8,25,119.2,15,203.6,10,322.8,8,0.3,362,301,11-5,10-6-0
Pittsburgh Steelers,103.5,26,208.6,22,312.1,27,103.5,7,208.6,11,312.1,6,0.7,371,363,9-7,8-7-1
Seattle Seahawks,119.8,16,241.6,8,361.3,8,119.8,17,241.6,25,361.3,25,-0.2,470,289,13-3,11-5-0
San Francisco 49ers,110.2,22,261.9,5,372.2,7,110.2,11,261.9,28,372.2,26,-0.4,434,358,12-4,11-5-0
Tampa Bay Buccaneers,112.9,21,222.0,19,334.9,21,112.9,12,222.0,14,334.9,12,0.4,364,397,7-9,5-11-0
Tennessee Titans,94.5,28,194.8,27,289.3,30,94.5,5,194.8,6,289.3,3,-0.3,277,437,3-13,7-9-0
Washington Commanders,134.2,4,199.9,25,334.1,22,134.2,29,199.9,8,334.1,11,-0.8,332,434,4-12,6-10-0
