Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Air Force,267.0,26,159.0,79,426.0,48,97.0,39,169.0,46,266.0,42,2.0,49.0,13.0,1-0,
Akron,89.0,89,139.0,89,228.0,105,166.0,72,260.0,86,426.0,92,0.0,0.0,10.0,0-1,
Alabama Crimson Tide,87.0,90,254.0,43,341.0,77,230.0,87,152.0,39,382.0,83,1.0,17.0,31.0,0-1,
App State,182.0,52,404.0,9,586.0,15,76.0,26,142.0,35,218.0,22,1.0,34.0,11.0,1-0,
Arizona,185.0,51,161.0,78,346.0,75,70.0,23,223.0,68,293.0,48,5.0,40.0,6.0,1-0,
Arizona State,203.0,43,257.0,40,460.0,36,89.0,33,242.0,75,331.0,60,0.0,38.0,19.0,1-0,
Arkansas,194.0,47,358.0,17,552.0,18,69.0,22,166.0,45,235.0,31,2.0,52.0,7.0,1-0,
Arkansas State,147.0,63,345.0,19,492.0,28,92.0,35,272.0,90,364.0,77,0.0,42.0,24.0,1-0,
Army,280.0,20,131.0,92,411.0,55,192.0,79,152.0,39,344.0,67,-3.0,27.0,30.0,0-1,
Auburn,307.0,14,108.0,100,415.0,53,64.0,19,419.0,109,483.0,101,0.0,38.0,24.0,1-0,
Ball State,116.0,76,87.0,105,203.0,113,93.0,36,340.0,103,433.0,93,0.0,0.0,31.0,0-1,
Baylor,64.0,98,419.0,8,483.0,30,307.0,101,108.0,20,415.0,88,0.0,24.0,38.0,0-1,
Boise State,122.0,74,256.0,41,378.0,63,117.0,51,255.0,84,372.0,78,-3.0,7.0,34.0,0-1,
Boston College,98.0,86,458.0,6,556.0,17,16.0,3,152.0,39,168.0,14,1.0,66.0,10.0,1-0,
Bowling Green,157.0,60,109.0,99,266.0,96,59.0,17,118.0,25,177.0,16,0.0,26.0,7.0,1-0,
Buffalo,44.0,101,107.0,101,151.0,115,153.0,66,290.0,95,443.0,96,0.0,10.0,23.0,0-1,
Byu,468.0,2,138.0,90,606.0,12,-3.0,1,56.0,7,53.0,1,0.0,69.0,0.0,1-0,
California,122.0,74,234.0,53,356.0,71,65.0,20,248.0,79,313.0,54,2.0,34.0,15.0,1-0,
Central Michigan,247.0,30,115.0,98,362.0,68,75.0,25,308.0,98,383.0,84,3.0,16.0,14.0,1-0,
Charlotte,76.0,95,142.0,88,218.0,109,182.0,75,404.0,108,586.0,110,-1.0,11.0,34.0,0-1,
Cincinnati,202.0,44,69.0,108,271.0,94,113.0,48,243.0,76,356.0,74,-2.0,17.0,20.0,0-1,
Clemson Tigers,31.0,103,230.0,57,261.0,99,108.0,45,248.0,79,354.0,73,1.0,10.0,17.0,0-1,
Coastal Carolina,98.0,86,163.0,77,261.0,99,177.0,73,290.0,95,467.0,100,-2.0,7.0,48.0,0-1,
Colorado,146.0,64,159.0,79,305.0,88,320.0,103,143.0,36,463.0,98,3.0,20.0,27.0,0-1,
Colorado State,85.0,91,180.0,73,265.0,97,283.0,96,226.0,69,509.0,106,0.0,21.0,38.0,0-1,
Delaware,137.0,67,272.0,36,409.0,56,200.0,80,149.0,38,349.0,70,1.0,35.0,17.0,1-0,
Duke,159.0,58,389.0,13,548.0,19,163.0,69,112.0,22,275.0,46,-1.0,45.0,17.0,1-0,
East Carolina,30.0,104,383.0,15,413.0,54,105.0,43,318.0,101,423.0,90,1.0,17.0,24.0,0-1,
Eastern Michigan,143.0,65,248.0,48,391.0,59,392.0,107,214.0,64,606.0,113,0.0,27.0,52.0,0-1,
Florida,200.0,46,251.0,46,451.0,41,37.0,8,49.0,5,86.0,2,2.0,55.0,0.0,1-0,
Florida Atlantic,77.0,94,277.0,33,354.0,72,112.0,47,268.0,87,380.0,82,-6.0,7.0,39.0,0-1,
Florida International,223.0,37,233.0,54,456.0,38,105.0,43,241.0,74,346.0,68,0.0,42.0,9.0,1-0,
Florida State,230.0,34,152.0,83,382.0,61,87.0,32,254.0,83,341.0,65,-1.0,31.0,17.0,1-0,
Fresno State,194.0,6,177.5,18,371.5,6,145.5,98,167.0,102,312.5,114,-2.5,24.5,22.5,1-1,
Georgia Bulldogs,239.0,32,249.0,47,488.0,29,78.0,28,129.0,29,207.0,18,0.0,45.0,7.0,1-0,
Georgia Southern,84.0,92,158.0,80,242.0,102,351.0,105,176.0,50,527.0,108,2.0,14.0,42.0,0-1,
Georgia State,191.0,49,69.0,108,260.0,100,295.0,99,400.0,107,695.0,118,1.0,7.0,63.0,0-1,
Georgia Tech,320.0,8,143.0,87,463.0,34,146.0,62,159.0,42,305.0,51,-3.0,27.0,20.0,1-0,
Hawai'i,83.0,56,216.5,7,299.5,13,181.0,106,135.0,89,316.0,115,-2.5,14.5,30.0,1-1,
Houston,191.0,49,152.0,83,343.0,76,39.0,9,105.0,18,144.0,9,2.0,27.0,0.0,1-0,
Illinois,209.0,41,231.0,56,440.0,43,29.0,4,134.0,31,163.0,13,1.0,52.0,3.0,1-0,
Indiana,309.0,13,193.0,70,502.0,25,218.0,85,96.0,17,314.0,55,2.0,27.0,14.0,1-0,
Iowa,310.0,12,48.0,109,358.0,70,43.0,10,134.0,31,177.0,16,-1.0,34.0,7.0,1-0,
Iowa State,176.5,7,244.5,4,421.0,5,96.0,79,199.5,106,295.5,111,1.0,39.5,14.0,2-0,
Jacksonville State,165.0,57,157.0,81,322.0,82,110.0,46,314.0,100,424.0,91,0.0,10.0,17.0,0-1,
James Madison,313.0,10,145.0,85,458.0,37,64.0,19,84.0,13,148.0,10,1.0,45.0,10.0,1-0,
Kansas,246.0,1,261.0,3,507.0,2,45.0,34,134.5,88,179.5,75,0.5,38.5,7.0,2-0,
Kansas State,128.0,28,295.5,2,423.5,4,116.0,88,217.5,110,333.5,117,0.0,29.5,29.5,1-1,
Kennesaw State,158.0,59,149.0,84,307.0,87,130.0,59,218.0,66,348.0,69,0.0,9.0,10.0,0-1,
Kent State,99.0,85,209.0,64,308.0,86,164.0,70,176.0,50,340.0,64,-1.0,21.0,17.0,1-0,
Kentucky,220.0,38,85.0,106,305.0,88,59.0,17,270.0,89,329.0,59,-1.0,24.0,16.0,1-0,
Liberty,194.0,47,197.0,69,391.0,59,184.0,76,132.0,30,316.0,57,2.0,28.0,7.0,1-0,
Louisiana,151.0,62,88.0,104,239.0,103,206.0,84,45.0,3,251.0,36,-2.0,12.0,14.0,0-1,
Louisiana Tech,133.0,69,130.0,93,263.0,98,128.0,57,145.0,37,273.0,45,3.0,24.0,0.0,1-0,
